DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,1.5196,1.5209,1.3542,1.3802,1521600,0
20010103,1.3802,1.6354,1.3646,1.6354,1692000,0
20010104,1.6250,1.6667,1.6042,1.6537,1744800,0
20010105,1.6550,1.6550,1.3125,1.4479,2925600,0
20010108,1.4635,1.4714,1.3802,1.3907,717600,0
20010109,1.4167,1.5000,1.4167,1.4922,684000,0
20010110,1.4935,1.4948,1.4532,1.4844,1236000,0
20010111,1.4896,1.6042,1.4896,1.6042,576000,0
20010112,1.5938,1.6667,1.5807,1.6354,1336800,0
20010115,1.6354,1.6354,1.6354,1.6354,0,0
20010116,1.6719,1.8750,1.6407,1.8516,3192000,0
20010117,1.8646,1.9375,1.8646,1.9167,2445600,0
20010118,1.9167,2.0130,1.8750,1.9740,909600,0
20010119,1.9792,2.0417,1.9479,2.0365,1113600,0
20010122,2.0417,2.0417,1.8334,1.9818,1586400,0
20010123,1.9584,2.2344,1.9271,2.0755,2774400,0
20010124,2.0938,2.0938,1.9792,2.0938,2496000,0
20010125,2.0833,2.0886,1.9792,2.0886,895200,0
20010126,2.0313,2.1146,1.9584,1.9688,1024800,0
20010129,2.0313,2.0625,1.8542,2.0313,1159200,0
20010130,2.0157,2.0886,2.0078,2.0886,595200,0
20010131,2.0729,2.0912,2.0469,2.0521,688800,0
20010201,2.0287,2.0807,1.9818,2.0677,436800,0
20010202,2.0573,2.0729,1.8932,1.9584,1044000,0
20010205,1.9662,1.9688,1.9115,1.9375,859200,0
20010206,1.9844,2.0625,1.9610,1.9948,336000000,0
20010207,2.0157,2.0157,1.9011,1.9193,1339200,0
20010208,1.9219,1.9636,1.9011,1.9011,679200,0
20010209,1.9219,1.9219,1.8698,1.8724,1315200,0
20010212,1.8620,1.8724,1.7787,1.8386,1567200,0
20010213,1.8386,1.8959,1.7500,1.7709,751200,0
20010214,1.7474,1.7813,1.6771,1.6771,950400,0
20010215,1.6875,1.7422,1.6797,1.7422,1185600,0
20010216,1.7057,1.7500,1.6875,1.7136,818400,0
20010219,1.7136,1.7136,1.7136,1.7136,0,0
20010220,1.7266,1.8334,1.6667,1.8334,1408800,0
20010221,1.7448,1.8542,1.7448,1.8034,1476000,0
20010222,1.7917,1.7917,1.6589,1.7084,1634400,0
20010223,1.6719,1.7292,1.6016,1.7292,1948800,0
