DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.6136,18.8625,16.1252,16.6726,5264600,0
20010103,16.4238,20.4551,16.4238,18.2652,6212400,0
20010104,18.2652,22.4459,18.2652,22.0975,13253500,0
20010105,21.9482,22.4459,20.2062,21.5002,5248800,0
20010108,20.8532,21.7491,19.7086,21.0025,2897200,0
20010109,21.2514,22.6947,21.2265,22.2468,4838700,0
20010110,21.9979,22.8440,20.9528,22.0975,4948900,0
20010111,21.9979,23.7896,21.8486,23.1426,6993500,0
20010112,23.2422,23.7398,21.7491,21.7989,4437300,0
20010115,21.7989,21.7989,21.7989,21.7989,0,0
20010116,21.9482,22.5952,20.5049,21.9482,3941100,0
20010117,22.9933,24.6855,22.7942,23.7398,12970800,0
20010118,25.3325,26.3029,23.9887,25.9795,15922600,0
20010119,26.8753,28.1693,26.6265,27.7711,14308100,0
20010122,27.0246,28.4679,26.5269,28.1195,10080800,0
20010123,27.8707,27.8707,26.7260,26.8753,4741800,0
20010124,27.2237,27.9702,27.0744,27.0744,6295600,0
20010125,27.0246,27.4228,25.2827,27.1241,7160200,0
20010126,26.7260,27.0744,26.2781,26.9748,2946500,0
20010129,26.7260,27.4725,26.6762,27.0744,2512300,0
20010130,27.2237,29.6126,27.1241,29.1647,8561600,0
20010131,28.9158,29.4135,28.4679,28.5674,6473000,0
20010201,28.3186,29.5131,27.9702,28.8661,4196900,0
20010202,28.4679,28.8661,27.2735,27.7214,4375000,0
20010205,27.5223,27.5721,25.3822,26.8753,5061900,0
20010206,26.8255,27.3730,24.9841,25.1334,3942900,0
20010207,24.5859,26.9251,24.3868,26.0292,5548200,0
20010208,26.0790,26.8255,25.3822,25.9297,2992900,0
20010209,25.7058,26.3278,25.1832,26.1288,3472400,0
20010212,25.5315,26.1785,25.2329,25.9795,3701400,0
20010213,25.7058,27.0744,25.5315,25.7306,2891400,0
20010214,24.8348,26.1288,24.2873,25.9795,3954300,0
20010215,26.4274,27.3730,26.1785,26.2781,3919000,0
20010216,25.5315,25.9795,24.4864,25.5813,3367000,0
20010219,25.5813,25.5813,25.5813,25.5813,0,0
20010220,25.3822,25.7306,22.7445,23.6403,5769500,0
20010221,22.3961,25.4818,22.3961,23.1426,3676300,0
20010222,22.9187,23.7398,22.1970,23.3915,4300700,0
20010223,23.0928,25.0338,22.9933,24.2873,6877700,0
20010226,24.4864,25.4818,23.8892,24.9343,4815900,0
20010227,24.5859,24.7850,23.2422,23.8892,3939700,0
20010228,23.7398,23.7896,19.2606,20.7039,7709900,0
20010301,20.0569,20.8035,19.6588,20.8035,4270900,0
20010302,20.1067,20.4053,18.1657,18.4643,5063100,0
20010305,18.9122,20.2560,18.8625,19.8081,2850600,0
20010306,20.5546,21.4505,20.0072,20.1067,2542900,0
20010307,20.3556,21.0523,19.8579,20.4053,2149800,0
20010308,20.3058,20.7537,19.1113,19.2109,2513700,0
20010309,18.3150,18.8127,15.9261,17.2201,6981100,0
20010312,16.6229,16.7722,15.3786,15.6773,5791100,0
20010313,15.5777,15.7270,14.8312,15.2293,6329000,0
20010314,14.4330,15.4782,13.4376,13.7860,9946400,0
20010315,14.9307,16.2745,14.1344,14.3335,6903900,0
20010316,13.5870,15.4284,13.5870,14.3833,4971100,0
20010319,14.5823,15.3289,14.2340,15.1298,2397500,0
20010320,15.4284,17.7178,15.2293,15.7768,7027500,0
