DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20070426,22.75,23.25,22.65,22.79,2422400,0
20070427,21.25,21.51,20.85,20.91,3045100,0
20070430,20.50,20.70,20.01,20.45,2933400,0
20070501,20.00,20.35,19.05,19.91,5399700,0
20070502,19.91,19.91,19.91,19.91,0,0
20070503,21.75,21.95,20.55,20.72,8069800,0
20070504,21.25,21.35,20.70,20.98,5450100,0
20070507,21.20,21.29,20.20,20.36,2646300,0
20070508,20.00,20.00,19.30,19.63,4166100,0
20070509,19.75,20.20,19.63,19.79,7541100,0
20070510,19.79,19.99,19.55,19.70,3170600,0
20070511,19.71,19.80,19.11,19.30,3539600,0
20070514,19.15,19.39,18.75,18.89,1925000,0
20070515,18.65,18.85,18.15,18.20,3438700,0
20070516,18.06,18.48,18.02,18.34,2608100,0
20070517,18.80,19.75,18.67,19.02,8979500,0
20070518,19.47,19.49,18.54,19.31,6562200,0
20070521,19.20,19.34,19.00,19.00,2077700,0
20070522,19.10,19.53,19.00,19.48,4017600,0
20070523,19.50,19.70,19.10,19.21,2387100,0
20070524,19.21,19.33,18.85,19.02,2362000,0
20070525,19.02,19.05,18.69,18.76,895000,0
20070529,18.91,19.20,18.85,19.09,2918800,0
20070530,19.05,19.15,18.81,18.98,2829500,0
20070531,19.15,19.28,19.03,19.05,3435200,0
20070601,19.10,19.80,19.05,19.55,2300400,0
20070604,18.70,19.05,18.69,18.84,5696500,0
20070605,18.85,19.04,18.73,18.95,4510000,0
20070606,18.70,18.93,18.65,18.93,2595300,0
20070607,18.77,18.85,18.15,18.48,3062500,0
20070608,18.20,18.83,18.20,18.83,2124100,0
20070611,18.55,18.82,18.22,18.38,1869919,0
20070612,18.15,18.71,18.02,18.40,8636200,0
20070613,18.48,18.70,18.36,18.64,3110200,0
20070614,18.50,19.01,18.42,18.90,8069700,0
20070615,18.89,19.14,18.45,18.88,3418900,0
20070618,18.65,18.90,18.50,18.54,1341100,0
20070619,18.59,19.08,18.55,18.87,3113000,0
20070620,19.00,19.49,18.82,19.36,4031500,0
20070621,19.20,19.60,19.02,19.51,3985700,0
20070622,19.50,19.85,19.37,19.75,11822000,0
20070625,19.69,19.74,19.11,19.43,1974400,0
20070626,19.50,19.66,19.27,19.49,2237000,0
20070627,19.40,19.59,19.13,19.42,2216000,0
20070628,19.75,19.89,19.62,19.67,2547200,0
20070629,19.55,19.83,19.51,19.70,2022200,0
20070702,19.57,19.76,19.53,19.58,1831600,0
20070703,19.71,20.26,19.71,20.25,2960900,0
20070705,20.01,20.73,19.92,20.52,2640100,0
20070706,20.55,20.90,20.38,20.83,1966900,0
20070709,20.94,21.39,20.85,21.33,2872800,0
20070710,21.18,21.25,20.53,20.65,2367168,0
20070711,20.18,20.59,20.00,20.12,2387700,0
20070712,20.43,20.63,20.11,20.43,3455400,0
20070713,20.35,20.54,20.08,20.50,1751700,0
20070716,20.45,21.00,20.31,20.94,2892200,0
20070717,21.00,21.25,20.78,21.19,4385400,0
20070718,21.79,21.80,21.15,21.37,9011219,0
20070719,21.48,21.80,21.40,21.51,8636500,0
20070720,21.41,21.58,21.00,21.40,4248400,0
20070723,21.40,21.50,21.01,21.11,4398970,0
20070724,21.15,21.60,20.73,21.33,6101200,0
20070725,21.30,21.31,20.45,20.78,2779300,0
20070726,20.56,20.56,18.87,19.36,9754300,0
20070727,19.71,19.72,18.37,18.59,4563000,0
20070730,18.50,18.59,17.32,18.05,8926900,0
20070731,18.28,18.54,17.72,17.82,3583000,0
20070801,18.00,18.65,17.18,18.35,7082200,0
20070802,18.67,19.50,18.26,18.88,7428000,0
20070803,18.88,19.17,18.19,18.70,3412800,0
20070806,18.94,19.00,17.71,18.02,5659800,0
20070807,17.85,18.77,17.85,18.45,2725149,0
20070808,18.38,18.85,18.05,18.49,2724100,0
20070809,18.04,18.13,17.65,17.87,3314300,0
20070810,17.50,17.61,16.95,17.56,3903000,0
20070813,17.65,18.05,17.18,17.29,2050800,0
20070814,17.29,17.58,15.96,16.97,5720400,0
20070815,16.85,16.95,15.02,15.75,3556000,0
20070816,15.25,16.20,14.94,15.92,6312100,0
20070817,16.55,16.60,15.02,16.00,4152000,0
20070820,16.10,16.65,15.86,16.08,1933600,0
20070821,16.01,17.83,15.95,17.71,5527200,0
20070822,18.15,18.65,17.64,18.10,4717500,0
20070823,18.00,18.15,17.55,18.00,2271800,0
20070824,17.79,18.28,17.62,18.24,983600,0
20070827,17.61,18.23,17.50,17.70,1321100,0
20070828,17.55,17.68,17.23,17.35,1241100,0
20070829,17.46,17.64,17.31,17.36,1092700,0
20070830,17.05,17.30,16.82,16.98,1210500,0
20070831,17.05,17.27,16.82,16.88,1240900,0
20070904,17.04,17.68,16.97,17.53,1993738,0
20070905,17.50,17.98,17.50,17.62,1847900,0
20070906,17.75,18.30,17.26,18.07,2205500,0
20070907,17.58,17.74,17.39,17.62,1533800,0
20070910,17.73,17.99,17.26,17.44,2483600,0
20070911,17.40,17.90,17.31,17.69,2066700,0
20070912,17.65,17.65,17.06,17.15,2217800,0
20070913,17.31,17.62,17.16,17.59,1365600,0
20070914,17.34,17.70,17.27,17.65,873900,0
20070917,17.57,17.67,17.11,17.15,939100,0
20070918,17.35,17.56,16.87,17.45,1800800,0
20070919,17.50,18.34,17.50,18.29,3483975,0
20070920,18.17,18.18,17.64,17.72,1631700,0
20070921,18.19,18.19,17.46,17.56,1767400,0
20070924,17.52,17.57,16.01,16.03,5239100,0
20070925,16.00,17.08,15.90,17.08,3471300,0
20070926,17.15,17.95,16.95,17.87,4915580,0
20070927,17.93,18.04,17.57,17.82,1443000,0
20070928,17.60,17.96,17.27,17.95,1505000,0
20071001,18.00,18.33,17.81,18.22,2277692,0
20071002,18.40,19.00,18.37,18.98,2982300,0
20071003,19.03,19.29,18.51,19.28,3078400,0
20071004,19.12,19.55,18.40,18.61,4998500,0
20071005,18.63,19.70,18.63,19.19,3334700,0
20071008,19.12,19.66,19.11,19.48,1546800,0
20071009,19.42,19.78,19.21,19.59,1839151,0
20071010,19.25,19.69,19.22,19.63,2416600,0
20071011,19.64,19.68,19.24,19.39,2948600,0
20071012,19.25,19.98,19.08,19.96,2331592,0
20071015,19.78,20.00,19.17,20.00,3955300,0
20071016,20.25,20.50,19.30,20.08,7945800,0
20071017,20.36,20.56,20.03,20.40,5631583,0
20071018,20.35,20.40,19.79,19.96,2480600,0
