DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.75,22.88,22.19,22.41,15568,0
20010103,22.09,22.47,21.66,22.16,21578,0
20010104,22.31,23.06,22.28,22.81,30534,0
20010105,22.94,22.94,21.69,22.09,20018,0
20010108,21.94,22.13,21.66,21.97,11804,0
20010109,22.19,22.25,21.69,22.06,11436,0
20010110,21.63,21.91,21.03,21.84,20756,0
20010111,22.13,22.13,21.06,21.53,76544,0
20010112,21.22,21.50,19.97,20.38,33956,0
20010115,20.38,20.38,20.38,20.38,0,0
20010116,20.34,21.06,20.03,21.00,24640,0
20010117,20.94,20.94,20.22,20.63,21316,0
20010118,19.94,20.44,19.59,20.22,22728,0
20010119,20.25,20.31,19.69,20.06,16184,0
20010122,20.06,20.06,20.06,20.06,0,0
20010123,20.03,21.03,20.00,20.81,26264,0
20010124,20.81,21.16,20.66,20.91,15794,0
20010125,21.00,21.44,20.84,21.34,88028,0
20010126,21.06,21.19,20.59,20.88,11226,0
20010129,22.05,22.05,21.00,21.11,2745800,0
20010130,21.83,22.55,20.53,22.42,1075000,0
20010131,21.40,22.04,21.38,21.46,7616800,0
20010201,21.45,21.70,21.00,21.18,124484600,0
20010202,21.28,21.40,21.08,21.25,2835400,0
20010205,21.30,21.30,21.00,21.18,914200,0
20010206,21.00,21.05,20.73,20.94,4872000,0
20010207,20.95,21.27,20.95,21.20,0,0
20010208,21.25,21.26,20.88,21.12,1488000,0
20010209,21.12,21.48,20.96,21.42,1836800,0
20010212,21.30,21.34,20.80,20.85,17519800,0
20010213,20.63,21.42,20.55,21.08,31000000,0
20010214,21.50,21.53,20.56,20.98,3396400,0
20010215,20.88,21.27,20.80,21.02,26904400,0
20010216,21.05,21.42,20.76,20.92,1174800,0
20010219,20.92,20.92,20.92,20.92,0,0
20010220,20.50,20.77,19.75,20.20,3178200,0
20010221,20.20,20.30,19.63,19.88,1915200,0
20010222,19.88,20.02,19.55,19.82,5459200,0
20010223,19.88,19.88,19.35,19.66,2090400,0
20010226,19.70,20.50,19.65,20.43,8949800,0
20010227,20.17,20.63,20.13,20.43,1191200,0
20010228,20.48,20.80,19.99,20.35,5184000,0
20010301,20.00,20.55,20.00,20.31,3624800,0
20010302,20.40,20.89,20.34,20.65,10655600,0
20010305,20.60,21.48,20.60,21.20,2401200,0
20010306,21.95,21.95,21.20,21.36,1550800,0
20010307,22.00,22.75,21.88,22.66,5097400,0
20010308,22.60,22.98,22.52,22.95,2128800,0
20010309,22.75,22.75,22.01,22.24,2402000,0
20010312,21.75,22.15,21.13,21.30,15681600,0
20010313,21.30,22.00,21.30,21.77,3884400,0
20010314,21.42,21.42,20.85,21.12,14085600,0
20010315,21.12,21.50,20.98,21.03,7049400,0
20010316,20.58,20.85,20.45,20.64,2862800,0
20010319,20.54,20.77,20.34,20.68,2564000,0
20010320,20.60,20.80,20.02,20.17,2474400,0
20010321,19.50,19.50,17.92,19.08,8270800,0
20010322,18.81,18.88,18.43,18.83,4005600,0
20010323,18.38,18.73,17.96,18.07,3722000,0
20010326,18.17,19.00,18.13,18.25,26556800,0
20010327,18.38,18.60,18.13,18.56,3249600,0
20010328,18.40,18.88,18.15,18.68,4477400,0
20010329,18.38,18.60,18.15,18.42,17053000,0
20010330,18.42,18.50,18.05,18.17,2122000,0
20010402,18.25,18.65,17.81,18.00,1457000,0
20010403,17.90,18.00,17.23,17.30,2612200,0
20010404,17.27,17.93,17.27,17.72,14394800,0
20010405,17.72,18.51,17.72,18.40,2321600,0
20010406,18.28,18.50,17.92,18.40,37553000,0
20010409,18.30,18.88,18.30,18.55,3029800,0
20010410,18.52,19.10,18.50,19.01,10651600,0
20010411,18.98,18.98,18.30,18.41,4407200,0
20010412,18.42,19.00,18.30,19.00,1934800,0
20010416,18.92,19.28,18.92,19.26,1951800,0
20010417,19.20,19.33,19.05,19.27,1879400,0
20010418,19.27,20.58,19.14,20.22,11515400,0
20010419,20.20,20.20,19.50,19.58,7334200,0
20010420,19.58,19.83,19.32,19.76,1211200,0
20010423,19.80,19.80,19.42,19.50,852800,0
20010424,19.50,19.67,19.15,19.27,1064800,0
20010425,19.27,19.59,18.98,19.56,4975600,0
20010426,20.02,20.35,19.45,20.25,1677400,0
20010427,20.58,20.61,20.43,20.52,1349200,0
20010430,20.88,20.88,20.40,20.52,8705600,0
20010501,20.50,20.85,20.20,20.75,3144800,0
20010502,20.83,20.88,20.26,20.52,10858200,0
20010503,20.40,20.40,19.92,19.96,1453000,0
20010504,19.66,20.06,19.52,20.00,16981800,0
20010507,19.98,20.44,19.92,20.15,883800,0
20010508,20.02,20.28,19.98,20.14,1002000,0
20010509,20.20,20.45,19.98,20.45,944200,0
20010510,20.50,20.73,20.38,20.58,957400,0
20010511,20.52,20.67,20.35,20.50,2578200,0
20010514,20.38,20.62,20.20,20.50,568600,0
20010515,19.50,19.50,18.90,19.26,6469200,0
