DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.88,18.88,17.63,17.88,11507,0
20010103,18.00,19.25,17.38,19.19,18550,0
20010104,19.13,19.19,18.31,18.63,14186,0
20010105,18.00,18.25,17.81,18.00,0,0
20010108,17.81,17.81,17.44,17.75,6733,0
20010109,17.63,17.81,17.25,17.50,6093,0
20010110,17.38,17.88,17.31,17.81,24842,0
20010111,17.81,17.81,17.13,17.44,6478,0
20010112,17.31,18.00,17.31,17.88,11644,0
20010115,17.88,17.88,17.88,17.88,0,0
20010116,17.88,19.19,17.88,18.88,0,0
20010117,18.75,19.38,18.75,19.00,5852,0
20010118,19.00,19.56,18.50,18.63,8058,0
20010119,18.69,18.75,18.06,18.25,0,0
20010122,18.25,18.25,18.25,18.25,0,0
20010123,19.00,19.38,16.63,17.06,274592,0
20010124,17.94,18.19,17.00,17.19,23693,0
20010125,17.25,17.69,17.13,17.69,20417,0
20010126,17.44,18.00,17.38,17.81,10137,0
20010129,18.94,19.31,18.31,19.16,709900,0
20010130,19.56,19.88,18.38,19.66,6693900,0
20010131,18.90,20.50,18.75,19.50,4686200,0
20010201,19.50,19.76,19.10,19.47,4666200,0
20010202,19.95,19.95,19.40,19.47,828500,0
20010205,19.36,19.88,18.86,19.68,1361200,0
20010206,19.90,19.90,19.40,19.50,574700,0
20010207,19.70,20.35,19.70,20.13,2901300,0
20010208,20.50,20.50,19.45,19.49,0,0
20010209,19.24,19.95,19.18,19.28,557300,0
20010212,19.00,19.50,18.90,19.21,4690900,0
20010213,19.35,19.47,18.99,19.35,927300,0
20010214,19.40,19.70,19.10,19.63,601100,0
20010215,19.65,19.94,19.20,19.76,1105400,0
20010216,20.00,20.07,19.75,19.90,0,0
20010219,19.90,19.90,19.90,19.90,0,0
20010220,19.75,20.32,19.50,20.19,6743400,0
20010221,19.96,20.20,18.75,18.89,613300,0
20010222,18.89,19.45,18.83,19.02,821500,0
20010223,18.95,19.15,18.50,18.78,539800,0
20010226,19.04,19.50,18.90,19.50,5945500,0
20010227,18.95,18.95,18.50,18.65,21188700,0
20010228,19.25,19.25,18.49,18.60,1008500,0
20010301,18.50,18.65,17.95,18.21,851600,0
20010302,18.10,18.57,17.60,17.95,13481800,0
20010305,18.20,18.50,17.85,17.91,1368800,0
20010306,18.00,18.31,17.82,18.05,14527900,0
20010307,18.10,18.20,17.95,18.15,6991100,0
20010308,18.90,18.90,18.26,18.39,1119900,0
20010309,18.65,18.65,17.85,18.24,516300,0
20010312,18.10,18.36,17.52,17.62,2568100,0
20010313,18.24,18.24,17.16,17.58,3566800,0
20010314,17.10,17.93,17.02,17.75,3777300,0
20010315,17.50,17.80,17.41,17.70,9538300,0
20010316,17.01,17.51,17.00,17.32,1248600,0
20010319,17.05,17.20,16.60,16.77,18561200,0
20010320,17.20,18.30,17.00,17.20,1111800,0
20010321,17.65,17.75,17.30,17.44,4829700,0
20010322,17.32,17.89,17.00,17.72,1638200,0
20010323,17.72,19.40,17.72,18.98,15524900,0
20010326,19.00,19.60,18.90,19.20,3894500,0
20010327,19.80,20.75,19.51,20.10,3793100,0
20010328,20.21,20.21,19.70,20.01,4762800,0
20010329,20.00,20.19,19.50,20.00,6001800,0
20010330,20.00,20.50,19.61,20.44,3854900,0
20010402,20.30,20.32,19.80,20.31,1016400,0
20010403,20.45,21.44,20.42,20.54,3705200,0
20010404,20.75,21.80,20.75,21.38,2623400,0
20010405,22.00,23.10,21.68,22.57,6734300,0
20010406,22.50,22.50,21.94,22.10,23793600,0
20010409,21.91,22.10,21.63,22.07,30051800,0
20010410,22.07,23.26,22.02,22.70,37855000,0
20010411,21.51,22.25,21.45,21.88,3609900,0
20010412,21.59,21.75,20.55,21.44,5991200,0
20010416,21.25,21.54,20.99,21.14,6537800,0
20010417,21.10,21.85,21.00,21.50,4074400,0
20010418,21.60,23.10,21.60,23.10,16711700,0
20010419,22.91,23.04,22.50,22.95,11536500,0
20010420,22.25,22.80,22.25,22.48,1017900,0
20010423,21.75,22.93,21.75,22.92,842800,0
20010424,22.10,22.80,21.87,22.05,3641400,0
20010425,22.06,23.05,22.06,22.85,11440700,0
20010426,22.65,23.32,22.52,22.75,766300,0
20010427,23.10,24.05,23.00,23.88,2313600,0
20010430,15.76,17.95,15.76,16.50,23077000,0
20010501,16.30,17.00,15.50,15.76,11404900,0
20010502,15.90,15.95,15.25,15.61,13292700,0
20010503,15.48,15.87,15.31,15.70,5934700,0
20010504,15.40,16.25,15.37,16.25,5642100,0
20010507,15.85,16.37,15.75,16.10,2084800,0
20010508,16.11,16.30,15.90,16.01,1886600,0
20010509,15.75,16.07,15.70,16.07,1230900,0
20010510,16.31,17.40,16.31,17.00,3640300,0
20010511,17.20,17.25,16.90,17.05,1844800,0
20010514,17.08,17.35,16.66,17.30,1075300,0
20010515,17.31,18.00,17.25,17.59,2190200,0
20010516,17.60,18.52,17.52,18.30,3385500,0
20010517,18.40,19.40,18.40,18.65,2034600,0
20010518,18.25,18.80,18.08,18.60,23078000,0
20010521,18.61,19.00,18.52,18.90,1879500,0
20010522,18.65,18.90,18.40,18.50,1799400,0
20010523,18.50,18.91,18.15,18.55,2179700,0
20010524,18.55,18.67,18.17,18.53,1565000,0
20010525,18.45,18.64,18.25,18.55,340300,0
20010528,18.55,18.55,18.55,18.55,0,0
20010529,18.30,18.55,18.00,18.16,3320600,0
20010530,18.16,18.62,18.16,18.52,2143200,0
20010531,18.50,18.98,18.48,18.71,1641800,0
20010601,18.60,18.99,18.52,18.84,733200,0
20010604,18.80,18.94,18.56,18.70,2675400,0
20010605,18.70,18.89,18.70,18.74,998300,0
20010606,18.80,18.88,18.60,18.75,9492700,0
20010607,18.56,18.69,18.29,18.63,978200,0
