DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.75,34.75,32.75,33.72,23900,0
20010103,33.13,35.23,32.14,34.91,28128,0
20010104,34.28,34.30,27.84,28.50,44616,0
20010105,28.13,29.22,26.16,27.88,100676,0
20010108,27.69,29.42,27.69,28.94,22484,0
20010109,28.95,30.19,27.03,27.75,28648,0
20010110,27.38,29.48,27.38,28.78,9648,0
20010111,28.91,29.38,27.25,27.50,17404,0
20010112,27.50,27.94,25.72,25.83,14896,0
20010115,25.83,25.83,25.83,25.83,0,0
20010116,25.28,26.25,25.19,25.88,37696,0
20010117,26.25,27.53,23.92,24.22,46988,0
20010118,22.25,24.34,21.63,24.19,63044,0
20010119,24.20,24.94,23.67,24.55,0,0
20010122,24.55,24.55,24.55,24.55,0,0
20010123,25.63,26.81,25.63,26.53,0,0
20010124,26.59,28.06,26.27,27.56,20592,0
20010125,27.50,27.88,26.73,27.45,11608,0
20010126,27.63,27.73,26.47,27.59,19008,0
20010129,27.45,27.63,26.75,27.00,0,0
20010130,27.00,28.77,26.75,27.90,1442800,0
20010131,27.46,27.46,25.69,25.88,1880800,0
20010201,25.88,26.91,24.69,24.72,2203200,0
20010202,24.70,25.44,24.25,24.87,0,0
20010205,24.40,25.92,24.40,25.48,1448400,0
20010206,25.31,28.06,25.31,27.88,1938400,0
20010207,27.44,28.63,27.25,28.24,0,0
20010208,28.00,28.19,27.08,27.08,0,0
20010209,27.08,27.50,26.58,27.27,0,0
20010212,27.25,28.06,27.11,27.98,0,0
20010213,28.00,28.42,27.51,27.53,1279600,0
20010214,27.75,27.88,26.27,27.09,1089200,0
20010215,27.08,27.31,26.72,26.91,9236400,0
20010216,26.75,27.37,26.55,26.84,0,0
20010219,26.84,26.84,26.84,26.84,0,0
20010220,26.77,27.00,26.30,26.85,658800,0
20010221,26.90,26.90,25.25,25.35,761600,0
20010222,25.56,25.63,24.22,24.75,1709200,0
20010223,24.38,25.63,23.91,25.25,955200,0
20010226,25.00,27.55,24.99,26.64,888400,0
