DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.67,8.67,8.25,8.48,26891,0
20010103,8.42,8.75,8.21,8.73,16895,0
20010104,8.88,9.00,8.83,8.90,28608,0
20010105,8.83,8.83,8.33,8.40,160456,0
20010108,8.40,8.40,8.00,8.04,23572,0
20010109,8.08,8.19,7.94,8.00,18964,0
20010110,7.98,8.02,7.92,7.98,18772,0
20010111,7.98,8.00,7.50,7.81,13063,0
20010112,7.81,7.98,7.48,7.67,24448,0
20010115,7.67,7.67,7.67,7.67,0,0
20010116,7.65,8.00,7.50,7.90,27343,0
20010117,7.98,8.10,7.83,7.83,25619,0
20010118,8.02,8.27,7.83,8.08,15528,0
20010119,8.17,8.31,7.29,7.31,23524,0
20010122,7.31,7.31,7.31,7.31,0,0
20010123,7.25,7.81,7.08,7.75,73824,0
20010124,7.79,8.19,7.63,7.77,26248,0
20010125,7.79,8.50,7.77,8.10,165312,0
20010126,8.04,8.23,7.73,7.73,11704,0
20010129,8.36,8.36,7.33,7.33,2206800,0
20010130,7.77,8.36,7.33,7.86,2191800,0
20010131,7.87,8.08,7.72,7.88,1381800,0
20010201,7.58,8.00,7.58,7.93,0,0
20010202,8.00,8.08,7.80,7.84,0,0
20010205,7.67,8.13,7.67,8.10,3964500,0
20010206,8.10,8.32,7.98,8.28,1593300,0
20010207,8.23,8.34,8.18,8.27,337500,0
20010208,8.30,8.37,7.92,7.97,809100,0
20010209,8.10,8.10,7.60,7.67,1093800,0
20010212,7.40,7.91,7.33,7.86,4825800,0
20010213,7.90,8.19,7.86,8.05,867300,0
20010214,8.17,8.22,7.98,8.15,628500,0
20010215,8.31,8.42,8.17,8.17,6588900,0
20010216,8.17,8.24,7.96,8.17,800100,0
20010219,8.17,8.17,8.17,8.17,0,0
20010220,7.88,7.98,7.69,7.71,1295400,0
20010221,7.71,7.93,7.67,7.72,6892500,0
20010222,7.72,7.73,7.31,7.32,18591600,0
20010223,7.33,7.40,6.85,7.40,1395000,0
20010226,7.77,7.77,7.53,7.68,843000,0
20010227,7.67,7.67,7.45,7.46,1098000,0
20010228,7.54,7.65,7.46,7.60,947400,0
20010301,7.33,7.60,7.21,7.60,543900,0
20010302,7.37,7.82,7.35,7.59,3778200,0
20010305,7.64,7.75,7.51,7.53,15510600,0
20010306,7.70,7.80,7.63,7.70,6643800,0
20010307,7.00,7.12,6.92,7.03,42614400,0
20010308,7.17,7.32,7.10,7.19,1250100,0
20010309,7.15,7.17,6.85,7.00,548100,0
20010312,7.08,7.08,6.70,6.72,360900,0
20010313,6.73,6.83,6.42,6.62,3459900,0
20010314,6.42,6.51,6.23,6.27,476700,0
20010315,6.45,6.45,6.25,6.30,434700,0
20010316,6.30,6.30,5.97,6.06,1102500,0
20010319,6.25,6.45,6.14,6.43,6789300,0
20010320,6.52,6.88,6.43,6.84,16789200,0
20010321,6.83,7.06,6.83,6.87,7588800,0
20010322,6.85,6.95,6.47,6.65,980400,0
20010323,6.73,6.93,6.67,6.93,306300,0
20010326,6.93,7.08,6.79,6.88,108055800,0
20010327,7.05,7.07,6.77,6.98,1098900,0
20010328,6.98,7.08,6.84,7.06,861900,0
20010329,6.93,7.35,6.90,7.29,28189600,0
20010330,7.34,7.38,6.99,7.05,1985100,0
20010402,6.93,7.07,6.77,6.83,1106700,0
20010403,6.91,6.91,6.75,6.83,1263000,0
20010404,6.75,6.96,6.75,6.82,282900,0
20010405,6.83,7.08,6.83,7.06,9917100,0
20010406,7.13,7.28,6.67,6.85,7121400,0
20010409,6.85,6.98,6.82,6.88,1162800,0
20010410,7.00,7.27,6.95,7.17,1113000,0
20010411,7.18,7.33,6.95,6.95,9501600,0
20010412,7.28,7.30,6.98,7.17,1008900,0
20010416,7.17,7.33,7.17,7.23,12825900,0
20010417,7.22,7.25,7.00,7.12,701400,0
20010418,7.00,7.16,6.58,6.84,6670200,0
20010419,6.84,7.28,6.84,7.09,1878300,0
20010420,7.09,7.15,6.92,6.94,1821300,0
20010423,6.99,7.06,6.83,7.00,1155900,0
20010424,7.00,7.45,7.00,7.38,13289700,0
20010425,7.42,7.96,7.27,7.87,3371100,0
20010426,8.57,8.70,8.08,8.20,14548200,0
20010427,8.37,8.42,8.12,8.38,7488900,0
