DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.95,12.99,12.57,12.60,32972,0
20010103,12.61,12.92,12.11,12.82,27100,0
20010104,12.87,13.01,12.46,12.59,20964,0
20010105,12.57,12.57,12.19,12.25,10008,0
20010108,11.56,11.83,10.91,11.09,113060,0
20010109,11.37,11.64,11.28,11.47,59936,0
20010110,11.39,11.73,11.26,11.73,663576,0
20010111,11.85,12.08,11.69,12.04,1766148,0
20010112,12.08,12.11,11.87,12.08,0,0
20010115,12.08,12.08,12.08,12.08,0,0
20010116,12.04,12.04,11.73,12.04,0,0
20010117,11.70,11.85,11.50,11.73,48612,0
20010118,11.79,11.91,11.73,11.81,23716,0
20010119,11.85,11.85,11.60,11.66,0,0
20010122,11.66,11.66,11.66,11.66,0,0
20010123,11.60,11.89,11.60,11.89,38096,0
20010124,11.94,12.07,11.75,11.89,0,0
20010125,11.85,11.98,11.82,11.95,37364,0
20010126,11.95,12.00,11.76,11.95,15408,0
20010129,12.19,12.33,11.94,12.31,0,0
20010130,12.31,12.33,11.90,12.30,0,0
20010131,12.01,12.31,12.01,12.22,2848000,0
20010201,12.22,12.26,12.19,12.23,5318800,0
20010202,12.24,12.29,12.16,12.26,7106800,0
20010205,12.41,12.41,12.16,12.21,13430800,0
20010206,12.32,12.40,12.25,12.35,0,0
20010207,12.23,12.31,12.07,12.14,0,0
20010208,12.16,12.32,12.16,12.28,0,0
20010209,12.27,12.27,12.01,12.07,0,0
20010212,12.05,12.23,12.04,12.19,796000,0
20010213,12.23,12.24,12.11,12.19,1633200,0
20010214,12.19,12.32,12.16,12.30,5761600,0
20010215,12.44,12.59,12.40,12.51,2677600,0
20010216,12.51,12.60,11.99,12.14,0,0
20010219,12.14,12.14,12.14,12.14,0,0
20010220,12.14,12.26,12.09,12.20,13215600,0
20010221,12.19,12.30,12.09,12.16,5639200,0
20010222,12.16,12.32,11.99,12.04,57808800,0
20010223,12.04,12.08,11.78,11.88,6156400,0
20010226,11.94,12.26,11.89,12.26,1497200,0
20010227,12.26,12.35,12.10,12.15,9736400,0
20010228,12.15,12.15,11.87,12.02,10058400,0
20010301,12.02,12.20,11.76,12.07,4091600,0
20010302,12.06,12.12,11.98,12.04,5223600,0
20010305,12.03,12.19,12.03,12.13,1466800,0
20010306,12.23,12.32,12.05,12.05,1120000,0
20010307,12.08,12.17,12.05,12.14,25136000,0
20010308,12.19,12.30,12.04,12.18,5687600,0
20010309,12.18,12.18,11.66,11.71,2048400,0
20010312,11.70,11.70,11.37,11.39,10546400,0
20010313,11.40,11.41,11.11,11.16,1121600,0
20010314,11.03,11.04,10.71,10.87,10166000,0
20010315,10.87,10.99,10.87,10.96,9302000,0
20010316,10.96,10.96,10.71,10.81,3788400,0
20010319,10.81,10.94,10.81,10.94,81658400,0
20010320,10.94,11.06,10.75,10.75,65375600,0
20010321,10.75,10.80,10.41,10.46,4614400,0
20010322,10.42,10.45,9.89,10.38,4695600,0
20010323,10.37,10.51,10.29,10.48,1840800,0
20010326,10.50,10.90,10.28,10.80,29198800,0
20010327,10.80,10.87,10.75,10.85,2136400,0
20010328,10.81,10.84,10.54,10.59,21872800,0
20010329,10.55,10.61,10.40,10.41,44688000,0
20010330,10.42,10.42,10.19,10.34,1420000,0
20010402,10.43,10.61,10.22,10.23,9803200,0
20010403,10.22,10.22,9.88,9.88,2857200,0
20010404,9.90,10.25,9.90,10.22,2790800,0
20010405,10.26,10.46,10.26,10.42,2390400,0
20010406,10.42,10.42,10.19,10.28,2439600,0
20010409,10.31,10.47,10.26,10.35,1134000,0
20010410,10.39,10.56,10.33,10.46,29446400,0
20010411,10.49,10.49,9.80,9.85,4014400,0
20010412,9.86,10.33,9.76,10.23,5076800,0
20010416,10.22,10.31,10.06,10.19,994800,0
20010417,10.26,10.41,10.14,10.14,1172000,0
20010418,10.14,11.19,10.11,11.17,4002400,0
20010419,11.16,11.16,10.69,10.80,10740400,0
20010420,10.77,10.82,10.63,10.69,943600,0
20010423,10.72,10.76,10.60,10.66,1130400,0
20010424,10.57,10.69,10.54,10.56,833200,0
20010425,10.54,10.57,10.42,10.54,5179600,0
20010426,10.56,10.65,10.48,10.57,9562800,0
20010427,10.71,10.71,10.34,10.51,1454000,0
20010430,10.19,10.66,10.19,10.61,54809600,0
20010501,10.70,10.70,10.50,10.50,9228800,0
20010502,10.41,10.44,10.33,10.42,49552000,0
20010503,10.42,10.42,10.11,10.23,4542400,0
20010504,10.16,10.68,10.15,10.50,34956800,0
20010507,10.50,10.72,10.50,10.59,5653600,0
20010508,10.85,11.09,10.80,10.94,8808800,0
20010509,10.92,11.03,10.88,10.90,2282800,0
20010510,11.04,11.35,10.97,11.24,3211200,0
20010511,11.37,11.38,11.13,11.13,2687200,0
20010514,11.14,11.15,10.91,10.97,5220800,0
20010515,10.97,11.19,10.97,11.13,967600,0
20010516,11.07,11.56,11.07,11.52,2502000,0
20010517,11.52,11.82,11.51,11.78,13546800,0
20010518,11.75,11.80,11.68,11.80,887200,0
20010521,11.90,12.30,11.85,12.27,5934800,0
20010522,12.23,12.35,12.20,12.22,1805200,0
20010523,12.19,12.24,12.05,12.10,1633600,0
20010524,12.09,12.22,12.08,12.17,20939600,0
20010525,12.23,12.29,12.16,12.28,37331600,0
20010528,12.28,12.28,12.28,12.28,0,0
20010529,12.26,12.31,12.13,12.13,5062800,0
20010530,12.09,12.19,11.95,12.00,1243200,0
20010531,11.95,11.98,11.83,11.93,13823600,0
20010601,11.86,12.02,11.76,11.94,1702400,0
20010604,11.94,11.95,11.87,11.93,1755600,0
20010605,12.01,12.29,12.01,12.25,9104400,0
20010606,12.29,12.36,12.12,12.14,915200,0
20010607,12.14,12.40,12.14,12.32,1174800,0
20010608,12.32,12.35,12.24,12.30,21170400,0
20010611,12.33,12.36,12.09,12.11,1106800,0
20010612,12.12,12.20,11.94,12.14,606400,0
20010613,12.13,12.29,12.13,12.14,736400,0
20010614,12.11,12.11,11.63,11.63,3151600,0
20010615,11.61,11.82,11.60,11.79,5559600,0
20010618,11.77,11.82,11.66,11.72,9374400,0
20010619,11.76,11.82,11.57,11.64,1035600,0
20010620,11.64,11.78,11.56,11.60,2128800,0
20010621,11.56,12.01,11.53,11.96,5742400,0
20010622,12.01,12.04,11.61,11.90,34735200,0
20010625,11.98,11.98,11.76,11.76,9867600,0
20010626,11.76,12.41,11.73,12.35,4928000,0
20010627,11.60,11.60,10.95,10.95,12800400,0
20010628,11.09,11.09,10.74,10.75,1865600,0
20010629,10.75,10.75,10.52,10.61,5126000,0
20010702,10.64,10.88,10.57,10.80,5215600,0
20010703,10.84,11.07,10.84,11.01,4217600,0
20010704,11.01,11.01,11.01,11.01,0,0
20010705,11.01,11.22,10.95,11.00,7300400,0
20010706,10.95,10.95,10.69,10.71,5792000,0
20010709,10.72,10.85,10.63,10.76,2217600,0
20010710,10.75,10.86,10.72,10.82,1775600,0
20010711,10.77,10.87,10.37,10.41,3250400,0
20010712,10.52,10.96,10.51,10.91,10642400,0
20010713,10.90,11.07,10.71,10.89,1063600,0
20010716,10.99,11.00,10.75,10.84,21867600,0
20010717,10.83,10.91,10.65,10.68,10171200,0
20010718,10.69,10.75,10.58,10.66,9154000,0
20010719,10.71,10.85,10.61,10.82,1040400,0
20010720,10.87,10.91,10.72,10.78,790400,0
20010723,10.76,10.81,10.47,10.50,1464000,0
20010724,10.46,10.65,10.43,10.47,9747200,0
20010725,10.51,10.60,10.43,10.54,1708800,0
20010726,10.54,10.69,10.47,10.61,1335600,0
20010727,10.64,10.74,10.60,10.66,2895600,0
20010730,10.61,10.70,10.58,10.64,12794000,0
20010731,10.62,10.78,10.60,10.72,2262000,0
20010801,10.18,10.72,10.15,10.66,19552400,0
20010802,10.69,10.90,10.69,10.85,13732800,0
20010803,10.84,10.94,10.76,10.94,136272000,0
20010806,10.95,10.97,10.82,10.91,169514400,0
20010807,10.99,11.13,10.95,11.10,8738400,0
