DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20050721,7.3500,7.5500,7.1000,7.5450,36813300,0
20050722,7.5250,7.6250,7.4600,7.4950,20357316,0
20050725,7.4950,7.4975,6.9900,7.0250,22251044,0
20050726,7.0250,7.0500,6.8700,7.0000,20462180,0
20050727,6.9750,7.1600,6.9350,7.0000,22991956,0
20050728,7.0000,7.1900,6.9850,7.1250,19356322,0
20050729,7.1250,7.1600,6.9950,7.1350,5065508,0
20050801,7.0800,7.2000,6.9950,7.0200,5291618,0
20050802,6.9600,7.0150,6.7550,6.9900,13915834,0
20050803,6.9000,7.1150,6.8450,7.1150,5331156,0
20050804,6.9550,7.1250,6.9450,7.0800,7696078,0
20050805,7.0300,7.0800,6.9500,7.0500,6253196,0
20050808,6.9500,7.1000,6.9250,7.0250,3947132,0
20050809,7.0300,7.0400,6.9300,6.9850,6181268,0
20050810,6.9750,7.0900,6.9650,7.0550,19272168,0
20050811,7.1400,7.5100,7.1400,7.2950,20640870,0
20050812,7.3300,7.3900,7.2500,7.3550,11317258,0
20050815,7.3300,7.6500,7.3000,7.5700,9756676,0
20050816,7.6500,7.8800,7.5100,7.6000,10628840,0
20050817,7.6050,7.6700,7.5300,7.5500,5625524,0
20050818,7.5150,7.5600,7.4800,7.5100,2175702,0
20050819,7.5000,7.6700,7.5000,7.6100,3555846,0
20050822,7.5850,7.8250,7.5850,7.7500,2538198,0
20050823,7.8250,7.9500,7.6900,7.8400,3557170,0
20050824,7.8000,8.0250,7.7600,7.9150,3240968,0
20050825,7.9500,7.9500,7.6700,7.8750,1890688,0
20050826,7.8900,7.9450,7.5750,7.7900,2800936,0
20050829,7.7500,7.8100,7.6200,7.6900,1683682,0
20050830,7.5500,7.7500,7.5000,7.6600,5102990,0
20050831,7.6950,7.6950,7.5250,7.5700,3994904,0
20050901,7.5250,7.5850,7.4950,7.5800,3751688,0
20050902,7.5100,7.5750,7.4600,7.5750,2651436,0
20050906,7.5250,7.6250,7.5250,7.6050,3255066,0
20050907,7.5800,7.6150,7.5500,7.6100,2693664,0
20050908,7.5700,7.7250,7.5400,7.5500,4797238,0
20050909,7.5500,7.5550,7.4850,7.5000,4687456,0
20050912,7.5000,7.5500,7.4600,7.4850,1616852,0
20050913,7.5600,7.6000,7.3400,7.4200,3618958,0
20050914,7.3750,7.5000,7.3400,7.4600,1977590,0
20050915,7.5050,7.5650,7.4250,7.5050,2167548,0
20050916,7.5250,7.5350,7.4650,7.4800,1887200,0
20050919,7.5450,7.6250,7.4950,7.5250,1501452,0
20050920,7.5250,7.6550,7.4900,7.5200,2822534,0
20050921,7.5600,7.5750,7.3750,7.3950,1920240,0
20050922,7.3750,7.4350,7.3200,7.3500,4457210,0
20050923,7.3500,7.3600,7.2250,7.3150,1671846,0
20050926,7.3450,7.3450,7.2750,7.2900,1983240,0
20050927,7.2700,7.3350,7.2250,7.2850,2055234,0
20050928,7.3350,7.3350,7.1750,7.2050,3488656,0
20050929,7.1750,7.2250,7.1000,7.1250,5970392,0
20050930,7.1150,7.3250,7.0800,7.2200,5723360,0
20051003,7.2150,7.2750,7.2050,7.2650,2542924,0
20051004,7.2500,7.2750,6.9800,7.0100,4034402,0
20051005,6.9950,7.0500,6.9000,6.9500,8091972,0
20051006,6.9500,7.0000,6.8700,6.9050,2782608,0
20051007,6.8850,7.0000,6.8850,6.9900,2042970,0
20051010,6.9600,7.0750,6.9500,6.9850,2643588,0
20051011,6.9750,7.0750,6.9500,7.0250,6167398,0
20051012,6.9850,7.0350,6.9750,7.0100,2260162,0
20051013,7.0250,7.1750,6.9950,7.1250,4209332,0
20051014,7.1800,7.3050,7.1000,7.2450,6241656,0
20051017,7.2250,7.2500,7.0000,7.1150,4525862,0
20051018,7.1300,7.1600,7.0451,7.0850,1683850,0
20051019,7.0400,7.0653,6.9250,7.0050,3673854,0
20051020,6.9800,7.0100,6.9100,6.9400,4683292,0
20051021,6.9550,7.2150,6.9250,7.0400,7749502,0
20051024,7.0600,7.1400,7.0200,7.1200,1513866,0
20051025,7.0650,7.1350,6.9900,7.0200,2503478,0
20051026,6.9800,7.0100,6.9550,6.9900,4148978,0
20051027,6.9600,7.0750,6.8450,6.8700,7698606,0
20051028,6.9000,7.1300,6.8500,7.0950,4183884,0
20051031,7.0950,7.1500,6.9800,7.0450,2957486,0
20051101,7.0000,7.2350,7.0000,7.1100,2708790,0
20051102,7.1450,7.2100,7.0750,7.1900,1697214,0
20051103,7.1900,7.2800,7.0158,7.1000,1973184,0
20051104,7.0900,7.1000,6.9850,7.0550,1494074,0
20051107,7.0550,7.1550,6.9900,7.0750,1069602,0
20051108,7.0300,7.2050,7.0250,7.1750,1224374,0
20051109,7.1200,7.1900,6.8900,7.1700,4723292,0
20051110,7.1000,7.4150,7.0950,7.3950,2236800,0
20051111,7.4000,7.6500,7.3100,7.6300,4819780,0
20051114,7.6750,7.6750,7.5150,7.6550,2513408,0
20051115,7.7000,7.7200,7.5950,7.6550,2763868,0
20051116,7.6950,7.6950,7.4550,7.5000,2462882,0
20051117,7.5000,7.5400,7.3350,7.4450,1369760,0
20051118,7.4250,7.6700,7.4250,7.6200,6406686,0
20051121,7.7050,7.8700,7.5750,7.8000,3083900,0
20051122,7.8250,7.8750,7.7000,7.8750,3185950,0
20051123,7.8350,7.9400,7.7500,7.9050,1719396,0
20051125,7.8750,7.9800,7.8550,7.9200,522552,0
20051128,7.9200,7.9200,7.8200,7.8750,3895192,0
20051129,7.8000,7.9050,7.7300,7.8750,3940838,0
20051130,7.8600,7.8700,7.7650,7.8050,2716368,0
20051201,7.8350,7.8800,7.7500,7.8200,1790242,0
20051202,7.8750,7.8850,7.7450,7.8000,1111078,0
20051205,7.8500,7.8850,7.6650,7.7450,2428326,0
20051206,7.7250,7.7500,7.5450,7.5550,2478192,0
20051207,7.5350,7.8600,7.5330,7.6450,1932170,0
20051208,7.6750,7.8000,7.6200,7.7450,855938,0
20051209,7.7450,7.8050,7.6450,7.7400,1058982,0
20051212,7.8750,8.1150,7.8400,7.9000,7550584,0
20051213,7.9400,8.0000,7.9100,7.9850,3698392,0
20051214,7.9500,8.0600,7.9450,8.0000,3087928,0
20051215,7.9850,8.0250,7.7100,7.7750,4488198,0
20051216,7.8450,8.0550,7.7550,8.0350,21563796,0
20051219,7.9750,7.9750,7.7250,7.8150,4250392,0
20051220,7.7900,7.9950,7.7100,7.7450,3442866,0
20051221,7.7500,7.8800,7.6450,7.6700,1591850,0
20051222,7.6400,7.7800,7.6300,7.6400,1369546,0
20051223,7.7000,7.8050,7.5950,7.7100,1285222,0
20051227,7.7000,7.8200,7.5850,7.6550,1641180,0
20051228,7.6150,7.6700,7.6000,7.6050,1213106,0
20051229,7.6600,7.7350,7.6050,7.6250,2004030,0
20051230,7.5950,7.6950,7.5600,7.5750,3179630,0
20060103,7.5600,7.6450,7.5300,7.5750,4612328,0
20060104,7.5500,7.6550,7.5300,7.6500,4491580,0
20060105,7.6750,7.6750,7.6250,7.6300,2233966,0
20060106,7.6850,7.7450,7.6050,7.6750,1832128,0
20060109,7.6450,7.6750,7.5750,7.6500,2387576,0
20060110,7.5950,7.6650,7.5950,7.6650,3972752,0
20060111,7.6400,7.6550,7.6000,7.6450,2231902,0
20060112,7.6200,7.6650,7.6100,7.6300,2200336,0
20060113,7.6600,7.6600,7.5850,7.6100,2475732,0
20060117,7.5900,7.7400,7.5900,7.7300,3116164,0
20060118,7.7300,7.7550,7.6250,7.7300,1473986,0
20060119,7.7150,7.7750,7.6150,7.7550,3427720,0
20060120,7.7050,7.8000,7.6200,7.6600,1910044,0
20060123,7.6450,7.7250,7.5950,7.7050,1303412,0
20060124,7.6900,7.7150,7.6800,7.7050,1282768,0
20060125,7.6800,7.6950,7.6050,7.6650,1822828,0
20060126,7.7350,7.7500,7.6650,7.7000,1475964,0
20060127,7.6950,7.7950,7.6950,7.7550,1281180,0
20060130,7.8000,7.8250,7.6350,7.6750,1050686,0
20060131,7.7050,7.7050,7.5450,7.5800,3073386,0
