DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20171121,38.00,52.00,38.00,50.50,289750,0
20171122,49.51,52.00,49.00,51.90,310498,0
20171124,52.00,53.40,51.07,51.98,60700,0
20171127,52.85,56.75,49.00,52.00,81149,0
20171128,53.50,53.50,49.02,50.24,48700,0
20171129,50.10,50.50,49.30,50.20,31686,0
20171130,50.46,50.46,49.50,50.00,34157,0
20171201,50.00,54.61,50.00,51.99,101899,0
20171204,50.52,51.99,50.00,50.82,108697,0
20171205,51.54,57.25,50.01,56.50,16283499,0
20171206,55.83,56.61,53.67,54.13,6263926,0
20171207,54.11,54.41,52.05,52.91,3961938,0
20171208,52.07,53.33,50.73,51.00,7267783,0
20171211,50.70,51.09,50.00,50.26,4618324,0
20171212,49.99,51.53,49.59,50.68,4511524,0
20171213,50.60,51.42,49.40,49.55,3772734,0
20171214,49.23,49.84,47.10,49.00,4740526,0
20171215,49.11,51.43,49.01,50.95,3303534,0
20171218,51.75,53.51,51.58,53.11,1807652,0
20171219,55.13,56.01,53.21,53.92,2341352,0
20171220,53.95,54.81,53.63,54.61,1161311,0
20171221,55.25,55.25,53.14,53.49,1377466,0
20171222,53.23,53.59,52.50,52.95,1139988,0
20171226,52.94,53.21,52.08,52.11,650197,0
20171227,52.00,53.51,51.59,53.00,863578,0
20171228,53.21,53.24,52.63,52.92,499837,0
20171229,53.07,53.31,52.47,52.47,407478,0
20180102,53.00,55.20,52.82,55.01,1126011,0
20180103,55.10,55.81,53.73,53.97,1453996,0
20180104,54.29,56.92,54.10,56.41,1205707,0
20180105,56.50,57.84,54.71,56.48,2394046,0
20180108,56.73,56.73,55.55,55.85,743772,0
20180109,56.21,59.60,56.21,57.81,2143345,0
20180110,57.68,58.91,55.09,55.86,1470591,0
20180111,56.00,57.90,55.87,57.85,1090264,0
20180112,58.06,59.56,58.01,59.46,2057221,0
20180116,59.74,60.39,57.43,57.72,1667705,0
20180117,58.19,60.00,56.65,59.23,842073,0
20180118,59.49,59.77,57.03,57.26,933613,0
20180119,57.68,57.68,56.40,56.55,1436039,0
20180122,56.63,56.70,55.06,55.78,731210,0
20180123,55.68,56.35,55.44,56.03,795401,0
20180124,56.59,57.07,55.87,56.21,1598838,0
20180125,56.38,56.72,54.55,55.48,909764,0
20180126,56.02,56.34,55.56,56.03,1004047,0
20180129,56.28,57.74,55.93,57.65,1324081,0
20180130,56.85,58.15,56.53,56.59,1112351,0
20180131,57.12,58.67,54.60,55.23,1908338,0
20180201,55.02,56.55,55.01,55.80,1065368,0
20180202,55.80,55.91,54.36,54.47,893834,0
20180205,54.06,54.90,51.50,51.66,772914,0
20180206,51.13,53.68,50.59,53.49,1132186,0
20180207,53.47,54.77,52.97,54.07,636161,0
20180208,53.64,53.99,51.05,51.93,792702,0
