DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.0833,8.0833,7.6458,7.6667,8535900,0
20010103,7.5938,8.4792,7.5000,8.3542,10899000,0
20010104,8.0833,8.1250,7.1458,7.3333,18690900,0
20010105,7.5208,8.0625,7.4792,7.9583,10162200,0
20010108,8.0000,8.0000,7.7917,7.8542,5371500,0
20010109,7.9167,7.9167,7.2708,7.3958,6006900,0
20010110,7.4167,7.5625,7.3125,7.5208,6350100,0
20010111,7.5000,8.4167,7.4792,8.3542,13095900,0
20010112,8.4167,9.1250,8.3958,9.0833,5642100,0
20010115,9.0833,9.0833,9.0833,9.0833,0,0
20010116,8.9167,9.3333,8.8958,9.1667,5617500,0
20010117,9.1667,9.4792,9.1667,9.3542,3388800,0
20010118,9.2917,9.3542,9.1250,9.1875,3311700,0
20010119,9.1667,9.2500,8.5417,8.6250,4533000,0
20010122,8.7083,9.0417,8.5417,9.0208,3115200,0
20010123,8.9896,9.0000,8.6458,8.7917,5861700,0
20010124,8.8125,9.2083,8.7917,8.9271,4993800,0
20010125,9.0000,9.7500,8.8333,9.5833,6631800,0
20010126,9.5000,10.0625,9.4583,9.9792,6123600,0
20010129,9.8542,10.0208,9.7500,10.0208,3615600,0
20010130,9.9792,10.0208,9.6875,9.7292,3386100,0
20010131,9.7708,10.5625,9.7708,10.1458,5992800,0
20010201,10.2917,10.7500,10.1250,10.4167,3179400,0
20010202,10.3542,10.3750,9.9583,10.1250,2590800,0
20010205,10.0417,10.1875,9.5000,9.8333,2731200,0
20010206,9.8542,10.1250,9.6458,9.6875,2236800,0
20010207,9.6667,10.1875,9.6667,10.0833,1905600,0
20010208,10.0833,10.1250,9.5417,9.6250,33300000,0
20010209,9.6458,9.6458,8.8958,9.0000,2939700,0
20010212,9.0000,9.0208,8.3750,8.6458,6697200,0
20010213,8.7500,9.3333,8.7500,9.2917,3528900,0
20010214,9.2083,9.6250,9.1667,9.5208,2480400,0
20010215,9.6667,9.8750,9.1250,9.2083,2222100,0
20010216,9.2292,9.4167,8.9167,9.0833,1358100,0
20010219,9.0833,9.0833,9.0833,9.0833,0,0
20010220,9.0208,9.2500,9.0000,9.0625,1880100,0
20010221,9.0521,9.3021,9.0000,9.2083,2088000,0
20010222,9.2083,9.3542,8.8333,9.2083,2899500,0
20010223,9.1771,9.2083,8.9583,9.0000,4319700,0
20010226,9.1667,9.7500,9.0417,9.6875,1823100,0
20010227,9.6354,9.7292,9.3333,9.4271,1137300,0
20010228,9.5417,9.6875,9.1667,9.2708,1334400,0
20010301,9.1667,9.3333,9.0625,9.0833,1924200,0
20010302,8.9167,9.2500,8.8333,9.2083,1680900,0
20010305,9.2708,9.5833,9.2500,9.3333,1574700,0
20010306,9.5000,9.5417,9.3542,9.5208,2986500,0
20010307,9.6146,9.7083,9.3958,9.4167,2016300,0
20010308,9.4375,9.7083,9.3750,9.5833,1247700,0
20010309,9.5417,9.5833,9.2500,9.4792,1365900,0
20010312,9.2292,9.2292,8.8750,9.0208,1679400,0
20010313,8.9792,9.0000,8.3542,8.7917,3408300,0
20010314,8.6771,8.7917,7.8750,8.0625,4643400,0
20010315,6.4167,6.6250,5.9583,6.0625,66960300,0
20010316,6.1042,6.3750,6.0625,6.0833,19010100,0
20010319,6.1250,6.1250,5.7083,5.7917,13113900,0
20010320,5.8333,5.8542,5.5417,5.6667,14750700,0
20010321,5.6771,5.6771,5.2500,5.2708,10883100,0
20010322,5.2708,5.5208,5.1875,5.3958,9277800,0
20010323,5.5000,6.0000,5.4792,5.8542,13488000,0
20010326,5.9583,5.9792,5.8333,5.8542,5262300,0
20010327,5.8767,6.6033,5.8767,6.5633,20210100,0
20010328,6.3867,6.3967,6.2933,6.3767,13159200,0
20010329,6.3533,6.7100,6.3133,6.3333,5715300,0
20010330,6.3333,6.6033,6.2700,6.4167,4556700,0
20010402,6.3533,6.3767,6.1667,6.2500,4154100,0
20010403,6.2500,6.2700,6.0000,6.0200,4934100,0
20010404,6.0000,6.2500,5.9800,6.1867,3871500,0
20010405,6.2700,6.6467,6.2700,6.6267,7668000,0
20010406,6.5533,6.7500,6.5000,6.6267,5007600,0
20010409,6.5833,6.7000,6.3333,6.3900,3460500,0
20010410,6.4067,6.7067,6.4033,6.5733,6431100,0
20010411,6.6167,6.6833,6.4667,6.5933,4281000,0
20010412,6.4867,6.6000,6.3167,6.4200,2822700,0
20010416,6.3967,6.7000,6.3333,6.5033,5589900,0
20010417,6.4867,6.8267,6.4667,6.8000,7389000,0
20010418,6.8833,7.3300,6.8600,7.1700,7185600,0
20010419,7.1667,7.7533,7.0667,7.7200,6967200,0
20010420,7.6500,7.6667,7.1000,7.3233,5733300,0
20010423,7.2833,7.4333,7.1667,7.3333,2408400,0
20010424,7.2167,7.2167,6.5400,6.5533,5837700,0
