DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,25.88,26.63,25.88,25.88,0,0
20010103,25.63,26.13,25.44,25.94,2185,0
20010104,25.81,25.88,24.00,24.38,0,0
20010105,24.13,24.19,23.44,24.13,0,0
20010108,23.88,24.31,23.63,24.00,0,0
20010109,24.06,25.00,23.81,25.00,1924,0
20010110,25.00,26.25,24.75,25.38,811,0
20010111,25.38,26.13,25.38,25.75,0,0
20010112,25.94,26.31,25.69,26.19,1778,0
20010115,26.19,26.19,26.19,26.19,0,0
20010116,26.00,26.81,25.38,26.44,1108,0
20010117,26.44,26.69,26.13,26.19,484,0
20010118,26.13,26.63,25.38,25.56,651,0
20010119,25.44,25.56,24.88,24.94,1001,0
20010122,24.94,24.94,24.94,24.94,0,0
20010123,25.00,25.06,24.25,24.31,1771,0
20010124,24.25,25.50,24.25,25.00,0,0
20010125,24.88,25.13,24.63,24.69,0,0
20010126,24.56,24.56,23.75,24.13,861,0
20010129,24.44,26.09,24.00,24.31,0,0
20010130,24.94,27.09,24.63,26.72,0,0
20010131,24.85,25.40,24.80,25.05,657900,0
20010201,25.10,25.14,24.77,24.90,321700,0
20010202,24.70,24.80,24.63,24.69,0,0
20010205,24.49,24.90,24.49,24.76,10256600,0
20010206,24.70,24.89,24.38,24.71,103700,0
20010207,24.71,25.00,24.60,24.80,95800,0
20010208,24.70,24.90,24.70,24.74,0,0
20010209,24.63,24.95,24.55,24.81,0,0
20010212,24.73,24.90,24.43,24.43,0,0
20010213,24.48,24.85,24.20,24.39,129400,0
20010214,24.30,24.55,24.20,24.36,0,0
20010215,24.30,24.70,24.30,24.61,93100,0
20010216,24.55,24.79,24.45,24.78,0,0
20010219,24.78,24.78,24.78,24.78,0,0
20010220,24.90,24.90,24.47,24.61,70300,0
20010221,24.60,24.95,24.60,24.95,172500,0
20010222,24.95,24.98,23.92,24.65,341700,0
20010223,24.66,25.10,24.60,25.10,70200,0
20010226,25.10,25.30,25.00,25.30,82300,0
20010227,25.30,25.70,25.20,25.44,101600,0
20010228,25.60,25.85,24.43,25.03,498400,0
20010301,25.00,25.30,25.00,25.07,140500,0
20010302,25.22,25.66,25.01,25.30,140200,0
20010305,25.40,25.80,25.40,25.70,156000,0
20010306,25.70,25.95,25.70,25.90,79500,0
20010307,25.90,26.62,25.90,26.30,45700,0
20010308,26.30,26.97,26.30,26.80,74300,0
20010309,26.80,27.25,26.60,26.90,123900,0
20010312,26.81,26.82,26.25,26.60,70200,0
20010313,26.55,26.75,26.45,26.45,66900,0
20010314,26.40,27.06,26.14,26.20,16137300,0
20010315,26.20,26.20,25.30,25.50,218400,0
20010316,25.70,26.10,25.52,25.99,3293500,0
20010319,26.00,26.21,25.65,26.00,1099400,0
20010320,26.00,26.50,25.51,25.51,108200,0
