DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.81,2.81,2.61,2.66,85540,0
20010103,2.63,2.63,2.31,2.45,10768,0
20010104,2.45,2.48,2.20,2.36,0,0
20010105,2.33,2.41,2.28,2.39,45776,0
20010108,2.41,2.75,2.41,2.61,48272,0
20010109,2.56,2.61,2.41,2.56,5120,0
20010110,2.53,2.59,2.50,2.56,2372,0
20010111,2.59,2.69,2.53,2.63,0,0
20010112,2.58,2.66,2.52,2.61,2788,0
20010115,2.61,2.61,2.61,2.61,0,0
20010116,2.58,2.61,2.44,2.56,6152,0
20010117,2.59,2.72,2.47,2.50,11016,0
20010118,2.50,2.53,2.38,2.44,0,0
20010119,2.44,2.58,2.39,2.56,6364,0
20010122,2.56,2.56,2.56,2.56,0,0
20010123,2.58,2.66,2.56,2.66,7336,0
20010124,2.50,2.53,2.41,2.47,0,0
20010125,2.48,2.52,2.48,2.52,2480,0
20010126,2.50,2.55,2.47,2.52,3628,0
20010129,2.50,2.99,2.50,2.98,0,0
20010130,2.64,2.64,2.34,2.45,703200,0
20010131,2.31,2.42,2.31,2.42,0,0
20010201,2.42,2.50,2.39,2.47,0,0
20010202,2.47,2.56,2.47,2.50,0,0
20010205,2.50,2.55,2.38,2.50,0,0
20010206,2.50,2.60,2.47,2.55,4277200,0
20010207,2.55,2.58,2.50,2.55,486000,0
20010208,2.57,2.62,2.57,2.59,0,0
20010209,2.59,2.64,2.55,2.61,0,0
20010212,2.63,2.68,2.63,2.68,0,0
20010213,2.69,2.69,2.52,2.63,0,0
20010214,2.63,2.65,2.59,2.60,0,0
20010215,2.58,2.58,2.53,2.54,0,0
20010216,2.54,2.61,2.54,2.55,0,0
20010219,2.55,2.55,2.55,2.55,0,0
20010220,2.56,2.58,2.52,2.57,324000,0
20010221,2.56,2.61,2.50,2.59,721200,0
20010222,2.60,2.61,2.55,2.60,234800,0
20010223,2.68,2.75,2.68,2.70,1054400,0
20010226,2.72,2.75,2.63,2.66,170000,0
20010227,2.66,2.72,2.63,2.63,356800,0
20010228,2.65,2.65,2.51,2.53,4196400,0
20010301,2.56,2.56,2.40,2.50,769600,0
20010302,2.49,2.55,2.45,2.54,322400,0
20010305,2.55,2.59,2.54,2.56,280800,0
20010306,2.60,2.62,2.54,2.56,216800,0
20010307,2.58,2.68,2.58,2.67,4595600,0
20010308,2.68,2.73,2.66,2.70,418800,0
20010309,2.73,2.98,2.71,2.92,725200,0
20010312,2.94,3.00,2.72,2.75,670800,0
20010313,2.66,2.67,2.50,2.51,4639200,0
20010314,2.50,2.50,2.33,2.40,592800,0
20010315,2.38,2.42,2.33,2.37,295600,0
20010316,2.39,2.48,2.33,2.35,603200,0
20010319,2.37,2.37,2.30,2.34,268000,0
20010320,2.33,2.40,2.32,2.33,357200,0
20010321,2.33,2.35,2.31,2.33,228800,0
20010322,2.33,2.33,1.99,2.15,1343600,0
20010323,2.16,2.27,2.16,2.25,628000,0
20010326,2.25,2.26,2.13,2.15,470800,0
20010327,2.21,2.25,2.13,2.25,271200,0
20010328,2.22,2.22,2.08,2.15,460800,0
20010329,2.12,2.12,2.00,2.01,292400,0
20010330,2.02,2.11,2.02,2.03,378000,0
20010402,2.05,2.05,1.94,1.97,516400,0
20010403,1.90,1.95,1.83,1.84,454800,0
20010404,1.91,1.99,1.91,1.94,191600,0
20010405,1.97,2.09,1.95,2.06,314400,0
20010406,2.06,2.09,2.02,2.05,314400,0
20010409,2.06,2.11,2.04,2.07,367200,0
20010410,2.09,2.18,2.08,2.16,4399600,0
20010411,2.15,2.21,2.12,2.15,347200,0
20010412,2.16,2.24,2.16,2.22,350000,0
20010416,2.19,2.24,2.16,2.22,502400,0
20010417,2.22,2.26,2.22,2.24,636000,0
20010418,2.30,2.34,2.22,2.25,537600,0
20010419,2.25,2.30,2.23,2.23,372000,0
20010420,2.22,2.22,2.06,2.22,3452400,0
20010423,2.19,2.28,2.19,2.23,432000,0
20010424,2.22,2.27,2.19,2.20,341600,0
20010425,2.21,2.26,2.20,2.25,632800,0
20010426,2.26,2.37,2.26,2.29,950800,0
20010427,2.34,2.37,2.31,2.31,4437200,0
20010430,2.36,2.38,2.31,2.34,456400,0
20010501,2.35,2.38,2.29,2.30,581200,0
20010502,2.29,2.30,2.19,2.24,770000,0
20010503,2.25,2.28,2.16,2.21,1310000,0
20010504,2.21,2.26,2.21,2.26,516800,0
20010507,2.27,2.29,2.23,2.23,419600,0
20010508,2.24,2.24,2.18,2.21,346400,0
20010509,2.21,2.26,2.21,2.23,575600,0
20010510,2.25,2.34,2.22,2.34,384000,0
20010511,2.32,2.45,2.32,2.40,254000,0
20010514,2.42,2.59,2.42,2.58,1336800,0
20010515,2.61,2.75,2.61,2.69,984800,0
20010516,2.70,2.75,2.58,2.60,1417600,0
20010517,2.63,2.71,2.63,2.70,805200,0
20010518,2.72,2.85,2.70,2.85,643200,0
20010521,2.88,2.99,2.88,2.88,1105600,0
20010522,2.90,3.08,2.88,2.88,1149200,0
20010523,2.88,2.89,2.63,2.70,870800,0
20010524,2.70,2.70,2.58,2.60,912000,0
20010525,2.61,2.64,2.59,2.63,333600,0
20010528,2.63,2.63,2.63,2.63,0,0
20010529,2.63,2.66,2.56,2.61,242400,0
20010530,2.60,2.66,2.57,2.65,460000,0
20010531,2.64,2.73,2.63,2.70,4427200,0
20010601,2.72,2.72,2.60,2.65,328400,0
20010604,2.66,2.82,2.66,2.80,698000,0
20010605,2.80,2.88,2.73,2.84,408000,0
20010606,2.75,2.76,2.65,2.69,807200,0
20010607,2.71,2.74,2.70,2.72,157600,0
20010608,2.72,2.75,2.58,2.63,477600,0
20010611,2.63,2.63,2.54,2.60,510800,0
20010612,2.59,2.66,2.59,2.66,714400,0
20010613,2.67,2.70,2.56,2.62,259200,0
20010614,2.64,2.64,2.47,2.54,4433600,0
20010615,2.55,2.55,2.46,2.52,95200,0
20010618,2.52,2.52,2.46,2.47,280400,0
20010619,2.47,2.49,2.38,2.39,235600,0
20010620,2.38,2.38,2.24,2.27,673600,0
20010621,2.26,2.30,2.21,2.21,434400,0
20010622,2.21,2.25,2.10,2.15,430000,0
20010625,2.14,2.17,2.10,2.14,344400,0
20010626,2.12,2.29,2.09,2.22,469600,0
20010627,2.20,2.26,2.09,2.12,484000,0
20010628,2.08,2.10,2.03,2.05,349600,0
20010629,2.07,2.35,2.07,2.35,740400,0
20010702,2.33,2.33,2.17,2.20,372400,0
20010703,2.20,2.25,2.19,2.25,140800,0
20010704,2.25,2.25,2.25,2.25,0,0
20010705,2.25,2.32,2.25,2.27,472400,0
20010706,2.30,2.30,2.22,2.25,188400,0
20010709,2.25,2.34,2.24,2.29,498000,0
20010710,2.29,2.30,2.20,2.20,444800,0
20010711,2.17,2.18,2.08,2.08,426800,0
20010712,2.11,2.12,2.03,2.09,452400,0
20010713,2.08,2.12,2.08,2.10,301600,0
20010716,2.10,2.11,2.01,2.03,484800,0
20010717,2.03,2.06,2.01,2.02,144800,0
20010718,2.03,2.04,1.88,1.96,646400,0
20010719,1.95,2.04,1.94,1.95,329600,0
20010720,1.98,2.04,1.97,2.01,235600,0
20010723,2.04,2.06,2.03,2.04,234400,0
20010724,2.06,2.06,1.96,1.98,245600,0
20010725,2.00,2.08,1.98,2.07,290400,0
20010726,2.10,2.15,2.08,2.12,293600,0
20010727,2.14,2.19,2.13,2.16,206400,0
20010730,2.20,2.20,2.19,2.20,112400,0
20010731,2.17,2.25,2.14,2.16,70000,0
20010801,2.23,2.32,2.23,2.30,409600,0
20010802,2.33,2.44,2.26,2.36,436400,0
20010803,2.40,2.41,2.31,2.34,234000,0
20010806,2.34,2.34,2.25,2.27,170000,0
20010807,2.29,2.31,2.19,2.26,304800,0
20010808,2.23,2.31,2.19,2.20,254400,0
20010809,2.13,2.22,2.10,2.13,308800,0
20010810,2.12,2.16,2.12,2.13,203200,0
20010813,2.14,2.15,2.11,2.14,145200,0
