DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.06,41.31,39.69,39.94,23506,0
20010103,39.75,40.06,37.81,37.81,12959,0
20010104,37.56,37.56,35.63,37.13,0,0
20010105,37.38,38.56,37.00,37.56,7683,0
20010108,37.75,38.44,37.25,37.69,8798,0
20010109,38.38,39.00,38.00,38.19,6971,0
20010110,37.50,38.88,37.50,37.88,82641,0
20010111,38.13,38.63,37.38,38.00,10321,0
20010112,38.06,38.50,37.50,38.44,9321,0
20010115,38.44,38.44,38.44,38.44,0,0
20010116,39.19,39.38,37.94,38.88,7583,0
20010117,37.88,37.94,36.38,36.69,9857,0
20010118,37.19,37.19,35.25,35.69,26741,0
20010119,35.44,36.38,34.56,34.75,17640,0
20010122,34.75,34.75,34.75,34.75,0,0
20010123,34.81,36.00,34.81,35.50,15131,0
20010124,35.50,38.50,35.13,38.31,28583,0
20010125,38.94,40.50,38.44,40.44,47804,0
20010126,40.44,41.44,40.00,40.63,17892,0
20010129,41.47,41.97,40.00,41.34,606900,0
20010130,41.66,42.09,39.00,41.69,0,0
20010131,40.30,40.63,40.05,40.50,638700,0
20010201,39.75,39.90,39.35,39.66,1245300,0
20010202,39.70,41.27,39.70,41.08,830600,0
20010205,41.40,41.94,41.35,41.73,759200,0
20010206,42.10,43.09,41.19,43.04,1168600,0
20010207,43.04,44.25,41.90,43.41,2912100,0
20010208,43.43,43.85,42.60,43.03,520500,0
20010209,42.90,43.77,42.60,43.30,695800,0
20010212,43.15,43.16,42.40,42.53,2623600,0
20010213,42.40,43.42,42.01,42.26,709900,0
20010214,42.30,43.25,42.03,42.74,5613200,0
20010215,42.10,42.75,42.01,42.56,1234000,0
20010216,43.55,43.71,42.57,43.10,635000,0
20010219,43.10,43.10,43.10,43.10,0,0
20010220,43.30,43.45,42.25,42.59,452700,0
20010221,42.90,43.24,41.46,41.90,633400,0
20010222,42.52,42.60,40.08,41.00,606800,0
20010223,40.89,41.85,39.00,39.00,653600,0
20010226,39.20,41.75,39.20,41.17,3671000,0
20010227,41.20,42.30,41.00,41.30,993300,0
20010228,41.30,42.00,40.53,41.90,1410400,0
20010301,41.95,42.23,41.27,41.28,21482300,0
20010302,41.80,42.93,41.31,42.76,3232000,0
20010305,42.81,44.34,42.80,44.23,778600,0
20010306,44.23,44.70,43.48,44.28,1081800,0
20010307,44.30,44.98,43.58,44.98,5270200,0
20010308,45.00,45.60,44.10,45.04,2958200,0
20010309,45.04,45.65,44.10,44.67,1638800,0
20010312,44.68,44.90,43.00,43.04,656800,0
20010313,43.20,43.20,41.75,42.25,1685600,0
20010314,42.00,43.00,40.95,41.35,9008200,0
20010315,41.39,41.70,40.45,40.75,1370200,0
20010316,40.30,41.85,40.30,40.32,944800,0
20010319,40.50,41.55,40.50,41.06,724700,0
20010320,41.06,41.98,41.06,41.65,1019700,0
20010321,41.41,41.73,40.85,40.91,272700,0
20010322,41.00,41.22,39.70,40.72,2029300,0
20010323,41.20,41.58,40.20,41.38,679300,0
20010326,41.75,42.18,41.45,41.59,844300,0
20010327,41.85,41.98,40.76,40.76,3611400,0
20010328,40.62,40.72,40.00,40.11,7183800,0
20010329,39.50,39.50,38.53,39.03,3248700,0
20010330,39.45,39.88,39.27,39.35,1478900,0
20010402,38.80,38.85,37.30,38.04,2384200,0
20010403,38.40,38.72,36.60,36.60,1128300,0
20010404,37.25,38.70,37.25,37.96,1366500,0
20010405,38.50,39.90,37.80,39.22,1751300,0
20010406,37.25,38.50,36.92,38.10,4964500,0
20010409,38.20,38.84,38.01,38.48,16600000,0
20010410,38.61,39.13,38.07,39.10,4844100,0
20010411,39.29,39.48,38.50,38.61,1951300,0
20010412,38.90,39.83,38.85,39.48,1426900,0
20010416,39.49,40.50,39.40,40.31,1945500,0
20010417,40.70,41.13,39.81,41.09,1513300,0
20010418,40.85,41.52,40.05,40.38,3048400,0
20010419,40.40,40.46,39.55,39.75,1493100,0
20010420,40.00,40.69,39.71,40.00,1621000,0
20010423,40.60,40.85,40.00,40.60,2214300,0
20010424,41.58,41.79,40.87,41.35,7143100,0
20010425,41.35,42.72,40.90,42.72,694500,0
20010426,42.98,44.74,42.66,43.33,1513400,0
20010427,43.21,43.55,42.70,43.01,1482600,0
20010430,43.95,44.48,43.61,43.92,4573800,0
20010501,43.75,44.25,42.37,43.21,1428700,0
20010502,41.00,41.40,40.45,41.15,1094100,0
20010503,41.95,41.98,39.90,40.00,4990300,0
20010504,40.22,41.47,40.10,41.01,1518900,0
20010507,40.99,41.52,39.57,40.08,905800,0
20010508,40.05,40.19,39.50,39.88,681700,0
20010509,40.13,40.55,39.90,40.02,2685200,0
20010510,40.01,40.21,39.51,39.69,551300,0
20010511,39.50,39.63,39.25,39.39,371600,0
20010514,39.64,40.30,39.64,40.02,1591800,0
20010515,40.52,41.15,39.89,41.00,672500,0
20010516,40.65,41.38,40.55,40.89,786100,0
20010517,41.11,42.00,40.20,41.90,928100,0
20010518,41.90,42.62,41.55,42.46,16536000,0
20010521,42.95,43.00,42.41,43.00,670100,0
20010522,42.80,43.14,42.55,42.75,702700,0
20010523,42.10,42.37,40.90,41.03,1097100,0
20010524,41.00,41.00,39.80,40.40,731400,0
20010525,40.78,41.85,40.40,40.86,1436100,0
20010528,40.86,40.86,40.86,40.86,0,0
20010529,41.25,41.62,40.33,40.78,533300,0
20010530,40.70,41.00,39.15,39.37,444500,0
20010531,39.37,40.14,38.90,39.58,1407200,0
20010601,39.70,39.97,38.90,39.48,1134600,0
20010604,40.30,40.99,40.26,40.65,6637300,0
20010605,40.89,40.89,39.61,40.34,177500,0
20010606,39.60,39.65,38.23,38.45,602900,0
20010607,38.50,38.50,37.78,37.84,809300,0
20010608,38.25,38.50,37.50,37.71,418000,0
20010611,38.00,38.06,36.82,37.31,1772900,0
20010612,37.43,38.50,37.30,37.83,391900,0
20010613,38.65,39.20,37.30,37.65,487000,0
20010614,37.65,37.95,36.86,37.46,518000,0
20010615,37.21,37.88,36.81,36.92,500500,0
20010618,36.35,37.05,36.02,36.03,527800,0
20010619,36.26,36.51,35.16,35.23,4464800,0
20010620,35.65,36.51,34.70,35.66,5840900,0
20010621,35.66,35.95,33.93,35.03,23496200,0
20010622,35.04,35.88,34.24,35.17,2505500,0
20010625,35.35,35.55,34.29,34.83,1456100,0
20010626,35.05,35.33,34.31,35.18,853700,0
20010627,35.19,35.19,33.60,33.63,1003400,0
