DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,33.65,33.65,31.63,32.04,4091,0
20010103,32.35,34.63,31.63,34.38,39937,0
20010104,34.27,35.26,33.96,34.53,0,0
20010105,34.63,34.84,32.87,33.60,8364,0
20010108,33.91,34.38,33.29,33.75,0,0
20010109,33.70,34.17,32.77,32.87,0,0
20010110,32.87,33.13,32.35,33.02,5940,0
20010111,33.44,33.55,32.14,33.13,6423,0
20010112,33.44,34.01,33.13,33.85,45636,0
20010115,33.85,33.85,33.85,33.85,0,0
20010116,33.91,34.84,33.13,34.84,6695,0
20010117,34.84,35.16,34.33,34.63,8433,0
20010118,34.68,34.84,34.22,34.84,16779,0
20010119,34.95,35.26,34.48,35.10,5962,0
20010122,35.10,35.10,35.10,35.10,0,0
20010123,34.12,34.22,32.51,33.85,27810,0
20010124,34.06,34.33,33.85,34.01,7934,0
20010125,33.50,33.96,33.13,33.60,0,0
20010126,33.55,33.60,32.67,33.18,5674,0
20010129,34.87,34.91,33.18,33.44,1253260,0
20010130,33.46,35.74,33.18,34.63,0,0
20010131,34.42,35.21,34.01,34.35,597000,0
20010201,34.22,34.61,33.93,34.21,1239300,0
20010202,34.31,34.84,33.68,33.83,0,0
20010205,34.01,34.43,34.01,34.28,0,0
20010206,34.30,34.34,34.02,34.10,0,0
20010207,34.14,34.16,33.93,34.01,1028600,0
20010208,34.09,34.30,34.01,34.08,0,0
20010209,34.28,34.28,33.51,33.51,635100,0
20010212,33.31,33.97,33.21,33.65,1212200,0
20010213,33.84,34.18,33.76,34.00,657800,0
20010214,33.80,33.97,33.55,33.61,0,0
20010215,34.14,34.59,34.05,34.39,546600,0
20010216,34.39,34.50,33.60,33.96,0,0
20010219,33.96,33.96,33.96,33.96,0,0
20010220,33.94,34.67,33.76,33.84,2624700,0
20010221,34.26,34.26,33.40,33.44,313500,0
20010222,33.64,33.89,32.40,32.86,654300,0
20010223,32.35,32.67,31.52,32.18,2357200,0
20010226,31.98,32.73,31.98,32.62,1366200,0
20010227,33.18,33.29,32.14,32.31,392500,0
20010228,32.39,32.48,31.40,31.82,486800,0
20010301,31.69,31.94,30.99,31.77,698500,0
20010302,31.77,33.18,31.53,32.84,4754600,0
20010305,31.85,33.14,31.85,32.88,833500,0
20010306,33.51,33.99,33.45,33.50,563100,0
