DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20080507,25.20,25.80,24.80,25.50,38943367,0
20080508,25.58,25.83,24.74,25.40,12468501,0
20080509,25.10,25.40,24.94,25.24,9747438,0
20080512,25.11,26.85,25.10,25.57,7921758,0
20080513,25.38,25.92,25.20,25.90,4518734,0
20080514,25.50,26.31,24.60,26.17,4295515,0
20080515,25.75,26.41,25.58,26.03,3969288,0
20080516,25.86,26.75,25.67,26.50,11418172,0
20080519,26.15,26.45,25.97,26.07,5645014,0
20080520,25.70,25.94,25.00,25.55,8338029,0
20080521,25.37,25.78,25.26,25.51,1729260,0
20080522,25.14,26.13,25.12,25.72,7979958,0
20080523,25.52,25.72,25.26,25.42,2421087,0
20080527,25.36,25.53,25.12,25.38,1899240,0
20080528,25.22,25.47,25.05,25.21,5346265,0
20080529,25.01,25.14,24.85,24.95,6850828,0
20080530,24.82,25.47,24.77,25.18,5456313,0
20080602,24.97,25.07,24.11,24.12,2692521,0
20080603,23.80,24.25,23.59,24.20,4636377,0
20080604,23.95,24.19,23.88,23.90,2871238,0
20080605,24.80,26.38,24.70,25.56,10802541,0
20080606,25.12,25.37,24.93,24.98,4040897,0
20080609,24.80,25.30,24.69,24.97,2018343,0
20080610,24.88,25.10,24.85,24.93,3237519,0
20080611,24.98,24.98,24.06,24.33,2352276,0
20080612,24.77,24.85,23.99,24.18,1885825,0
20080613,24.15,24.73,24.03,24.67,2718229,0
20080616,24.73,24.77,23.50,23.71,2799015,0
20080617,23.72,23.74,23.22,23.46,3945095,0
20080618,23.10,24.00,23.06,23.79,1883134,0
20080619,23.85,24.01,23.40,23.89,2262004,0
20080620,23.35,24.00,23.32,24.00,2339498,0
20080623,24.00,24.00,23.56,23.60,1562796,0
20080624,23.25,23.25,22.20,22.54,4845550,0
20080625,22.33,22.88,22.29,22.54,2268041,0
20080626,22.15,22.56,22.07,22.17,2938407,0
20080627,22.02,22.08,21.52,21.60,3328921,0
20080630,21.58,21.58,20.62,20.98,3048004,0
20080701,20.80,20.84,20.03,20.60,3516628,0
20080702,20.91,21.49,20.79,21.34,1593477,0
20080703,21.21,21.34,20.54,20.94,1530385,0
20080707,21.05,21.57,20.94,21.32,1491680,0
20080708,21.15,21.91,21.13,21.50,3116108,0
20080709,21.59,21.78,21.51,21.65,1155418,0
20080710,21.97,22.01,21.46,21.85,1238354,0
20080711,21.42,21.97,21.23,21.64,1310877,0
