DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.66,13.77,13.24,13.50,9015,0
20010103,13.58,13.95,13.43,13.62,12249,0
20010104,13.58,13.69,13.47,13.50,6429,0
20010105,13.43,13.47,13.14,13.43,0,0
20010108,13.43,13.58,13.21,13.40,5951,0
20010109,13.24,13.36,12.76,13.21,9453,0
20010110,12.02,12.88,11.98,12.61,23204,0
20010111,12.61,12.65,12.24,12.31,15099,0
20010112,12.16,12.20,11.86,12.09,24174,0
20010115,12.09,12.09,12.09,12.09,0,0
20010116,11.34,12.35,11.34,12.24,12584,0
20010117,12.09,12.24,12.09,12.16,10640,0
20010118,12.16,12.31,12.09,12.12,9425,0
20010119,11.98,12.24,11.98,12.16,8474,0
20010122,12.16,12.16,12.16,12.16,0,0
20010123,12.09,12.69,12.09,12.50,10995,0
20010124,13.06,13.06,12.38,12.46,41693,0
20010125,12.43,12.76,12.28,12.61,24188,0
20010126,12.76,12.91,12.35,12.38,8657,0
20010129,13.45,13.79,12.54,13.79,607950,0
20010130,12.98,13.79,12.54,13.19,985800,0
20010131,12.65,13.05,12.54,12.90,835500,0
20010201,12.98,12.98,12.38,12.54,24721700,0
20010202,12.54,12.57,11.85,11.94,23411000,0
20010205,12.08,12.11,11.70,11.76,2987550,0
20010206,11.88,12.62,11.88,12.46,6656700,0
20010207,12.46,13.58,12.46,13.37,2191050,0
20010208,13.37,13.40,12.85,12.87,5391300,0
20010209,13.01,13.31,12.98,13.21,743700,0
20010212,13.14,13.37,13.10,13.34,635100,0
20010213,13.25,13.26,13.06,13.06,1385100,0
20010214,13.06,13.19,12.95,12.98,0,0
20010215,13.04,13.19,13.04,13.15,1594950,0
20010216,13.14,13.28,13.05,13.15,849300,0
20010219,13.15,13.15,13.15,13.15,0,0
20010220,13.00,13.21,12.98,13.03,5680950,0
20010221,12.96,12.96,12.63,12.69,5166450,0
20010222,12.69,12.71,12.33,12.43,1283850,0
20010223,12.47,12.80,12.42,12.60,881100,0
20010226,12.45,12.68,12.33,12.55,725850,0
20010227,12.71,12.76,12.51,12.66,563250,0
20010228,12.60,13.01,12.60,12.97,643050,0
20010301,12.92,13.01,12.87,12.97,934950,0
20010302,12.92,13.34,12.71,13.00,16195100,0
20010305,13.06,13.09,12.47,12.67,867750,0
20010306,12.74,12.90,12.60,12.67,663300,0
20010307,12.82,13.74,12.79,13.73,2511300,0
20010308,13.73,13.97,13.73,13.97,1514850,0
20010309,13.91,14.17,13.85,13.91,409650,0
20010312,14.05,14.12,13.85,14.02,3537150,0
20010313,14.08,14.08,13.74,13.80,6831150,0
20010314,13.60,13.84,13.49,13.66,2188200,0
20010315,13.70,13.83,13.66,13.82,937650,0
20010316,13.88,14.00,13.75,13.91,1258200,0
20010319,13.97,14.33,13.76,14.18,105000000,0
20010320,13.90,14.20,13.80,13.83,693900,0
20010321,13.79,13.83,13.63,13.74,9343200,0
20010322,13.73,13.88,13.55,13.76,2076150,0
20010323,13.73,14.01,13.64,13.91,984900,0
20010326,14.03,14.24,14.02,14.19,4753650,0
20010327,14.30,14.77,14.26,14.44,1936350,0
20010328,14.30,14.33,14.24,14.31,6379350,0
20010329,14.26,14.48,14.26,14.31,3486600,0
20010330,14.32,14.32,14.06,14.17,25319600,0
20010402,14.41,14.42,14.24,14.32,5293350,0
20010403,14.33,14.48,13.76,13.99,887250,0
20010404,14.37,14.37,13.70,14.15,14572400,0
