DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.69,38.75,37.94,38.19,5359,0
20010103,38.50,38.88,36.75,37.00,70581,0
20010104,36.75,36.75,34.56,34.88,10692,0
20010105,34.88,35.63,34.50,35.50,0,0
20010108,35.56,36.31,35.44,36.19,0,0
20010109,36.00,36.63,35.81,36.56,11379,0
20010110,36.88,36.94,36.19,36.50,6645,0
20010111,36.50,36.50,33.75,33.88,11272,0
20010112,34.13,34.75,33.81,34.50,10642,0
20010115,34.50,34.50,34.50,34.50,0,0
20010116,34.75,34.75,33.13,33.75,7904,0
20010117,33.94,34.56,33.56,33.81,0,0
20010118,34.00,34.88,34.00,34.75,8181,0
20010119,34.81,35.31,34.19,34.81,9473,0
20010122,34.81,34.81,34.81,34.81,0,0
20010123,35.44,37.00,35.44,36.50,8903,0
20010124,36.50,37.25,36.50,36.81,12697,0
20010125,37.13,37.38,36.50,36.63,4168,0
20010126,37.00,37.00,35.06,35.88,7216,0
20010129,37.13,38.09,36.00,37.91,362100,0
20010130,36.56,38.13,36.00,37.28,0,0
20010131,36.16,36.16,35.13,35.29,1041500,0
20010201,35.75,35.98,34.65,35.09,704300,0
20010202,35.30,35.45,34.68,34.77,542000,0
20010205,34.80,35.66,34.80,34.98,984900,0
20010206,35.23,35.68,34.75,35.37,1229800,0
20010207,35.75,37.17,35.75,37.01,2962400,0
20010208,36.90,38.40,36.90,37.96,1808500,0
20010209,37.96,39.87,37.50,38.37,2083300,0
20010212,38.45,39.12,37.61,38.03,0,0
20010213,38.03,38.44,37.65,37.70,712900,0
20010214,37.70,37.70,36.26,36.87,1169700,0
20010215,36.60,36.88,36.00,36.02,1133400,0
20010216,36.50,36.75,35.70,36.00,1467200,0
20010219,36.00,36.00,36.00,36.00,0,0
20010220,36.33,36.52,35.99,36.07,400200,0
20010221,36.75,37.16,36.11,36.18,440900,0
20010222,36.43,36.75,35.76,35.80,841800,0
20010223,35.85,36.29,34.95,35.20,724800,0
20010226,35.45,36.08,35.18,35.41,449900,0
20010227,35.41,36.08,35.26,35.67,397800,0
20010228,35.80,37.00,35.50,36.31,2665100,0
20010301,37.00,37.81,36.61,37.35,8365100,0
20010302,37.50,38.35,37.41,38.16,1327300,0
20010305,38.14,38.65,38.14,38.59,1151800,0
20010306,38.52,38.98,38.52,38.66,898800,0
20010307,38.66,39.25,38.55,38.78,1231300,0
20010308,38.98,39.41,38.80,39.40,633800,0
20010309,39.41,39.41,38.75,38.77,415900,0
20010312,38.41,39.10,38.41,38.54,724400,0
20010313,38.82,39.58,38.70,39.09,1210700,0
20010314,38.80,39.04,38.49,38.50,871900,0
20010315,38.40,39.30,38.15,39.04,14552900,0
20010316,38.50,39.50,38.50,38.77,896300,0
20010319,38.78,39.16,38.78,39.05,775700,0
20010320,38.44,39.08,38.26,38.37,638100,0
20010321,38.20,39.24,38.20,38.34,277500,0
20010322,38.34,38.50,36.77,37.55,18600000,0
20010323,37.35,37.75,36.81,37.62,1362900,0
20010326,37.62,38.86,37.60,38.75,804800,0
20010327,39.00,39.80,38.84,39.35,1686200,0
20010328,39.11,39.75,38.22,39.30,976000,0
20010329,39.10,39.48,38.58,39.41,532400,0
20010330,39.60,40.19,39.54,39.80,692600,0
20010402,39.97,40.75,39.95,40.60,11989000,0
20010403,40.36,41.28,39.87,41.17,1271800,0
20010404,41.07,42.14,40.85,41.98,2354000,0
20010405,42.45,42.45,41.45,42.30,1346300,0
20010406,42.16,42.44,41.20,41.68,2274000,0
20010409,42.15,42.71,42.02,42.32,939700,0
20010410,42.71,43.56,42.71,43.44,842100,0
20010411,43.00,43.00,42.05,42.33,2274400,0
20010412,42.23,42.45,41.52,42.04,625000,0
20010416,42.15,43.40,42.05,43.40,2831100,0
20010417,43.30,43.85,42.78,42.94,648300,0
20010418,42.95,43.40,41.87,43.11,1050400,0
20010419,43.11,43.50,41.70,41.70,1357300,0
20010420,41.70,42.18,41.05,41.75,5538700,0
20010423,41.70,42.10,41.08,41.97,290500,0
20010424,42.22,42.49,41.59,42.25,534800,0
20010425,42.49,42.70,41.75,42.36,440500,0
20010426,42.35,43.23,42.35,42.75,1449200,0
20010427,42.76,42.82,42.05,42.30,1315500,0
20010430,42.30,42.39,41.85,41.92,559800,0
20010501,42.14,42.43,41.85,42.30,2340300,0
20010502,42.23,42.23,41.07,41.32,532900,0
20010503,41.45,41.55,40.60,41.10,1206200,0
20010504,40.95,41.71,40.93,41.71,598900,0
20010507,41.71,42.10,41.71,41.93,503300,0
20010508,42.18,42.18,41.50,41.70,5305900,0
20010509,41.70,42.90,41.70,42.40,1026900,0
20010510,42.45,42.60,42.10,42.47,460400,0
20010511,42.65,42.75,42.27,42.58,295800,0
20010514,42.69,43.29,42.25,42.26,763500,0
20010515,42.50,42.50,42.00,42.15,564100,0
20010516,42.15,42.70,42.06,42.66,522800,0
20010517,42.66,43.05,42.50,42.96,532700,0
20010518,42.96,43.39,42.90,43.39,3248600,0
20010521,43.39,44.04,43.07,44.04,445800,0
20010522,44.04,44.25,43.72,44.09,502500,0
20010523,44.10,44.95,44.05,44.71,395200,0
20010524,44.50,44.85,44.07,44.40,1076400,0
20010525,44.40,44.40,43.58,43.65,582300,0
20010528,43.65,43.65,43.65,43.65,0,0
20010529,43.40,44.10,43.40,43.65,2350600,0
20010530,43.66,44.21,43.04,43.41,9063600,0
