DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,76.56,76.56,74.30,74.64,10969,0
20010103,74.64,76.11,69.56,69.84,19239,0
20010104,69.95,69.95,65.49,67.18,35491,0
20010105,67.64,68.43,65.55,65.94,19098,0
20010108,66.51,67.75,66.11,66.40,135305,0
20010109,66.51,66.51,63.80,63.85,23919,0
20010110,64.02,64.70,61.31,62.28,392243,0
20010111,61.99,62.33,58.66,59.51,51525,0
20010112,58.72,63.80,58.55,63.35,47999,0
20010115,63.35,63.35,63.35,63.35,0,0
20010116,62.33,63.80,61.43,63.29,22450,0
20010117,64.14,64.14,62.38,63.23,14721,0
20010118,63.46,65.72,62.33,64.99,19499,0
20010119,65.94,67.08,65.04,65.78,20143,0
20010122,65.78,65.78,65.78,65.78,0,0
20010123,66.90,68.88,66.62,67.02,15235,0
20010124,67.70,68.49,67.41,67.41,13339,0
20010125,67.98,70.24,67.70,70.01,14602,0
20010126,70.35,70.86,67.75,69.56,10251,0
20010129,70.80,72.44,66.85,66.85,1262400,0
20010130,67.13,69.33,65.04,66.45,1841600,0
20010131,65.76,66.47,65.04,66.07,1022100,0
20010201,66.07,67.57,65.17,66.43,684333,0
20010202,67.57,68.65,66.85,67.90,2818900,0
20010205,68.62,71.18,68.40,70.62,4478467,0
20010206,70.01,72.38,69.58,71.82,1150233,0
20010207,72.27,74.09,71.78,72.25,1103067,0
20010208,73.17,74.47,72.72,74.13,915333,0
20010209,74.62,76.06,74.16,74.62,898467,0
20010212,74.53,75.75,73.19,74.35,1180033,0
20010213,74.36,74.78,72.34,73.59,889467,0
20010214,73.26,74.56,72.32,74.35,519033,0
20010215,73.71,73.73,71.64,72.45,899967,0
20010216,74.07,75.37,73.80,74.36,880233,0
20010219,74.36,74.36,74.36,74.36,0,0
20010220,74.36,76.31,74.36,76.06,3324767,0
20010221,76.53,77.47,75.88,76.60,548567,0
20010222,76.60,77.51,74.98,76.37,700433,0
20010223,76.51,77.22,73.03,74.54,1632933,0
20010226,74.16,75.16,73.95,74.80,583400,0
20010227,74.98,75.34,73.08,74.31,600567,0
20010228,73.93,74.54,72.34,73.62,559300,0
20010301,73.35,74.74,72.23,74.74,7281433,0
20010302,72.63,73.62,72.41,73.15,964733,0
20010305,73.15,74.16,73.06,73.82,1202900,0
20010306,73.82,75.16,73.10,74.44,754400,0
20010307,74.44,77.07,74.44,76.93,5077767,0
20010308,76.66,78.59,76.22,78.55,739967,0
20010309,78.55,78.55,77.15,77.63,717833,0
20010312,76.42,76.60,73.06,73.55,1585000,0
20010313,73.53,73.53,70.42,70.42,2042400,0
20010314,68.65,69.47,67.93,68.53,4004233,0
20010315,70.01,70.19,68.87,69.95,2047100,0
20010316,70.01,70.82,69.07,70.46,2250433,0
20010319,70.82,71.36,69.81,71.18,1206733,0
20010320,71.09,71.83,70.19,70.73,1132833,0
20010321,70.70,72.27,70.01,71.00,1073867,0
20010322,71.02,71.02,66.31,68.64,1637267,0
20010323,68.29,68.49,66.76,68.44,920867,0
20010326,69.56,71.31,69.56,70.88,3688900,0
20010327,72.36,74.56,71.82,74.56,1292567,0
20010328,74.07,74.78,72.39,73.91,871867,0
20010329,73.91,75.14,72.34,74.98,792167,0
20010330,76.42,77.22,74.98,77.22,1017633,0
20010402,77.87,78.54,75.65,78.16,4063133,0
20010403,78.16,78.59,76.26,77.24,981567,0
20010404,76.46,77.24,74.62,75.36,3549000,0
20010405,75.52,77.02,74.62,76.60,1101467,0
20010406,77.51,77.69,69.45,72.65,2303767,0
20010409,72.45,75.52,72.45,73.97,1122300,0
20010410,76.78,77.52,75.97,77.06,1106433,0
20010411,77.06,78.01,75.86,76.82,985100,0
20010412,77.33,77.33,75.61,75.81,634567,0
20010416,76.06,77.40,75.43,76.78,818267,0
20010417,77.45,80.65,77.45,80.58,1023067,0
20010418,82.20,82.22,78.68,80.60,1995900,0
20010419,79.69,80.74,78.79,79.30,1111500,0
20010420,79.48,81.23,79.40,81.01,1098200,0
20010423,82.40,83.36,81.57,83.11,1079433,0
20010424,83.38,84.46,82.40,83.11,1122667,0
20010425,83.11,83.99,81.39,82.71,791600,0
20010426,83.92,86.00,83.92,85.78,1051267,0
20010427,85.82,86.18,83.70,84.59,970500,0
20010430,84.37,86.03,83.65,84.48,1433467,0
20010501,84.01,85.37,83.85,84.19,1695767,0
20010502,83.13,83.13,80.47,80.94,1272333,0
20010503,79.49,80.70,78.68,80.43,1177533,0
20010504,79.49,82.82,79.30,82.82,883700,0
20010507,83.11,83.83,81.03,81.48,1746367,0
20010508,81.30,81.32,79.48,79.93,940867,0
20010509,79.42,82.82,78.99,82.82,792500,0
20010510,82.75,83.11,81.10,82.91,669533,0
20010511,82.91,84.05,82.66,83.27,511200,0
20010514,83.20,84.68,83.16,84.63,586500,0
20010515,84.68,84.68,81.57,82.10,847233,0
20010516,82.29,83.65,81.59,83.38,889600,0
20010517,84.01,84.28,81.75,81.90,1020467,0
20010518,83.74,83.74,81.86,83.18,877967,0
20010521,84.82,85.28,84.01,85.09,781133,0
20010522,85.64,86.25,84.55,84.91,980567,0
20010523,84.91,85.71,83.83,84.25,641200,0
20010524,84.91,84.91,82.66,83.34,710933,0
20010525,83.34,83.34,79.82,80.70,856633,0
20010528,80.70,80.70,80.70,80.70,0,0
20010529,81.30,81.39,78.75,79.31,1201900,0
20010530,79.95,80.65,79.67,80.14,708333,0
20010531,80.49,82.84,80.49,82.58,803867,0
20010601,81.48,81.48,78.43,79.84,650167,0
20010604,79.95,80.33,79.01,79.89,675967,0
20010605,79.87,80.14,76.51,76.78,1499367,0
20010606,77.40,77.40,74.53,74.74,4464033,0
20010607,75.88,76.33,73.50,75.70,4135100,0
20010608,75.52,76.03,74.62,75.83,558667,0
20010611,75.81,77.06,75.70,76.78,1750400,0
20010612,76.57,77.15,75.97,76.96,1292633,0
20010613,77.24,77.51,74.24,75.16,2466833,0
20010614,73.17,73.19,70.66,71.38,1490433,0
20010615,72.36,74.18,72.18,73.75,1497367,0
20010618,74.80,75.16,73.66,73.88,551700,0
