DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.71,5.75,5.17,5.29,24994,0
20010103,5.29,5.96,5.17,5.88,333966,0
20010104,5.79,5.90,5.46,5.56,30892,0
20010105,5.58,5.77,5.46,5.60,19474,0
20010108,5.54,5.67,5.46,5.60,16402,0
20010109,5.54,5.85,5.52,5.79,23272,0
20010110,5.73,6.02,5.69,5.92,251338,0
20010111,5.92,6.13,5.73,6.10,20428,0
20010112,5.96,6.19,5.96,6.00,39460,0
20010115,6.00,6.00,6.00,6.00,0,0
20010116,5.98,6.21,5.96,6.21,205854,0
20010117,6.17,6.54,6.10,6.17,28374,0
20010118,6.13,6.15,5.46,5.58,144102,0
20010119,5.54,5.54,5.08,5.35,269722,0
20010122,5.35,5.35,5.35,5.35,0,0
20010123,5.58,5.67,5.56,5.65,9712,0
20010124,5.67,5.75,5.67,5.73,0,0
20010125,5.69,5.77,5.69,5.71,0,0
20010126,5.73,5.83,5.52,5.77,32988,0
20010129,6.76,7.03,6.68,6.73,2831700,0
20010130,6.31,6.72,6.00,6.22,1291800,0
20010131,6.03,6.53,6.03,6.52,11380500,0
20010201,6.43,6.52,6.27,6.49,6520800,0
20010202,6.48,6.48,6.17,6.25,0,0
20010205,5.00,5.48,4.67,5.17,18378000,0
20010206,5.17,5.58,5.17,5.40,2191800,0
20010207,5.35,5.48,5.34,5.42,1248900,0
20010208,5.33,5.42,5.17,5.30,34456500,0
20010209,5.30,5.30,4.93,5.02,3960900,0
20010212,5.00,5.06,4.75,4.88,4949400,0
20010213,4.87,5.37,4.75,5.13,3621900,0
20010214,5.08,5.11,5.02,5.02,0,0
20010215,5.03,5.10,4.98,5.04,1534500,0
20010216,5.07,5.32,5.00,5.27,1413000,0
20010219,5.27,5.27,5.27,5.27,0,0
20010220,5.20,5.32,5.16,5.20,7153800,0
20010221,5.18,5.18,5.07,5.10,1076700,0
20010222,5.11,5.33,5.11,5.31,1239300,0
20010223,5.33,5.36,5.25,5.32,1843200,0
20010226,5.33,5.65,5.33,5.64,436500,0
20010227,5.64,6.00,5.64,5.82,24172800,0
20010228,5.93,5.93,5.82,5.86,19067700,0
20010301,5.83,5.88,5.77,5.88,1499400,0
20010302,5.85,5.91,5.69,5.77,1711500,0
20010305,5.80,5.83,5.72,5.76,4127100,0
20010306,5.76,5.78,5.72,5.74,1442700,0
20010307,5.73,5.76,5.65,5.67,770400,0
20010308,5.67,5.73,5.66,5.67,588900,0
20010309,5.72,5.73,5.47,5.60,698100,0
20010312,5.38,5.55,5.38,5.50,697500,0
20010313,5.58,5.58,5.46,5.56,3701100,0
20010314,5.34,5.58,5.33,5.56,531900,0
20010315,5.58,5.60,5.52,5.60,666600,0
20010316,5.60,5.60,5.30,5.33,900300,0
20010319,5.33,5.33,5.21,5.25,893400,0
20010320,5.25,5.33,5.24,5.28,805800,0
20010321,5.45,5.45,5.20,5.35,6787800,0
20010322,5.30,5.30,4.83,5.13,2500800,0
20010323,5.05,5.41,5.05,5.33,1278600,0
20010326,5.38,5.52,5.38,5.48,446100,0
20010327,5.47,5.55,5.45,5.47,807300,0
20010328,5.44,5.47,5.30,5.40,6785700,0
20010329,5.33,5.66,5.33,5.58,1262700,0
20010330,5.50,5.67,5.49,5.66,1395600,0
20010402,5.65,5.73,5.53,5.59,7203900,0
20010403,5.62,5.62,5.37,5.43,315300,0
20010404,5.47,5.56,5.39,5.39,3496500,0
20010405,5.47,5.68,5.47,5.62,1648200,0
20010406,5.63,5.65,5.45,5.49,638100,0
20010409,5.57,5.67,5.52,5.61,6674700,0
20010410,5.57,5.60,5.48,5.53,1584600,0
20010411,5.50,5.59,5.42,5.55,977700,0
20010412,5.50,5.58,5.48,5.53,6601200,0
20010416,5.60,5.60,5.48,5.53,1348500,0
20010417,5.55,5.55,5.45,5.54,1253100,0
20010418,5.57,5.57,5.46,5.50,1150800,0
20010419,5.52,5.53,5.49,5.52,552600,0
20010420,5.51,5.51,5.33,5.41,1469100,0
20010423,5.41,5.41,5.37,5.41,21858600,0
20010424,5.40,5.48,5.39,5.43,3752100,0
20010425,5.43,5.53,5.43,5.49,16161600,0
20010426,5.53,5.72,5.50,5.69,2391000,0
20010427,5.66,5.82,5.62,5.82,11857500,0
20010430,5.82,5.92,5.78,5.85,1128900,0
20010501,5.87,5.97,5.81,5.85,1187400,0
20010502,5.88,5.99,5.88,5.93,1004700,0
20010503,5.87,5.93,5.81,5.85,457800,0
20010504,5.76,5.89,5.76,5.87,1204200,0
20010507,6.37,6.69,6.36,6.38,6960900,0
20010508,6.63,6.70,6.56,6.56,6268800,0
20010509,6.60,6.77,6.57,6.71,2487000,0
20010510,6.58,6.58,6.28,6.47,3678600,0
20010511,6.48,6.48,6.25,6.26,1462500,0
20010514,6.26,6.30,6.13,6.21,1455000,0
20010515,6.26,6.33,6.13,6.23,1657800,0
20010516,6.22,6.42,6.17,6.30,2023200,0
20010517,6.33,6.50,6.33,6.45,1553400,0
20010518,6.45,6.60,6.42,6.52,10005900,0
20010521,6.49,6.52,6.11,6.15,2028300,0
20010522,6.08,6.16,5.80,6.06,2200200,0
20010523,6.05,6.34,6.00,6.20,1410900,0
20010524,6.20,6.30,6.11,6.20,1289100,0
20010525,6.17,6.17,6.07,6.09,3374100,0
20010528,6.09,6.09,6.09,6.09,0,0
20010529,6.15,6.15,6.07,6.07,3609000,0
20010530,6.07,6.29,5.95,6.26,3625200,0
20010531,6.18,6.31,6.12,6.30,662400,0
20010601,6.30,6.40,6.25,6.37,372300,0
20010604,6.38,6.42,6.31,6.38,6510900,0
20010605,6.43,6.45,6.33,6.40,414900,0
20010606,6.43,6.43,6.37,6.37,12514200,0
20010607,6.38,6.38,6.18,6.27,9526500,0
20010608,6.30,6.32,6.25,6.27,197400,0
20010611,6.23,6.24,5.97,6.10,7062900,0
20010612,6.10,6.30,6.01,6.08,438300,0
