DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,21.8438,21.9063,18.5313,19.4688,2341200,0
20010103,19.4063,20.5000,19.2500,20.1719,4676400,0
20010104,19.7500,20.5625,19.5313,20.3438,6714200,0
20010105,20.3750,20.5000,17.6250,17.6250,8825000,0
20010108,17.4688,18.4688,17.3125,18.4063,3512000,0
20010109,18.7500,19.4688,18.5625,19.0313,2411400,0
20010110,18.9375,19.6250,18.3125,19.5625,2887000,0
20010111,17.5000,18.0625,17.3438,17.7188,17484400,0
20010112,17.7188,18.2813,17.6250,18.1250,4698000,0
20010115,18.1250,18.1250,18.1250,18.1250,0,0
20010116,18.0000,19.1250,18.0000,18.7188,10260800,0
20010117,19.2031,19.3125,18.6563,18.6875,2244200,0
20010118,18.7344,20.1250,18.6563,19.5938,3063800,0
20010119,19.8750,21.8750,19.5000,20.7500,5869200,0
20010122,21.1250,21.9688,19.8125,20.2500,3388800,0
20010123,20.3438,21.6563,20.3125,21.3750,3009800,0
20010124,21.5938,22.3750,21.0000,21.1250,6841600,0
20010125,20.5938,20.5938,19.3125,19.7813,6708400,0
20010126,19.4375,19.7500,18.1250,19.1250,5668400,0
20010129,19.0000,19.7031,18.9063,19.3438,2916600,0
20010130,19.3750,20.7500,19.0625,20.0000,41600000,0
20010131,21.8750,24.1563,21.8438,22.9063,12506400,0
20010201,23.1875,23.3750,22.4688,22.7813,3926400,0
20010202,22.7813,23.1563,22.4375,22.8125,6200800,0
20010205,22.5000,23.5000,21.9688,23.2188,2434600,0
20010206,23.2500,24.9063,22.9375,23.9063,3329200,0
20010207,23.5313,25.0000,23.2500,23.9375,2608400,0
20010208,24.1875,24.6250,23.1250,23.5625,3399400,0
20010209,23.4844,23.9063,22.2500,23.7500,7084000,0
20010212,23.6250,25.2188,23.4063,24.5625,4713400,0
20010213,24.7188,26.0313,24.6563,24.8125,3973200,0
20010214,24.5000,25.5938,24.3438,25.5625,3177400,0
20010215,25.7188,26.7500,24.6250,24.8750,6396800,0
20010216,23.7500,24.7813,23.1250,24.3750,5782800,0
20010219,24.3750,24.3750,24.3750,24.3750,0,0
20010220,24.6250,24.7188,22.9375,23.1563,3295600,0
20010221,23.1250,24.3750,22.9375,23.6250,6531000,0
20010222,24.0313,27.2500,23.9375,26.4688,12187000,0
20010223,26.2188,27.0938,25.2188,26.5313,7217000,0
20010226,26.3281,27.3750,25.7500,25.9375,4371400,0
20010227,25.9531,25.9688,24.1875,24.9688,5257200,0
20010228,24.9063,26.3750,24.6250,25.0000,3982800,0
20010301,24.6250,26.6875,23.4375,26.1563,5822000,0
20010302,25.2188,26.5313,25.0000,25.9063,5408200,0
20010305,25.5000,25.5625,24.7188,25.0000,3625400,0
20010306,25.2188,25.8125,24.9063,25.6250,2824600,0
20010307,25.7813,27.6250,25.7500,27.3125,4394200,0
20010308,26.6875,26.9375,26.1563,26.4063,4418000,0
20010309,26.1563,26.1563,24.9688,25.0625,3172200,0
20010312,24.8438,26.8125,24.1250,24.9688,5011600,0
20010313,25.1875,26.6250,24.4688,26.3750,5104200,0
20010314,24.8750,27.3750,24.8750,26.3750,4763600,0
20010315,26.6875,27.1250,25.3438,25.8438,5010200,0
20010316,25.8594,25.8750,22.7813,23.6875,12183200,0
20010319,23.8750,25.5000,23.0625,25.1719,5142800,0
20010320,25.5000,26.6563,24.0625,24.1563,6499600,0
20010321,24.5625,26.0313,24.1875,25.1250,6030400,0
20010322,24.7813,26.1250,24.3125,25.5000,7140600,0
20010323,25.9688,26.5000,25.5625,26.0000,6380400,0
20010326,26.3750,26.8125,25.6250,25.8750,4814600,0
20010327,25.6250,27.4700,25.6250,27.3750,6351200,0
20010328,26.7500,28.4050,26.5000,27.9400,13614000,0
20010329,27.2500,28.2500,26.9400,28.0650,8107800,0
20010330,27.5650,27.7800,26.9050,27.1900,5277800,0
20010402,27.1250,27.2200,26.4700,26.7200,5497200,0
20010403,26.4550,26.8450,25.3750,26.5300,7879800,0
20010404,25.0300,25.5950,22.6550,24.0950,27735800,0
20010405,24.9050,25.3750,23.2200,25.2500,12076200,0
20010406,24.8450,26.8150,24.4050,26.4050,11595800,0
20010409,26.3700,26.7650,25.4050,26.7450,6323800,0
20010410,26.8150,28.1300,26.0500,27.8600,7947800,0
20010411,28.1950,28.6250,27.1500,27.9950,8427200,0
20010412,27.0000,28.9500,26.9400,28.8750,6753200,0
20010416,28.7250,29.2400,28.0000,28.8300,8725400,0
