DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,21.59,21.59,21.16,21.25,5532,0
20010103,21.44,21.63,21.00,21.53,9110,0
20010104,21.81,22.09,21.34,21.53,9004,0
20010105,21.66,21.66,21.13,21.47,7992,0
20010108,21.47,22.03,21.44,21.97,0,0
20010109,21.78,21.78,21.19,21.38,0,0
20010110,21.25,21.28,20.47,21.16,4406,0
20010111,21.22,21.34,20.75,21.19,4368,0
20010112,21.31,21.38,20.69,20.94,3196,0
20010115,20.94,20.94,20.94,20.94,0,0
20010116,20.75,20.78,20.28,20.50,0,0
20010117,20.56,20.56,19.50,19.66,8838,0
20010118,19.69,19.72,19.16,19.50,6622,0
20010119,19.31,19.47,19.00,19.19,0,0
20010122,19.19,19.19,19.19,19.19,0,0
20010123,19.34,19.88,19.31,19.47,6920,0
20010124,19.56,19.72,19.41,19.47,3674,0
20010125,19.44,19.66,19.28,19.47,11492,0
20010126,19.63,19.81,19.41,19.44,8948,0
20010129,20.00,21.05,20.00,20.81,0,0
20010130,20.81,21.53,20.00,20.58,0,0
20010131,20.50,21.02,20.45,20.77,0,0
20010201,21.00,21.55,20.94,21.38,0,0
20010202,21.35,21.48,20.94,21.08,0,0
20010205,21.00,21.50,21.00,21.40,0,0
20010206,21.40,21.83,21.33,21.51,875000,0
20010207,21.55,21.59,21.23,21.41,573800,0
20010208,21.48,21.49,21.17,21.38,581200,0
20010209,21.42,21.73,21.42,21.53,567200,0
20010212,21.53,21.53,21.14,21.27,571800,0
20010213,21.17,21.63,20.67,20.67,2887200,0
20010214,20.85,21.84,20.77,21.25,1125000,0
20010215,21.48,21.64,21.13,21.17,6623200,0
20010216,21.30,21.34,20.78,20.88,519800,0
20010219,20.88,20.88,20.88,20.88,0,0
20010220,21.00,21.94,20.98,21.42,6388200,0
20010221,21.50,21.50,20.95,21.27,505600,0
20010222,21.30,21.40,20.70,21.15,421800,0
20010223,20.92,20.92,20.35,20.64,527000,0
20010226,20.75,21.13,20.64,21.11,390800,0
20010227,21.12,21.20,20.89,21.15,52000000,0
20010228,21.27,21.27,20.85,20.97,472400,0
20010301,20.88,21.31,20.88,21.18,631400,0
20010302,21.10,21.58,20.85,21.50,653000,0
20010305,21.50,21.92,21.50,21.63,648000,0
20010306,21.88,21.88,21.26,21.36,1107800,0
20010307,21.35,21.65,21.35,21.65,382000,0
20010308,21.65,21.76,21.45,21.75,341200,0
20010309,21.70,22.03,21.70,21.92,402000,0
20010312,21.60,21.80,21.34,21.50,424600,0
20010313,21.40,21.40,20.45,20.90,799800,0
20010314,20.67,20.67,20.25,20.56,499200,0
20010315,20.48,21.15,20.48,20.95,842800,0
20010316,21.25,21.42,20.83,20.97,1403400,0
20010319,20.85,21.27,20.52,20.75,658400,0
20010320,20.65,20.91,20.15,20.60,4394200,0
20010321,20.60,20.60,19.81,20.17,598600,0
20010322,20.00,20.00,18.94,19.49,507000,0
20010323,19.48,20.30,19.25,20.21,358200,0
20010326,20.17,21.27,20.17,20.75,354200,0
20010327,20.80,21.33,20.73,21.31,432000,0
20010328,21.19,21.30,20.60,21.11,894000,0
20010329,20.85,21.38,20.77,21.01,430000,0
20010330,21.15,21.25,20.88,21.21,347000,0
20010402,21.40,21.60,20.70,21.02,714600,0
20010403,21.00,21.00,20.00,20.38,1028000,0
20010404,20.25,20.48,20.10,20.33,992800,0
20010405,20.36,20.85,20.20,20.84,699000,0
20010406,20.84,20.84,19.90,20.45,512000,0
20010409,20.45,21.10,20.45,20.85,282800,0
20010410,20.90,21.28,20.71,21.26,553000,0
20010411,21.00,21.00,20.33,20.48,632000,0
20010412,20.50,20.63,19.92,20.41,504000,0
20010416,20.53,20.90,20.02,20.50,566800,0
20010417,20.60,20.78,20.25,20.78,297000,0
20010418,20.95,21.15,20.63,21.00,622200,0
20010419,20.80,20.83,20.43,20.49,808200,0
20010420,20.40,20.52,19.77,20.07,679800,0
20010423,19.88,19.90,19.25,19.32,1191400,0
20010424,19.10,19.20,18.60,18.75,1998000,0
20010425,18.82,18.82,18.17,18.57,1153200,0
20010426,18.63,19.00,18.58,18.91,1295200,0
20010427,19.02,19.31,18.75,19.01,2458400,0
20010430,19.09,19.09,18.92,18.92,2410200,0
20010501,19.02,19.10,18.88,18.92,4549200,0
20010502,19.05,19.25,18.81,19.18,865200,0
20010503,19.09,19.09,18.83,19.00,928200,0
20010504,18.91,19.25,18.80,19.20,573400,0
20010507,19.23,19.51,19.20,19.24,472200,0
20010508,19.50,19.53,19.30,19.40,645800,0
20010509,19.20,19.67,19.17,19.51,378200,0
20010510,19.77,19.88,19.70,19.85,4373200,0
20010511,20.25,20.30,19.70,19.80,1000200,0
20010514,19.90,20.05,19.67,19.87,523400,0
20010515,19.87,20.15,19.85,19.99,161200,0
20010516,19.98,20.75,19.98,20.69,342000,0
20010517,20.84,21.15,20.64,20.88,747600,0
20010518,20.88,21.02,20.45,20.75,16635200,0
20010521,20.73,20.77,20.28,20.63,784200,0
20010522,20.73,20.73,20.33,20.44,10451800,0
20010523,20.35,20.50,20.10,20.18,551800,0
20010524,20.18,20.30,20.00,20.14,353000,0
20010525,20.17,20.42,20.09,20.16,180600,0
20010528,20.16,20.16,20.16,20.16,0,0
20010529,20.20,20.52,20.09,20.25,302400,0
20010530,20.15,20.49,19.98,20.05,540800,0
20010531,20.23,20.58,20.23,20.44,359000,0
20010601,20.44,20.54,20.09,20.45,520000,0
20010604,20.44,20.68,20.44,20.58,464200,0
20010605,20.65,20.74,20.49,20.61,8595400,0
20010606,20.65,20.77,20.58,20.70,2500800,0
20010607,20.79,20.92,20.64,20.81,237800,0
20010608,20.88,20.95,20.67,20.89,2256600,0
20010611,20.80,20.90,20.56,20.57,251000,0
20010612,20.50,20.65,20.48,20.52,570400,0
20010613,20.40,20.65,20.35,20.48,315000,0
20010614,20.58,20.61,20.25,20.48,342200,0
20010615,20.25,20.42,20.08,20.27,279800,0
20010618,20.17,20.26,19.98,20.16,314400,0
20010619,20.05,20.50,20.00,20.31,595600,0
20010620,20.30,20.67,20.22,20.62,330800,0
20010621,20.56,20.56,20.12,20.27,512800,0
20010622,20.23,20.27,19.83,19.83,261800,0
20010625,19.87,20.10,19.63,19.67,484000,0
20010626,19.60,20.17,19.50,20.03,405800,0
20010627,20.02,20.42,19.97,20.14,425200,0
20010628,20.33,20.60,20.23,20.40,434200,0
20010629,20.52,20.60,20.17,20.49,714200,0
20010702,20.48,20.86,20.42,20.62,331000,0
20010703,20.60,20.73,20.34,20.68,294400,0
20010704,20.68,20.68,20.68,20.68,0,0
20010705,20.70,20.97,20.67,20.78,8790000,0
20010706,20.59,20.59,19.91,19.92,611800,0
20010709,20.00,20.30,19.94,20.19,423600,0
20010710,20.10,20.23,19.88,20.00,6250800,0
20010711,20.08,20.40,19.92,20.25,551000,0
20010712,20.30,20.63,20.13,20.58,271400,0
20010713,20.55,20.70,20.25,20.41,308000,0
20010716,20.30,20.63,20.28,20.36,260200,0
20010717,20.36,20.40,20.17,20.26,418400,0
20010718,20.26,20.27,19.88,20.08,2716400,0
20010719,19.63,19.85,19.39,19.77,7377600,0
20010720,19.83,19.85,19.47,19.69,20918800,0
20010723,19.85,19.88,19.58,19.71,876800,0
20010724,19.55,19.66,19.13,19.37,2631800,0
20010725,19.48,19.75,19.33,19.74,605000,0
20010726,19.83,19.87,19.42,19.83,456400,0
20010727,19.84,19.84,19.55,19.64,192000,0
20010730,19.65,19.77,19.48,19.75,438400,0
20010731,19.67,20.08,19.67,20.02,449800,0
20010801,20.13,20.14,19.75,19.85,536800,0
20010802,20.08,20.11,19.83,19.93,2354200,0
20010803,20.00,20.00,19.69,19.97,199800,0
20010806,19.95,20.00,19.60,19.85,427800,0
20010807,19.95,19.98,19.75,19.91,264800,0
20010808,19.90,19.99,19.73,19.80,300200,0
20010809,19.66,19.77,19.52,19.67,345600,0
20010810,19.63,19.98,19.63,19.85,268600,0
20010813,19.88,19.99,19.80,19.94,422600,0
20010814,19.88,20.02,19.80,19.94,157800,0
20010815,19.90,20.08,19.73,20.05,251400,0
20010816,20.05,20.23,19.89,20.18,171200,0
20010817,20.25,20.50,20.17,20.36,264800,0
20010820,20.24,20.33,20.06,20.21,468600,0
20010821,20.33,20.58,20.31,20.45,237200,0
20010822,20.44,20.68,20.30,20.55,428600,0
20010823,20.65,20.81,20.49,20.67,6269000,0
