DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.31,38.38,37.38,37.63,3033,0
20010103,38.00,38.31,36.38,36.44,5115,0
20010104,36.19,36.19,34.13,34.44,10425,0
20010105,34.69,35.13,33.88,34.19,6083,0
20010108,34.38,34.69,34.13,34.63,0,0
20010109,34.63,34.94,33.94,34.25,3435,0
20010110,34.19,34.69,34.06,34.38,5202,0
20010111,34.38,34.50,32.75,32.81,14422,0
20010112,32.88,33.50,32.63,33.13,9962,0
20010115,33.13,33.13,33.13,33.13,0,0
20010116,33.13,33.13,31.44,32.38,16500,0
20010117,32.31,33.06,31.94,32.56,11210,0
20010118,32.63,33.50,32.56,33.31,4380,0
20010119,33.31,34.50,33.00,33.94,8131,0
20010122,33.94,33.94,33.94,33.94,0,0
20010123,34.63,35.69,34.63,35.00,8084,0
20010124,35.00,35.75,35.00,35.25,0,0
20010125,35.38,35.88,35.06,35.44,4792,0
20010126,35.31,35.88,34.63,35.00,12116,0
20010129,36.16,36.28,35.31,35.69,510600,0
20010130,35.78,37.09,35.00,36.69,2416300,0
20010131,34.83,34.99,34.30,34.94,0,0
20010201,34.94,34.94,34.37,34.73,293400,0
20010202,34.84,35.40,34.67,34.70,353500,0
20010205,34.71,35.49,34.70,35.30,398100,0
20010206,35.04,35.49,34.88,35.05,273000,0
20010207,35.30,35.62,35.11,35.35,303500,0
20010208,35.36,36.09,35.36,36.03,434500,0
20010209,36.28,36.80,36.24,36.76,2050700,0
20010212,36.47,36.90,35.70,36.14,1448600,0
20010213,36.15,36.25,35.31,36.25,946800,0
20010214,36.00,36.09,35.40,35.81,494000,0
20010215,35.50,35.77,35.40,35.65,0,0
20010216,36.20,36.49,35.80,36.10,287500,0
20010219,36.10,36.10,36.10,36.10,0,0
20010220,36.02,36.50,36.01,36.24,326700,0
20010221,36.11,36.99,36.11,36.31,854200,0
20010222,36.50,36.94,36.01,36.58,528100,0
20010223,36.78,36.99,35.26,35.86,327000,0
20010226,35.93,36.35,35.61,35.66,589600,0
20010227,35.66,36.36,35.65,36.10,238800,0
20010228,36.60,36.87,36.05,36.87,1026800,0
20010301,37.00,37.06,36.35,36.61,470800,0
20010302,36.10,36.49,35.60,35.88,788300,0
20010305,36.00,36.44,35.17,36.06,624100,0
20010306,36.20,36.38,35.51,36.28,777100,0
20010307,36.30,36.78,35.74,36.40,980200,0
20010308,36.40,36.65,36.00,36.46,271800,0
20010309,36.50,36.50,35.70,36.44,700300,0
20010312,36.45,36.70,36.20,36.39,661900,0
20010313,36.55,36.55,35.54,36.03,707000,0
20010314,35.90,35.96,35.00,35.22,442300,0
20010315,35.45,35.90,35.06,35.83,6284500,0
20010316,35.63,36.25,35.46,35.63,791100,0
20010319,35.45,35.73,34.95,35.05,324800,0
20010320,35.05,36.13,34.91,35.80,847200,0
20010321,36.00,36.69,35.92,36.29,1124300,0
20010322,36.39,36.43,34.51,35.51,1309500,0
20010323,35.00,35.56,34.71,35.37,703700,0
20010326,35.65,36.87,35.65,36.74,577700,0
20010327,36.73,37.49,36.70,37.14,1420300,0
20010328,37.15,37.49,35.86,36.24,1934400,0
20010329,36.24,36.50,35.33,36.50,14070100,0
20010330,36.90,37.20,36.62,37.10,404600,0
20010402,37.49,38.00,37.00,37.60,870200,0
20010403,37.25,38.16,36.91,38.13,794800,0
20010404,38.13,38.61,37.78,38.12,841100,0
20010405,38.00,38.00,37.20,37.50,647400,0
20010406,37.60,38.00,36.11,37.16,1781000,0
20010409,37.50,38.57,37.36,38.14,740200,0
