DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.17,19.17,18.46,18.67,5339,0
20010103,19.00,19.33,18.67,19.29,3449,0
20010104,19.13,19.33,18.88,19.08,6335,0
20010105,18.88,18.96,18.71,18.88,0,0
20010108,18.83,18.83,18.29,18.63,5075,0
20010109,18.46,19.00,18.46,19.00,7056,0
20010110,18.96,19.21,18.75,19.13,5283,0
20010111,19.42,19.42,18.71,18.92,0,0
20010112,18.96,19.25,18.83,19.17,0,0
20010115,19.17,19.17,19.17,19.17,0,0
20010116,19.58,19.63,19.04,19.38,0,0
20010117,19.42,19.67,19.21,19.63,0,0
20010118,19.54,19.54,19.17,19.17,34707,0
20010119,19.04,19.42,19.00,19.21,0,0
20010122,19.21,19.21,19.21,19.21,0,0
20010123,19.04,20.50,19.04,20.25,6783,0
20010124,20.08,20.46,20.04,20.46,0,0
20010125,19.88,20.00,19.04,19.79,8730,0
20010126,19.50,19.67,19.29,19.38,4421,0
20010129,20.38,20.73,19.33,19.48,0,0
20010130,20.00,20.73,19.33,20.23,601050,0
20010131,19.57,20.01,19.33,19.77,4813200,0
20010201,19.93,20.67,19.77,20.64,0,0
20010202,20.64,20.83,20.28,20.46,273300,0
20010205,20.35,20.90,20.33,20.80,0,0
20010206,20.73,21.17,20.67,20.70,387900,0
20010207,20.85,21.69,20.85,21.43,2043450,0
20010208,21.43,21.83,21.01,21.43,741150,0
20010209,21.43,22.02,21.15,21.99,598200,0
20010212,21.67,21.75,21.34,21.54,567000,0
20010213,21.67,21.68,21.54,21.56,389100,0
20010214,21.54,21.84,21.33,21.61,1811550,0
20010215,21.63,21.65,21.20,21.47,0,0
20010216,21.46,21.53,21.31,21.47,322650,0
20010219,21.47,21.47,21.47,21.47,0,0
20010220,21.33,21.37,20.85,21.05,18443250,0
20010221,21.08,21.32,20.83,20.96,402000,0
20010222,20.67,20.77,20.23,20.40,712800,0
20010223,20.20,20.20,19.61,20.19,849300,0
20010226,20.19,20.33,20.13,20.30,445950,0
20010227,20.43,20.87,20.27,20.53,4902900,0
20010228,20.67,20.67,20.17,20.21,303450,0
20010301,20.21,20.67,19.85,20.51,465900,0
20010302,20.60,21.33,20.34,21.17,396450,0
20010305,21.01,21.41,20.77,20.83,521250,0
20010306,20.50,21.33,20.50,21.27,1760100,0
20010307,21.33,21.33,20.63,20.97,30621150,0
20010308,21.13,21.67,21.10,21.62,5033100,0
20010309,21.45,21.74,21.18,21.58,697500,0
20010312,21.60,21.61,20.64,20.64,305700,0
20010313,20.37,20.48,20.16,20.34,691350,0
20010314,20.27,20.27,19.78,19.99,340650,0
20010315,20.03,20.30,20.00,20.16,7983150,0
20010316,20.00,20.29,20.00,20.09,861150,0
20010319,20.08,20.21,20.03,20.10,334500,0
20010320,20.10,20.50,20.00,20.05,364950,0
20010321,20.03,20.07,19.58,19.67,742650,0
20010322,19.67,19.67,18.92,19.31,491100,0
20010323,19.33,20.13,19.27,20.13,399150,0
20010326,20.29,20.52,20.20,20.48,3169200,0
20010327,20.27,20.55,20.15,20.54,268500,0
20010328,20.40,20.70,20.32,20.47,372000,0
20010329,20.37,21.21,20.37,21.06,559800,0
20010330,21.10,21.27,20.69,20.83,6813300,0
20010402,20.79,21.25,20.53,20.66,496650,0
20010403,20.37,20.59,19.73,20.00,464250,0
20010404,20.00,20.10,19.80,19.93,956400,0
20010405,20.00,20.23,19.85,20.01,967050,0
20010406,20.00,20.26,19.85,19.97,523350,0
20010409,19.99,20.39,19.85,20.00,312000,0
20010410,20.00,20.50,19.90,20.33,1235700,0
20010411,20.07,20.57,20.04,20.20,294150,0
20010412,20.17,20.43,19.94,20.01,574050,0
20010416,20.13,20.28,19.93,20.07,597000,0
20010417,20.07,20.31,20.01,20.31,869700,0
20010418,20.57,21.57,20.51,21.12,1026300,0
20010419,21.27,21.54,21.10,21.17,8041200,0
20010420,21.27,21.73,21.27,21.71,1861200,0
20010423,21.60,21.74,21.03,21.33,417600,0
20010424,21.33,21.49,21.23,21.30,630150,0
20010425,21.40,21.70,21.33,21.61,1941150,0
20010426,21.47,22.01,21.43,21.89,825450,0
20010427,21.90,22.15,21.85,22.00,6322200,0
20010430,22.00,22.17,21.83,22.05,880800,0
20010501,22.05,22.05,21.87,21.99,508650,0
20010502,21.93,22.07,21.67,21.83,608850,0
20010503,21.80,21.90,21.54,21.87,212550,0
20010504,21.69,21.99,21.52,21.94,453750,0
20010507,22.00,22.09,21.85,22.00,308250,0
20010508,21.77,21.97,21.40,21.52,895350,0
20010509,21.60,21.63,21.40,21.63,511200,0
20010510,21.60,22.12,21.54,22.00,546150,0
