DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.50,15.56,14.94,15.00,24918,0
20010103,15.00,15.81,12.25,12.25,93794,0
20010104,8.25,11.75,6.25,10.75,289673,0
20010105,9.50,11.50,9.50,10.31,80183,0
20010108,9.88,12.19,9.88,12.00,64932,0
20010109,11.38,11.63,11.00,11.13,64264,0
20010110,11.00,11.50,10.00,11.25,71728,0
20010111,11.00,11.00,10.13,10.56,56194,0
20010112,10.44,10.56,10.00,10.19,65994,0
20010115,10.19,10.19,10.19,10.19,0,0
20010116,8.63,9.88,8.38,9.56,73878,0
20010117,9.38,9.88,8.69,8.94,93925,0
20010118,8.94,9.50,8.00,9.00,93266,0
20010119,8.25,9.63,8.00,9.00,76042,0
20010122,9.00,9.00,9.00,9.00,0,0
20010123,8.88,9.06,8.44,8.75,35298,0
20010124,8.88,9.75,8.75,9.38,56078,0
20010125,11.50,12.75,11.00,12.69,112567,0
20010126,12.56,13.25,12.06,12.19,115487,0
20010129,13.94,14.16,13.00,13.41,6181900,0
20010130,14.53,16.09,14.00,15.34,4548700,0
20010131,14.00,14.25,13.10,13.34,4326600,0
20010201,12.90,13.75,11.00,13.45,3102400,0
20010202,13.75,13.80,12.95,13.01,8495700,0
20010205,13.00,13.90,13.00,13.23,2649200,0
20010206,13.10,13.11,12.75,12.83,2429800,0
20010207,12.60,13.25,12.60,13.00,2761600,0
20010208,12.80,12.96,12.30,12.63,3380000,0
20010209,12.75,13.10,12.61,13.10,1350500,0
20010212,12.60,13.96,11.90,12.56,4490300,0
20010213,12.01,12.70,12.01,12.10,2076800,0
20010214,12.06,12.49,11.86,12.25,18268100,0
20010215,12.32,12.49,12.30,12.31,905500,0
20010216,12.32,13.45,12.31,13.00,2077700,0
20010219,13.00,13.00,13.00,13.00,0,0
20010220,13.00,13.30,12.92,13.10,6642700,0
20010221,13.00,14.11,13.00,13.45,2552400,0
20010222,13.45,15.00,13.35,14.95,3183000,0
20010223,14.75,15.40,13.78,14.60,3487300,0
20010226,14.80,15.30,14.70,14.70,2731600,0
20010227,14.70,15.10,14.70,14.94,1632000,0
20010228,14.94,15.04,14.81,14.90,1538000,0
20010301,14.82,14.85,14.53,14.85,1223100,0
20010302,14.46,15.15,14.44,14.91,1726400,0
20010305,14.63,15.35,14.63,15.21,1640200,0
20010306,14.99,15.23,14.99,15.11,1494700,0
20010307,15.10,15.49,15.02,15.42,1254800,0
20010308,15.42,15.49,15.33,15.49,1437500,0
20010309,15.27,15.48,15.20,15.28,957500,0
20010312,15.25,15.39,15.15,15.35,914800,0
20010313,15.24,15.24,14.75,14.88,1445500,0
20010314,14.00,14.37,13.86,13.96,4971000,0
20010315,13.86,13.94,13.45,13.58,2920800,0
20010316,12.83,12.95,11.13,12.24,3381600,0
20010319,12.88,12.90,12.00,12.38,3680500,0
20010320,12.00,12.32,11.82,12.04,1413700,0
20010321,12.14,12.79,11.98,12.34,6551100,0
20010322,12.64,12.64,11.48,11.50,1882400,0
20010323,11.17,11.38,10.84,11.20,1511900,0
20010326,13.00,15.02,13.00,14.50,32052000,0
20010327,14.45,14.69,14.16,14.16,2960100,0
20010328,14.00,14.00,13.50,13.59,1851400,0
20010329,13.20,13.48,12.99,13.09,1385700,0
20010330,13.23,13.25,11.28,12.63,2874400,0
20010402,11.99,12.64,11.91,12.36,1422900,0
20010403,12.39,12.89,11.95,12.82,1463000,0
20010404,12.02,12.98,12.02,12.98,1409600,0
20010405,12.81,12.81,12.40,12.64,1456300,0
20010406,12.64,12.70,7.00,8.25,10276000,0
20010409,8.60,10.40,8.60,8.92,4854000,0
20010410,11.40,11.50,10.76,11.38,4293300,0
20010411,11.38,12.07,10.96,12.06,3492100,0
20010412,11.52,12.47,11.31,12.00,2190100,0
20010416,11.87,12.10,11.63,11.85,2160400,0
20010417,11.70,12.05,11.56,11.88,1638900,0
