DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.50,24.84,23.72,23.75,11120,0
20010103,23.75,24.69,23.66,24.63,189886,0
20010104,24.56,25.06,24.47,24.50,24114,0
20010105,24.50,24.50,23.00,23.50,10930,0
20010108,23.53,24.19,23.22,23.81,0,0
20010109,23.63,23.63,22.75,23.06,0,0
20010110,22.94,23.34,22.25,23.13,6732,0
20010111,23.13,23.13,22.19,22.56,0,0
20010112,22.69,22.69,22.13,22.63,0,0
20010115,22.63,22.63,22.63,22.63,0,0
20010116,22.38,23.25,22.03,23.03,5590,0
20010117,23.03,23.34,22.47,22.91,5564,0
20010118,22.88,23.00,22.41,22.72,0,0
20010119,22.47,22.47,22.00,22.25,6898,0
20010122,22.25,22.25,22.25,22.25,0,0
20010123,22.25,22.69,22.19,22.31,0,0
20010124,22.50,22.81,22.13,22.13,7028,0
20010125,22.00,22.59,21.88,22.19,10174,0
20010126,21.63,22.06,21.16,21.59,0,0
20010129,23.22,23.52,22.50,23.17,806200,0
20010130,22.89,24.48,22.75,23.80,0,0
20010131,23.25,23.80,23.25,23.38,2341600,0
20010201,23.40,23.80,23.36,23.48,0,0
20010202,23.60,24.13,23.60,23.67,0,0
20010205,24.08,24.50,24.00,24.18,2000400,0
20010206,24.06,24.18,23.78,24.16,98000000,0
20010207,24.50,24.64,24.40,24.55,2247400,0
20010208,24.48,24.67,24.30,24.51,1627400,0
20010209,24.75,24.81,24.27,24.47,721800,0
20010212,24.41,24.74,24.15,24.63,681600,0
20010213,24.63,25.73,24.60,25.25,1723800,0
20010214,24.90,25.25,24.83,24.83,0,0
20010215,25.39,25.92,25.39,25.63,703800,0
20010216,25.48,25.48,24.63,24.84,776400,0
20010219,24.84,24.84,24.84,24.84,0,0
20010220,24.89,25.24,24.66,24.78,691200,0
20010221,24.76,24.78,24.09,24.42,560200,0
20010222,24.32,24.83,24.18,24.25,640200,0
20010223,24.24,24.50,23.90,24.50,844800,0
20010226,24.70,26.08,24.70,26.01,4654000,0
20010227,25.88,26.35,25.52,25.63,1147400,0
20010228,25.60,26.15,25.60,25.73,519200,0
20010301,25.55,25.75,25.00,25.25,1328200,0
20010302,25.15,26.01,25.15,25.60,643200,0
20010305,25.60,26.31,25.60,26.02,1095000,0
20010306,25.95,26.22,25.91,26.08,551800,0
20010307,26.00,26.85,26.00,26.80,4400600,0
20010308,26.67,26.78,26.26,26.76,545200,0
20010309,26.70,27.00,26.49,26.94,748800,0
20010312,26.67,26.73,25.79,25.80,582800,0
