DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.61,13.88,13.16,13.39,523544,0
20010103,13.25,13.47,12.14,12.25,107752,0
20010104,12.25,12.36,11.38,11.60,147736,0
20010105,11.85,12.11,11.60,11.96,62308,0
20010108,12.00,12.61,12.00,12.28,70472,0
20010109,12.44,12.46,11.89,12.10,74532,0
20010110,12.13,12.60,12.10,12.17,48264,0
20010111,12.32,12.49,11.85,11.91,45688,0
20010112,11.88,11.88,11.60,11.71,68496,0
20010115,11.71,11.71,11.71,11.71,0,0
20010116,11.44,12.08,11.44,11.99,186640,0
20010117,11.92,11.92,11.08,11.17,77108,0
20010118,10.94,10.94,10.27,10.88,145456,0
20010119,10.75,11.19,10.55,11.08,612332,0
20010122,11.08,11.08,11.08,11.08,0,0
20010123,11.28,11.61,11.22,11.50,56344,0
20010124,11.52,11.74,11.38,11.50,69096,0
20010125,11.50,11.89,11.46,11.83,26676,0
20010126,11.77,11.96,11.64,11.72,72844,0
20010129,12.10,12.28,11.50,11.55,7288000,0
20010130,11.56,11.78,11.00,11.39,7942000,0
20010131,11.13,11.31,10.88,10.94,4994800,0
20010201,11.04,11.12,10.55,10.82,4297600,0
20010202,10.88,11.38,10.88,11.37,6984800,0
20010205,11.08,11.54,11.08,11.32,3269600,0
20010206,11.44,11.69,11.25,11.53,3056800,0
20010207,11.73,11.95,11.33,11.84,4238000,0
20010208,11.75,11.93,11.50,11.56,2805200,0
20010209,11.53,12.00,11.50,11.87,3979200,0
20010212,12.14,12.19,11.53,11.64,3917200,0
20010213,11.46,11.84,11.38,11.79,6822400,0
20010214,11.80,12.08,11.75,11.77,3442800,0
20010215,11.38,11.49,11.25,11.33,4879600,0
20010216,11.58,11.80,11.43,11.51,4375600,0
20010219,11.51,11.51,11.51,11.51,0,0
20010220,11.51,11.69,11.44,11.46,2447200,0
20010221,11.55,11.82,11.18,11.18,6841200,0
20010222,11.24,11.33,11.01,11.03,3128400,0
20010223,11.03,11.19,10.79,10.90,3176400,0
20010226,10.96,11.13,10.89,11.07,4626000,0
20010227,11.06,11.24,11.04,11.09,2584400,0
20010228,11.09,11.09,10.75,10.90,3162000,0
20010301,10.82,10.99,10.75,10.91,4345200,0
20010302,11.08,11.32,10.98,11.25,9084000,0
20010305,11.40,11.63,11.38,11.43,2931200,0
20010306,11.60,11.73,11.58,11.59,4499200,0
20010307,11.89,12.30,11.83,12.20,11203200,0
20010308,12.43,12.58,11.96,12.57,5650000,0
20010309,12.50,12.67,12.36,12.60,6528400,0
20010312,12.48,12.50,11.86,11.88,15607200,0
20010313,11.88,11.90,11.50,11.73,6341200,0
20010314,11.45,11.64,11.30,11.39,4060400,0
20010315,11.60,11.63,11.13,11.20,3130800,0
20010316,11.13,11.33,11.07,11.20,4669600,0
20010319,11.15,11.50,11.15,11.42,2903600,0
20010320,11.48,11.88,11.40,11.68,5006800,0
20010321,11.71,11.74,10.98,11.03,4734800,0
20010322,11.03,11.03,10.40,10.71,4782000,0
20010323,10.74,11.10,10.50,10.87,3476800,0
20010326,10.88,11.06,10.80,10.90,3407600,0
20010327,10.88,10.96,10.51,10.59,102217600,0
20010328,10.63,10.74,10.40,10.49,2557200,0
20010329,10.32,10.32,9.82,10.03,6312400,0
20010330,10.03,10.40,10.03,10.31,28111600,0
20010402,10.28,10.28,9.86,9.91,8106800,0
20010403,9.91,9.91,9.41,9.47,5711600,0
20010404,9.63,9.89,9.50,9.79,7109600,0
20010405,9.80,10.11,9.73,10.09,111878000,0
20010406,10.10,10.12,9.79,10.09,3309200,0
20010409,10.28,10.50,10.28,10.50,2364800,0
20010410,10.65,10.79,10.51,10.75,11986800,0
20010411,10.93,10.93,10.64,10.66,2685600,0
20010412,10.74,10.88,10.70,10.84,3640400,0
20010416,10.83,11.24,10.83,11.16,3407600,0
20010417,11.15,11.35,11.00,11.33,4799600,0
20010418,11.33,11.46,11.10,11.13,8079600,0
20010419,11.00,11.08,10.44,10.82,7468800,0
20010420,10.79,11.03,10.69,10.93,3564800,0
20010423,11.00,11.74,11.00,11.73,9171200,0
20010424,11.57,11.90,11.57,11.67,6522000,0
20010425,11.88,12.00,11.71,11.92,5224000,0
20010426,12.15,12.25,11.96,11.96,30877600,0
20010427,12.00,12.00,11.69,11.83,3486800,0
20010430,11.80,12.00,11.38,11.60,5750400,0
20010501,11.56,11.56,11.25,11.36,7260000,0
20010502,11.25,11.25,10.60,10.61,8924000,0
20010503,10.63,10.80,10.32,10.53,8108800,0
20010504,10.64,11.00,10.63,10.91,12309600,0
20010507,11.10,11.15,10.89,10.92,16720400,0
20010508,10.94,11.05,10.79,11.00,17738800,0
20010509,11.00,11.30,11.00,11.30,5232000,0
20010510,11.28,11.35,11.10,11.15,4455600,0
20010511,11.15,11.15,11.04,11.10,4496000,0
20010514,11.27,11.37,11.16,11.37,2932000,0
20010515,11.37,11.87,11.37,11.79,4331200,0
20010516,11.85,12.13,11.80,11.82,7592400,0
20010517,11.63,12.10,11.54,12.03,13257600,0
20010518,12.02,12.38,12.02,12.31,3310800,0
20010521,12.33,12.47,12.31,12.45,3418800,0
20010522,12.44,12.44,12.18,12.35,4036400,0
20010523,12.13,12.20,11.68,11.70,9062800,0
20010524,11.45,11.58,11.25,11.50,178637600,0
20010525,11.38,11.53,11.28,11.37,5101200,0
20010528,11.37,11.37,11.37,11.37,0,0
20010529,11.49,11.63,11.17,11.28,14018000,0
20010530,11.28,11.28,10.88,11.25,6668800,0
20010531,11.19,11.32,11.03,11.22,4374000,0
20010601,11.26,11.37,10.95,11.25,2937200,0
20010604,11.44,11.52,11.29,11.41,1522400,0
20010605,11.19,11.35,11.17,11.26,28142000,0
20010606,11.13,11.13,10.38,10.44,15024800,0
20010607,10.44,10.44,10.22,10.29,107236800,0
20010608,10.41,10.46,9.99,10.34,22231600,0
20010611,10.43,10.54,10.30,10.47,5881200,0
20010612,10.70,10.82,10.56,10.69,3698400,0
20010613,10.78,10.93,10.38,10.41,3797200,0
20010614,10.40,10.40,10.19,10.21,37834400,0
20010615,10.05,10.35,10.05,10.20,5356400,0
20010618,10.18,10.18,9.86,9.88,7348400,0
20010619,10.00,10.00,9.82,9.97,6876400,0
20010620,9.98,10.12,9.74,9.78,4624400,0
20010621,9.84,9.84,9.00,9.24,7447200,0
20010622,9.28,9.53,9.09,9.50,7034400,0
20010625,9.35,9.57,9.32,9.38,20827600,0
20010626,9.38,9.53,9.26,9.49,3852800,0
20010627,9.37,9.37,9.10,9.18,4515600,0
20010628,9.21,9.21,8.73,8.79,8573600,0
20010629,8.98,9.05,8.80,8.89,28919200,0
20010702,9.01,9.03,8.62,8.72,4515200,0
20010703,8.72,8.90,8.70,8.86,3196000,0
20010704,8.86,8.86,8.86,8.86,0,0
20010705,8.85,9.20,8.85,9.01,6654400,0
20010706,9.13,9.25,8.89,9.20,6782000,0
20010709,9.15,9.15,8.82,8.85,6745200,0
20010710,8.94,9.00,8.69,8.74,95839600,0
20010711,8.57,8.57,8.15,8.44,6384000,0
20010712,8.46,8.63,8.18,8.32,5176400,0
20010713,8.28,8.65,8.25,8.52,2873200,0
20010716,8.38,8.57,8.09,8.15,46700000,0
20010717,7.88,8.10,7.88,7.96,47948000,0
20010718,7.96,7.97,7.70,7.83,8783600,0
20010719,7.85,7.99,7.75,7.87,2290000,0
20010720,7.91,8.09,7.91,8.03,34707200,0
20010723,8.13,8.24,8.00,8.03,43061600,0
20010724,8.03,8.03,7.70,7.72,7081200,0
20010725,7.86,8.47,7.69,8.47,18454400,0
20010726,8.50,8.69,8.45,8.63,32720000,0
20010727,8.75,9.13,8.49,9.10,6578000,0
20010730,9.21,9.22,8.85,8.85,5907200,0
20010731,9.09,9.11,8.63,8.85,4881200,0
20010801,8.93,9.07,8.60,8.65,4991600,0
20010802,8.69,8.82,8.50,8.80,7737600,0
20010803,8.75,8.78,8.53,8.59,13274400,0
20010806,8.57,8.71,8.41,8.48,2704400,0
20010807,8.50,8.62,8.40,8.40,29452000,0
20010808,8.50,8.51,8.03,8.04,2701200,0
20010809,8.04,8.15,7.95,8.04,27142800,0
20010810,8.07,8.24,8.01,8.13,1711600,0
20010813,8.00,8.32,8.00,8.18,17296400,0
20010814,8.38,8.38,8.28,8.38,19141200,0
20010815,8.32,9.05,8.32,9.05,8560800,0
20010816,9.04,9.04,8.77,9.02,49859600,0
20010817,9.01,9.02,8.63,8.82,2477200,0
20010820,8.82,8.82,8.53,8.54,2315200,0
20010821,8.63,8.65,8.46,8.53,827200,0
20010822,8.62,8.93,8.38,8.43,7621200,0
20010823,8.48,8.48,8.29,8.32,4960400,0
20010824,8.26,8.30,8.10,8.19,23254000,0
20010827,8.19,8.23,8.04,8.13,7920000,0
20010828,8.07,8.14,8.03,8.04,3017200,0
20010829,8.07,8.20,7.88,8.05,11345200,0
20010830,8.10,8.11,7.76,7.90,120001200,0
20010831,7.90,7.99,7.82,7.91,3746400,0
20010903,7.91,7.91,7.91,7.91,0,0
20010904,8.13,8.14,8.01,8.12,45902800,0
20010905,8.07,8.07,7.82,7.94,6193200,0
20010906,7.94,8.23,7.89,8.15,18364400,0
20010907,8.05,8.28,8.03,8.15,6746400,0
20010910,8.09,8.27,8.06,8.18,38876800,0
20010911,8.18,8.18,8.18,8.18,0,0
