DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.66,27.66,27.06,27.06,0,0
20010103,27.06,27.50,26.81,27.38,11082,0
20010104,27.50,27.50,27.06,27.19,0,0
20010105,27.06,27.06,26.38,26.66,0,0
20010108,26.69,26.69,26.09,26.47,11084,0
20010109,26.41,26.59,26.34,26.41,5096,0
20010110,26.34,26.56,26.13,26.41,3172,0
20010111,26.53,26.56,26.13,26.16,0,0
20010112,26.06,26.22,25.88,26.03,3860,0
20010115,26.03,26.03,26.03,26.03,0,0
20010116,26.06,26.19,25.69,25.84,7096,0
20010117,25.84,26.00,25.66,25.97,8862,0
20010118,26.16,26.25,25.84,25.97,86226,0
20010119,25.94,26.00,25.75,25.91,0,0
20010122,25.91,25.91,25.91,25.91,0,0
20010123,25.69,25.69,25.13,25.16,18082,0
20010124,25.22,25.84,25.22,25.66,7718,0
20010125,25.66,26.00,25.56,26.00,8692,0
20010126,25.91,25.94,25.75,25.84,5932,0
20010129,26.69,26.98,26.67,26.70,397400,0
20010130,26.75,27.05,26.00,26.39,0,0
20010131,26.08,26.23,26.00,26.19,465000,0
20010201,26.07,26.08,25.82,25.98,394200,0
20010202,26.05,26.08,25.92,26.00,0,0
20010205,26.12,26.12,25.84,25.90,256000,0
20010206,25.89,25.92,25.68,25.90,610800,0
20010207,25.90,25.95,25.75,25.90,540400,0
20010208,25.82,25.95,25.67,25.83,569400,0
20010209,25.95,26.05,25.45,25.57,919200,0
20010212,25.65,25.67,25.25,25.26,295600,0
20010213,25.30,25.63,25.27,25.58,769200,0
20010214,25.51,25.75,25.50,25.60,265400,0
20010215,25.81,25.85,25.65,25.65,656800,0
20010216,25.63,25.75,25.60,25.75,490200,0
20010219,25.75,25.75,25.75,25.75,0,0
20010220,25.77,25.88,25.63,25.75,890600,0
20010221,25.86,25.87,25.27,25.31,645000,0
20010222,25.35,25.42,24.80,24.88,661400,0
20010223,24.83,25.15,24.81,24.85,144000000,0
20010226,25.00,25.45,24.92,25.45,742800,0
20010227,25.75,25.80,25.65,25.78,405600,0
20010228,25.48,26.05,25.48,26.05,1018600,0
20010301,26.00,26.58,26.00,26.55,759200,0
20010302,26.55,26.75,26.50,26.64,973600,0
20010305,26.62,26.62,26.02,26.38,476400,0
20010306,26.38,26.38,26.09,26.30,553800,0
