DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.67,16.67,15.94,16.13,7692,0
20010103,16.14,16.20,14.25,15.28,22364,0
20010104,15.13,15.31,13.84,14.22,5244,0
20010105,14.20,14.81,14.20,14.50,0,0
20010108,14.55,14.88,14.45,14.83,0,0
20010109,14.83,14.83,14.47,14.72,3980,0
20010110,14.84,14.84,14.50,14.64,3276,0
20010111,14.69,14.75,14.33,14.50,0,0
20010112,14.50,14.63,14.36,14.48,2640,0
20010115,14.48,14.48,14.48,14.48,0,0
20010116,14.48,14.75,14.42,14.58,2972,0
20010117,14.58,14.78,14.56,14.58,8512,0
20010118,14.58,14.61,14.30,14.45,0,0
20010119,14.45,14.53,14.08,14.20,0,0
20010122,14.20,14.20,14.20,14.20,0,0
20010123,14.20,14.50,14.19,14.47,5372,0
20010124,14.44,14.86,14.44,14.80,0,0
20010125,14.77,14.81,14.66,14.75,4844,0
20010126,14.69,14.78,14.53,14.73,3032,0
20010129,15.03,15.16,14.79,14.88,0,0
20010130,15.08,15.27,14.75,15.17,0,0
20010131,14.69,14.69,14.50,14.67,174800,0
20010201,14.63,14.75,14.45,14.72,0,0
20010202,14.72,15.00,14.50,14.81,0,0
20010205,14.88,15.00,14.84,15.00,414800,0
20010206,15.00,15.00,14.85,14.99,508000,0
20010207,15.13,15.73,15.07,15.51,1389200,0
20010208,15.50,15.66,15.36,15.54,524400,0
20010209,15.55,15.84,15.50,15.56,444800,0
20010212,15.59,15.60,15.50,15.60,256400,0
20010213,15.60,15.65,15.32,15.39,655200,0
20010214,15.37,15.45,15.21,15.29,477600,0
20010215,15.13,15.13,14.85,14.91,1134800,0
20010216,14.89,15.06,14.89,15.00,504400,0
20010219,15.00,15.00,15.00,15.00,0,0
20010220,15.02,15.02,14.90,14.95,290000,0
20010221,14.99,15.06,14.60,14.75,217200,0
20010222,14.76,14.96,14.48,14.63,386000,0
20010223,14.57,14.57,14.38,14.52,319600,0
20010226,14.55,14.73,14.52,14.55,392000,0
20010227,14.57,14.57,14.33,14.35,169200,0
20010228,14.35,14.40,14.26,14.35,636000,0
20010301,14.39,14.75,14.39,14.50,561600,0
20010302,14.50,14.86,14.50,14.85,347600,0
20010305,14.88,15.18,14.88,15.15,444800,0
20010306,15.13,15.32,15.09,15.29,483200,0
20010307,15.63,15.94,15.54,15.90,1247200,0
20010308,15.89,16.46,15.89,16.32,1314800,0
20010309,16.44,16.50,16.32,16.42,1143200,0
20010312,16.43,16.60,16.35,16.36,642400,0
20010313,16.38,16.38,16.00,16.11,554800,0
20010314,15.95,15.96,15.73,15.76,401200,0
20010315,15.85,16.11,15.79,16.04,8434400,0
20010316,15.96,16.04,15.82,15.85,398400,0
20010319,15.86,16.00,15.50,15.96,556800,0
20010320,16.02,16.42,15.94,16.40,580800,0
20010321,16.50,16.54,16.27,16.36,656800,0
20010322,16.36,16.36,15.75,15.96,844000,0
20010323,16.00,16.30,15.98,16.27,523200,0
20010326,16.20,16.46,16.17,16.43,317200,0
20010327,16.47,16.94,16.47,16.80,685600,0
20010328,17.46,17.63,17.07,17.21,5558800,0
20010329,16.50,17.00,16.48,16.80,13880400,0
20010330,16.98,17.24,16.75,17.23,66800000,0
20010402,17.44,17.56,17.18,17.32,1994800,0
20010403,17.20,17.70,17.19,17.67,1665200,0
20010404,17.81,18.09,17.73,17.93,1617600,0
20010405,17.94,18.50,17.90,18.40,1344800,0
20010406,18.30,18.30,17.95,18.08,1084800,0
20010409,18.11,18.49,18.11,18.30,528400,0
20010410,18.50,18.91,18.40,18.91,669600,0
20010411,18.91,18.91,18.56,18.61,328000,0
20010412,18.63,18.75,18.49,18.73,551600,0
20010416,18.83,19.23,18.77,19.12,870800,0
20010417,19.10,19.38,18.96,19.38,812800,0
20010418,19.30,19.30,18.75,19.20,1436000,0
20010419,19.20,19.20,18.76,19.01,1207200,0
20010420,19.01,19.35,18.85,18.90,1724800,0
20010423,18.96,19.25,18.85,19.15,926400,0
20010424,19.15,19.42,19.15,19.42,2511200,0
20010425,19.42,19.60,19.25,19.60,668400,0
20010426,19.63,19.95,19.52,19.95,1213600,0
20010427,19.98,20.00,19.69,19.90,630000,0
20010430,19.93,20.09,19.72,20.00,1845200,0
