DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.3750,6.4297,5.7969,5.8516,9540800,0
20010103,5.7519,5.8281,5.4922,5.7773,10084800,0
20010104,5.7422,5.8242,5.2344,5.3359,24406400,0
20010105,5.1953,5.4844,5.1094,5.2031,13795200,0
20010108,5.1641,5.3281,5.1250,5.2539,7832000,0
20010109,5.2500,5.4766,5.2461,5.4102,5435200,0
20010110,5.4141,5.6250,5.3516,5.6191,7380800,0
20010111,5.5625,5.7422,5.5469,5.6660,6222400,0
20010112,5.6504,5.8438,5.5586,5.6875,7708800,0
20010115,5.6875,5.6875,5.6875,5.6875,0,0
20010116,5.7266,5.8281,5.7031,5.7695,7193600,0
20010117,5.8125,5.8984,5.5703,5.5938,12820800,0
20010118,5.6133,5.7109,5.4453,5.5078,7054400,0
20010119,5.5586,5.5781,5.1250,5.1523,18408000,0
20010122,5.2656,5.3672,5.2188,5.2266,13369600,0
20010123,5.2715,5.7539,5.2461,5.6680,15385600,0
20010124,5.6602,6.0000,5.5430,5.9258,7262400,0
20010125,5.8672,5.9375,5.8047,5.9375,3283200,0
20010126,5.8516,6.0859,5.8125,6.0547,4785600,0
20010129,6.0234,6.2500,5.9141,5.9570,5758400,0
20010130,6.0195,6.0625,5.7969,5.8438,2126400,0
20010131,5.9688,6.0000,5.6055,5.8008,5073600,0
20010201,5.8516,5.8750,5.6719,5.7012,2851200,0
20010202,5.8281,5.9805,5.7656,5.9453,6059200,0
20010205,6.0195,6.1289,5.9961,6.0117,8739200,0
20010206,6.0117,6.1172,5.9766,6.0430,4188800,0
20010207,6.0313,6.2344,6.0117,6.2266,10185600,0
20010208,6.1094,6.3125,5.8086,5.9336,17883200,0
20010209,5.9063,6.2422,5.8789,6.1406,7966400,0
20010212,6.1523,6.1914,6.0156,6.1250,7267200,0
20010213,6.1250,6.3125,6.1250,6.2285,13729600,0
20010214,6.1250,6.2109,5.9648,6.1328,18628800,0
20010215,6.2188,6.2266,5.7383,5.7891,14414400,0
20010216,5.7461,5.8125,5.6328,5.7344,6019200,0
20010219,5.7344,5.7344,5.7344,5.7344,0,0
20010220,5.7793,5.8125,5.5664,5.6914,7806400,0
20010221,5.6445,5.7188,5.3594,5.4258,6713600,0
20010222,5.3750,5.8945,5.3750,5.6328,13832000,0
20010223,5.6094,5.8672,5.4609,5.8242,6851200,0
20010226,5.8555,5.8711,5.6328,5.6797,5238400,0
20010227,5.5938,5.6836,5.5078,5.6133,7302400,0
20010228,5.5840,5.6406,5.5000,5.6055,4761600,0
20010301,5.5469,5.6563,5.5234,5.5918,5644800,0
20010302,5.5508,5.6406,5.4453,5.4531,6033600,0
20010305,5.4609,5.7109,5.4570,5.6445,4361600,0
