DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,54.75,54.94,54.25,54.31,0,0
20010103,54.38,55.94,54.38,55.94,760,0
20010104,55.69,55.81,55.00,55.06,0,0
20010105,55.00,55.06,51.50,51.81,0,0
20010108,52.19,52.50,51.88,52.06,0,0
20010109,52.13,52.25,51.63,52.00,706,0
20010110,52.25,52.25,51.44,51.94,889,0
20010111,52.63,52.63,51.94,52.00,0,0
20010112,52.13,52.31,52.06,52.19,105,0
20010115,52.19,52.19,52.19,52.19,0,0
20010116,52.13,52.13,51.50,52.00,345,0
20010117,51.94,51.94,51.31,51.50,257,0
20010118,51.63,51.81,51.25,51.69,0,0
20010119,51.56,51.69,51.31,51.38,0,0
20010122,51.38,51.38,51.38,51.38,0,0
20010123,51.00,51.69,50.88,51.69,195,0
20010124,51.75,51.75,51.06,51.06,0,0
20010125,51.00,51.63,51.00,51.44,0,0
20010126,50.81,50.88,50.50,50.75,0,0
20010129,51.34,51.94,51.34,51.94,0,0
20010130,52.56,52.88,52.56,52.84,0,0
20010131,51.75,51.93,51.75,51.75,0,0
20010201,52.00,52.19,52.00,52.19,0,0
20010202,52.20,52.95,52.20,52.82,0,0
20010205,52.92,53.20,52.92,52.96,17200,0
20010206,52.86,53.00,52.74,52.90,0,0
20010207,52.70,52.72,51.00,51.45,290800,0
20010208,51.65,51.70,50.49,50.50,0,0
20010209,50.50,50.55,49.80,49.99,0,0
20010212,50.00,50.10,49.94,50.10,146500,0
20010213,50.10,50.10,49.42,49.80,90300,0
20010214,49.85,50.02,49.76,50.00,0,0
20010215,50.24,50.26,49.75,49.95,146600,0
20010216,49.90,50.10,49.80,50.05,0,0
20010219,50.05,50.05,50.05,50.05,0,0
20010220,50.00,50.13,49.90,50.06,14300,0
20010221,49.94,50.00,49.84,49.90,51900,0
20010222,49.95,49.95,49.05,49.16,69400,0
20010223,49.16,49.93,49.16,49.90,1077600,0
20010226,49.90,50.30,49.90,50.05,93000,0
20010227,50.05,50.05,49.65,49.91,1089000,0
20010228,49.80,50.25,49.66,50.15,73600,0
20010301,50.05,50.95,49.90,50.85,36100,0
20010302,50.65,51.75,50.65,51.58,125900,0
20010305,51.63,51.68,51.36,51.36,14100,0
20010306,51.55,51.70,51.50,51.69,23200,0
20010307,51.78,52.14,51.57,51.57,40500,0
20010308,51.55,51.64,51.30,51.44,25100,0
20010309,51.34,51.50,51.10,51.37,33100,0
20010312,51.47,51.47,50.95,51.00,23200,0
20010313,51.00,51.24,50.95,51.16,15200,0
20010314,51.26,51.26,50.90,50.90,39700,0
20010315,50.80,51.25,50.76,51.00,13800,0
20010316,51.20,51.35,50.65,50.65,33700,0
20010319,50.65,51.05,50.50,51.04,37000,0
20010320,51.14,51.88,50.90,50.90,47800,0
20010321,50.80,51.00,49.60,49.60,33100,0
20010322,49.60,49.60,47.50,49.33,81000,0
20010323,49.50,50.58,49.50,49.80,38200,0
20010326,49.87,50.48,49.40,49.46,25600,0
20010327,49.44,49.44,48.50,48.55,53300,0
20010328,47.95,47.95,46.96,47.36,96300,0
20010329,47.34,47.85,47.10,47.85,58000,0
20010330,47.80,48.25,47.80,48.05,94700,0
20010402,48.13,48.18,47.70,47.71,61400,0
20010403,47.60,47.60,46.01,46.15,67000,0
20010404,46.50,46.63,45.24,45.45,25300,0
20010405,45.55,45.99,45.30,45.65,71900,0
20010406,44.50,45.55,44.00,44.50,86900,0
20010409,44.55,44.75,44.36,44.60,99100,0
20010410,44.50,44.50,44.10,44.17,217200,0
20010411,44.24,44.24,43.07,43.34,97500,0
20010412,43.45,43.55,43.15,43.35,48500,0
20010416,43.35,43.35,42.28,43.20,157900,0
20010417,43.00,44.13,42.87,44.13,78900,0
20010418,43.75,45.20,43.75,44.71,20165800,0
20010419,45.01,45.46,44.51,45.46,355000,0
20010420,45.36,45.36,44.75,44.75,2088700,0
20010423,44.85,45.14,44.70,44.75,32600,0
20010424,44.95,45.64,44.91,45.64,52000,0
20010425,45.44,48.50,45.44,48.37,109500,0
20010426,48.12,48.30,47.85,48.02,93100,0
20010427,48.02,48.32,48.02,48.24,31900,0
20010430,48.14,48.25,47.64,47.67,42400,0
20010501,47.25,47.60,46.82,46.82,85000,0
20010502,47.00,47.00,46.34,46.70,103500,0
20010503,46.60,46.80,46.34,46.80,86700,0
20010504,46.49,47.12,46.49,47.00,84900,0
20010507,46.95,47.09,46.75,46.75,1043900,0
20010508,46.85,46.87,46.43,46.81,46000,0
20010509,46.70,47.00,46.65,46.77,49500,0
20010510,46.47,46.68,46.47,46.60,87900,0
20010511,46.60,46.74,46.60,46.60,32300,0
