DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.63,36.00,34.38,34.63,0,0
20010103,34.25,35.25,32.38,32.44,19745,0
20010104,32.13,32.19,30.19,30.75,393027,0
20010105,31.00,32.63,30.25,31.50,27714,0
20010108,32.13,33.44,32.13,32.75,17295,0
20010109,33.75,34.13,32.63,33.50,15565,0
20010110,33.00,34.63,33.00,34.38,50516,0
20010111,34.31,35.13,33.94,34.56,9107,0
20010112,34.31,34.88,33.94,34.88,0,0
20010115,34.88,34.88,34.88,34.88,0,0
20010116,35.50,35.56,34.13,35.13,21341,0
20010117,34.75,34.75,33.06,33.69,16192,0
20010118,33.69,33.88,31.00,31.81,57462,0
20010119,31.56,33.19,31.19,31.63,54192,0
20010122,31.63,31.63,31.63,31.63,0,0
20010123,32.19,33.50,32.19,33.19,12958,0
20010124,33.44,34.75,33.00,34.44,10448,0
20010125,34.63,36.56,34.00,36.25,0,0
20010126,36.50,37.38,36.25,36.63,34514,0
20010129,38.06,38.09,35.50,36.72,1854600,0
20010130,36.56,38.03,35.00,36.38,4005600,0
20010131,35.50,36.37,35.50,36.00,882600,0
20010201,36.05,36.10,34.67,35.75,0,0
20010202,35.76,36.97,35.76,36.55,0,0
20010205,37.00,38.50,37.00,38.48,1419400,0
20010206,38.48,39.60,37.77,39.59,1357200,0
20010207,39.59,40.70,38.34,40.29,2540400,0
20010208,40.30,40.35,39.30,39.64,875200,0
20010209,39.64,40.64,39.40,40.22,4773000,0
20010212,39.75,39.90,38.53,39.09,1087200,0
20010213,38.68,39.40,38.17,38.80,884100,0
20010214,38.80,39.60,38.35,39.30,15535000,0
20010215,38.54,39.30,38.41,39.00,913300,0
20010216,39.70,40.10,38.90,39.15,1718300,0
20010219,39.15,39.15,39.15,39.15,0,0
20010220,39.90,40.35,39.43,39.83,1115600,0
20010221,40.17,40.48,38.42,38.50,893300,0
20010222,40.00,40.05,37.48,37.90,4990000,0
20010223,38.00,38.76,36.96,37.42,3873800,0
20010226,37.43,39.80,37.37,39.38,1501400,0
20010227,39.40,40.10,38.62,39.11,2310800,0
20010228,39.50,39.60,37.61,38.11,841000,0
20010301,38.01,38.64,37.83,37.89,1766400,0
20010302,38.30,39.85,38.16,39.79,683000,0
20010305,40.25,41.50,39.90,41.11,13404500,0
20010306,40.90,42.38,40.30,42.09,1185900,0
20010307,42.12,44.48,42.03,44.44,2517500,0
