DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010222,107.0000,107.1000,98.4000,100.0000,666370,0
20010223,97.0000,100.4000,92.0000,94.2000,332300,0
20010226,96.5000,107.5000,96.0000,107.5000,302930,0
20010227,102.0000,104.5000,99.8000,99.8000,237820,0
20010228,100.9000,101.4000,90.1000,90.1000,325590,0
20010301,90.9000,98.3000,86.1000,92.5000,249730,0
20010302,89.7000,96.6000,88.0000,92.5000,215450,0
20010305,92.5000,96.0000,92.0000,93.5000,264390,0
20010306,95.0000,99.5000,95.0000,97.1000,139130,0
20010307,98.5000,99.6000,95.0000,96.3000,136760,0
20010308,96.3000,96.3000,91.2000,91.9000,108340,0
20010309,90.0000,90.1000,81.4000,81.7000,313140,0
20010312,80.3000,80.3000,72.6000,73.6000,340790,0
20010313,75.5000,78.5000,74.1000,76.5000,214750,0
20010314,73.1000,77.8000,70.0000,74.1000,201910,0
20010315,79.5000,79.5000,76.0000,76.5000,184860,0
20010316,76.1000,76.5000,71.6000,72.5000,201050,0
20010319,72.1000,81.2000,71.5000,80.6000,234060,0
20010320,80.6000,82.0000,73.0000,74.6000,243310,0
20010321,72.5000,76.0000,68.5000,68.5000,2420000,0
20010322,67.8000,69.3000,65.0000,65.8000,453730,0
20010323,67.8000,69.8000,66.4000,69.6000,346910,0
20010326,73.8000,73.8000,71.3000,71.5000,122320,0
20010327,71.5000,72.3000,70.1000,72.0000,209020,0
20010328,70.2000,70.2000,67.3000,67.3000,153660,0
20010329,67.0000,67.6000,64.3000,64.5000,118510,0
20010330,67.1000,69.8000,63.5000,69.8000,223130,0
20010402,67.3000,69.0000,61.3000,62.0000,188690,0
20010403,61.0000,61.2000,55.1000,56.5000,390550,0
20010404,54.0000,58.0000,53.2000,56.0000,251080,0
20010405,60.0000,64.5000,59.0000,64.5000,169610,0
20010406,62.0000,62.0000,60.1000,60.4000,214570,0
20010409,60.5000,62.4000,60.3000,62.3000,104880,0
20010410,64.5000,75.8000,64.1000,75.5000,447050,0
20010411,76.5000,81.9000,75.8000,77.5000,1734340,0
20010412,75.0000,88.1000,74.1000,87.7000,364900,0
20010416,84.6000,84.8000,77.6000,81.5000,213490,0
20010417,77.7000,82.2000,77.1000,81.9000,139570,0
20010418,85.0000,93.3000,85.0000,89.5000,366200,0
20010419,91.9000,93.0000,89.6000,93.0000,226200,0
20010420,92.9000,97.5000,90.0000,95.5000,224180,0
20010423,96.4000,96.4000,86.0000,86.0000,576750,0
20010424,85.0000,88.5000,82.9000,83.9000,123930,0
20010425,81.9000,88.6000,81.1000,87.5000,205500,0
20010426,86.5000,92.6000,86.5000,91.0000,139730,0
20010427,92.0000,94.3000,92.0000,93.8000,198550,0
20010430,94.1000,96.0000,93.9000,94.0000,129020,0
20010501,91.5000,92.8000,88.0000,91.5000,144500,0
20010502,94.0000,96.1000,92.7000,96.0000,246830,0
20010503,95.0000,95.0000,91.5000,91.7000,132030,0
20010504,89.1000,96.0000,89.0000,96.0000,578900,0
20010507,94.5000,95.9000,92.0000,93.4000,582190,0
20010508,93.3000,94.4000,91.0000,91.8000,157480,0
20010509,90.1000,92.5000,89.2000,91.9000,121470,0
20010510,93.8000,94.9000,91.0000,91.0000,84670,0
20010511,93.0000,93.8000,89.6000,90.7000,123780,0
20010514,90.0000,90.1000,86.0000,87.9000,132450,0
20010515,88.0000,90.0000,85.1000,90.0000,146120,0
20010516,89.0000,92.0000,87.1000,92.0000,178100,0
20010517,92.0000,94.0000,91.2000,94.0000,141380,0
20010518,93.3000,93.4000,91.0000,92.0000,461250,0
20010521,92.3000,102.0000,91.6000,102.0000,222360,0
20010522,99.0000,99.0000,80.3000,87.4000,1380520,0
20010523,86.0000,94.4000,83.5000,83.9000,705420,0
20010524,84.0000,84.5000,80.0000,82.7000,568340,0
20010525,82.6000,84.5000,81.5000,83.4000,540370,0
20010528,83.4000,83.4000,83.4000,83.4000,0,0
20010529,82.6000,82.6000,78.1000,78.6000,850610,0
20010530,77.9000,78.8000,75.1000,76.0000,209150,0
20010531,75.1000,78.5000,75.0000,75.0000,277530,0
20010601,75.3000,77.8000,74.0000,77.7000,528180,0
20010604,78.4000,79.1000,76.8000,78.3000,261830,0
20010605,78.8000,80.5000,78.1000,80.0000,421720,0
20010606,80.0000,80.6000,75.7000,77.5000,243720,0
20010607,77.0000,77.1000,73.0000,73.3000,452050,0
20010608,74.5000,74.5000,70.6000,73.0000,299700,0
20010611,73.1000,73.1000,69.7000,70.4000,3707440,0
20010612,70.1000,72.0000,68.5000,71.0000,537560,0
20010613,71.1000,72.5000,69.9000,69.9000,108100,0
20010614,69.0000,69.2000,64.5000,65.0000,415350,0
20010615,63.0000,64.8000,62.0000,62.6000,631180,0
20010618,62.7000,64.0000,58.8000,59.9000,290610,0
20010619,61.2000,62.9000,58.5000,59.5000,183660,0
20010620,59.4000,64.0000,58.8000,64.0000,915010,0
20010621,64.4000,64.4000,62.1000,64.0000,201160,0
20010622,64.8000,65.5000,62.5000,65.2000,188020,0
20010625,64.3000,67.0000,64.0000,66.4000,1512640,0
20010626,64.1000,64.8000,63.5000,63.7000,7554550,0
20010627,63.5000,65.5000,63.2000,63.5000,356020,0
20010628,64.5000,67.2000,64.5000,65.6000,1682780,0
20010629,66.0000,66.4000,64.5000,64.5000,277480,0
20010702,65.0000,65.1000,64.5000,64.9000,158380,0
20010703,64.9000,64.9000,63.5000,64.7000,62130,0
20010704,64.7000,64.7000,64.7000,64.7000,0,0
20010705,63.8000,64.3000,61.0000,61.7000,164530,0
20010706,61.7000,61.8000,59.7000,60.0000,181540,0
20010709,60.0000,60.5000,58.2000,58.5000,140240,0
20010710,58.1000,58.4000,54.5000,54.5000,364760,0
20010711,53.9000,54.4000,50.0000,52.9000,1278130,0
20010712,57.5000,58.7000,55.2000,58.0000,213440,0
20010713,59.8000,61.4000,58.5000,61.1000,3206870,0
20010716,61.0000,62.4000,60.3000,61.9000,155190,0
20010717,61.0000,64.0000,60.1000,63.3000,1000920,0
20010718,63.4000,63.8000,61.5000,63.5000,1026340,0
20010719,65.0000,68.2000,64.4000,66.2000,2255140,0
20010720,65.8000,67.8000,65.2000,67.5000,201730,0
20010723,67.3000,68.0000,64.5000,64.7000,114100,0
20010724,65.5000,65.6000,60.5000,60.6000,522110,0
20010725,60.9000,61.9000,60.5000,61.6000,702750,0
