DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.44,4.44,4.33,4.35,0,0
20010103,4.35,4.67,4.32,4.57,12012,0
20010104,4.55,4.61,4.47,4.57,0,0
20010105,4.50,4.50,4.19,4.22,0,0
20010108,4.25,4.26,4.22,4.24,0,0
20010109,4.28,4.47,4.28,4.38,0,0
20010110,4.44,4.60,4.44,4.50,6340,0
20010111,4.46,4.50,4.44,4.46,0,0
20010112,4.41,4.50,4.39,4.49,7880,0
20010115,4.49,4.49,4.49,4.49,0,0
20010116,4.49,4.50,4.36,4.50,0,0
20010117,4.50,4.57,4.44,4.49,0,0
20010118,4.46,4.58,4.46,4.57,83704,0
20010119,4.57,4.57,4.35,4.39,0,0
20010122,4.39,4.39,4.39,4.39,0,0
20010123,4.39,4.50,4.30,4.44,9760,0
20010124,4.44,4.50,4.39,4.50,0,0
20010125,4.47,4.60,4.44,4.47,0,0
20010126,4.49,4.50,4.35,4.35,0,0
20010129,4.45,4.90,4.45,4.72,0,0
20010130,4.62,4.89,4.51,4.82,0,0
20010131,4.60,4.65,4.55,4.58,4204400,0
20010201,4.54,4.65,4.53,4.61,0,0
20010202,4.58,4.60,4.49,4.58,0,0
20010205,4.60,4.60,4.49,4.49,0,0
20010206,4.50,4.50,4.29,4.32,0,0
20010207,4.50,4.80,4.50,4.63,0,0
20010208,4.65,4.82,4.65,4.72,0,0
20010209,4.82,4.93,4.81,4.87,1127600,0
20010212,4.88,5.42,4.88,5.38,0,0
20010213,5.25,5.37,5.00,5.04,676800,0
20010214,5.01,5.09,5.00,5.04,0,0
20010215,5.16,5.25,5.15,5.25,534000,0
20010216,5.23,5.23,5.01,5.16,357600,0
20010219,5.16,5.16,5.16,5.16,0,0
20010220,5.16,5.25,5.13,5.19,291200,0
20010221,5.17,5.22,5.13,5.20,295600,0
20010222,5.15,5.35,5.11,5.32,716800,0
20010223,5.32,5.32,5.00,5.15,440400,0
20010226,5.15,5.25,5.13,5.25,321600,0
20010227,5.24,5.69,5.14,5.44,730000,0
20010228,5.50,5.50,5.23,5.24,481200,0
20010301,5.28,5.35,5.25,5.30,8380400,0
20010302,5.31,5.33,5.00,5.07,735600,0
20010305,5.08,5.10,4.97,5.00,4430800,0
20010306,5.00,5.03,4.99,5.00,40975600,0
20010307,4.94,4.95,4.72,4.78,1706400,0
20010308,4.80,4.92,4.80,4.84,24444800,0
20010309,4.87,4.90,4.76,4.79,502800,0
20010312,4.78,4.83,4.76,4.79,476000,0
20010313,4.79,4.93,4.76,4.93,428800,0
20010314,4.90,5.00,4.83,4.97,745600,0
20010315,4.99,4.99,4.89,4.89,694800,0
20010316,4.88,4.88,4.84,4.85,878800,0
20010319,4.85,4.85,4.75,4.80,334800,0
20010320,4.80,4.83,4.66,4.66,1415200,0
20010321,4.63,4.65,4.59,4.62,706000,0
20010322,4.60,4.60,4.35,4.50,1264800,0
20010323,4.47,4.55,4.43,4.45,678000,0
20010326,4.45,4.55,4.45,4.50,319200,0
20010327,4.50,4.64,4.49,4.62,1565200,0
20010328,4.61,4.61,4.47,4.49,8958800,0
20010329,4.51,4.99,4.50,4.88,553600,0
20010330,4.87,4.99,4.78,4.90,730000,0
20010402,4.85,4.99,4.85,4.85,408400,0
20010403,4.83,4.83,4.60,4.60,839200,0
20010404,4.65,4.72,4.60,4.72,714400,0
20010405,4.70,4.89,4.68,4.78,85780000,0
20010406,4.78,4.95,4.76,4.88,3637600,0
20010409,4.85,4.97,4.79,4.84,602000,0
20010410,4.78,4.89,4.72,4.78,468000,0
20010411,4.90,4.90,4.45,4.60,676000,0
20010412,4.57,4.63,4.53,4.62,620000,0
20010416,4.65,4.71,4.56,4.66,608000,0
20010417,4.67,4.82,4.65,4.78,571600,0
20010418,4.75,4.88,4.69,4.75,24976800,0
20010419,4.74,5.26,4.74,5.00,2081600,0
20010420,4.94,5.00,4.91,5.00,44482400,0
20010423,5.03,5.03,4.99,5.00,633200,0
20010424,5.00,5.01,4.95,4.99,392800,0
20010425,5.00,5.00,4.91,4.94,560800,0
20010426,4.99,5.05,4.91,4.91,592400,0
20010427,5.00,5.53,5.00,5.53,1334000,0
20010430,5.51,5.80,5.35,5.41,1785200,0
20010501,5.48,5.60,5.48,5.60,1718000,0
20010502,5.60,5.60,5.51,5.53,681600,0
20010503,5.56,5.63,5.52,5.55,665600,0
20010504,5.53,5.76,5.51,5.76,529200,0
20010507,5.79,5.93,5.62,5.62,9302800,0
20010508,5.66,5.75,5.65,5.70,1064400,0
20010509,5.70,5.70,5.59,5.63,463600,0
20010510,5.64,5.65,5.60,5.62,72634000,0
20010511,5.62,5.69,5.52,5.58,2101600,0
20010514,5.60,5.78,5.60,5.74,2638000,0
20010515,5.75,5.90,5.74,5.84,540800,0
20010516,5.82,5.94,5.80,5.94,1712400,0
20010517,5.93,6.00,5.90,6.00,710000,0
20010518,5.94,5.99,5.88,5.96,4257200,0
20010521,5.96,6.10,5.91,6.00,1351600,0
20010522,6.00,6.03,5.76,5.76,901200,0
20010523,5.75,5.96,5.51,5.89,534400,0
20010524,5.86,5.91,5.72,5.75,456400,0
20010525,5.80,5.80,5.54,5.64,742000,0
20010528,5.64,5.64,5.64,5.64,0,0
20010529,5.65,5.68,5.53,5.60,20679600,0
20010530,5.60,5.82,5.53,5.53,670800,0
20010531,5.57,5.84,5.57,5.80,12888400,0
20010601,5.95,5.98,5.82,5.97,530000,0
20010604,5.97,6.04,5.93,6.02,521200,0
20010605,6.13,6.25,6.12,6.18,2621200,0
20010606,6.19,6.30,6.19,6.24,947200,0
20010607,6.25,6.35,6.23,6.30,29317600,0
20010608,6.25,6.29,6.20,6.26,4953200,0
20010611,6.24,6.33,6.18,6.20,1014400,0
20010612,6.20,6.20,6.05,6.12,8699600,0
20010613,6.15,6.25,6.09,6.10,552400,0
20010614,6.07,6.07,5.95,6.00,385600,0
20010615,5.93,6.00,5.89,5.97,552400,0
20010618,5.97,6.08,5.97,6.01,533200,0
20010619,6.00,6.04,6.00,6.03,8369600,0
20010620,6.03,6.24,6.03,6.14,437200,0
20010621,6.14,6.22,6.11,6.17,263200,0
20010622,6.23,6.24,6.07,6.18,772800,0
20010625,6.12,6.22,6.10,6.18,1455200,0
20010626,6.14,6.30,6.14,6.27,552000,0
20010627,6.27,6.62,6.27,6.37,1177200,0
20010628,6.32,6.43,6.29,6.38,523200,0
20010629,6.38,6.60,6.29,6.59,2400000,0
20010702,6.59,6.78,6.51,6.58,5016400,0
20010703,6.58,6.64,6.57,6.58,226000,0
20010704,6.58,6.58,6.58,6.58,0,0
20010705,6.57,6.82,6.50,6.53,561200,0
20010706,6.54,6.54,6.37,6.37,200800,0
20010709,6.43,6.62,6.38,6.61,412000,0
20010710,6.60,6.68,6.52,6.66,416000,0
20010711,6.66,6.70,6.53,6.66,471200,0
20010712,6.64,6.75,6.64,6.74,468800,0
20010713,6.74,7.00,6.74,6.95,9368800,0
20010716,6.91,6.93,6.50,6.57,511200,0
20010717,6.56,6.68,6.51,6.57,886000,0
20010718,6.57,6.57,6.39,6.47,4522400,0
20010719,6.47,6.47,5.99,6.05,17199600,0
20010720,5.88,6.00,5.38,5.82,34428000,0
20010723,5.79,5.80,5.70,5.76,29491600,0
20010724,5.77,6.00,5.76,5.95,44454800,0
20010725,5.95,5.95,5.85,5.87,643200,0
20010726,5.85,6.03,5.78,6.03,28809600,0
20010727,6.19,6.40,5.94,6.23,1119600,0
20010730,6.30,6.43,6.18,6.22,807200,0
20010731,6.22,6.25,6.12,6.20,288400,0
20010801,6.24,6.28,6.18,6.22,828400,0
20010802,6.32,6.32,6.00,6.03,8427600,0
20010803,6.03,6.09,5.88,5.99,616800,0
20010806,5.99,6.10,5.98,6.07,4708000,0
20010807,6.05,6.18,6.05,6.10,991200,0
