DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.6406,13.6875,12.2500,12.4063,2405200,0
20010103,12.2813,13.5938,12.2188,13.5938,4140800,0
20010104,13.3906,14.5156,13.3750,13.9375,3183200,0
20010105,14.0000,14.0000,13.7188,13.7500,1653200,0
20010108,13.7500,13.8125,13.2500,13.7500,2389200,0
20010109,13.7500,13.8750,12.6406,13.1875,1688400,0
20010110,13.1250,13.1563,12.8750,12.8750,1308000,0
20010111,12.8125,13.0938,12.8125,13.0781,875200,0
20010112,13.0625,13.1563,12.4688,12.9688,1021600,0
20010115,12.9688,12.9688,12.9688,12.9688,0,0
20010116,12.9688,12.9688,12.6250,12.9063,1068400,0
20010117,12.9375,13.2500,12.8750,13.0938,939200,0
20010118,13.0938,13.1563,12.9844,13.1172,877600,0
20010119,13.1250,13.1250,12.7813,12.7813,1572400,0
20010122,12.8906,13.1094,12.7813,13.1094,2187600,0
20010123,12.9375,13.2813,12.8125,12.8281,3919600,0
20010124,12.8750,12.8750,12.7031,12.8125,1530400,0
20010125,12.7969,13.4375,12.6094,13.1406,1250000,0
20010126,13.1875,13.6563,12.9688,13.3906,851600,0
20010129,13.5000,14.6250,13.4766,14.6250,2617200,0
20010130,14.3125,15.0000,14.1797,14.2500,2483200,0
20010131,14.2500,14.9063,14.0938,14.5781,2387200,0
20010201,14.5781,14.8594,13.9375,14.4688,816000,0
20010202,14.5313,14.5625,14.0313,14.1250,738800,0
20010205,14.1406,14.3750,13.9063,14.3281,491600,0
20010206,14.3125,14.4688,14.2188,14.3125,709200,0
20010207,14.3125,14.3906,14.2031,14.2656,739200,0
20010208,14.2656,14.2656,14.0000,14.2578,303200,0
20010209,14.2656,14.2656,13.7344,13.8750,979200,0
20010212,13.7500,14.1875,13.7500,14.0078,1204400,0
20010213,13.9688,14.4375,13.9688,14.1875,1701200,0
20010214,14.2188,14.4063,14.2109,14.4063,3658800,0
20010215,14.3594,14.7813,14.3594,14.5313,1166400,0
20010216,14.3438,14.6250,14.1719,14.2969,949200,0
20010219,14.2969,14.2969,14.2969,14.2969,0,0
20010220,14.2656,14.6875,14.2500,14.5313,2772800,0
20010221,14.2031,15.1875,14.2031,14.8594,1834400,0
20010222,14.9063,14.9063,14.5938,14.7969,2875200,0
20010223,14.7344,14.7344,14.5156,14.5781,3486000,0
20010226,14.6094,14.7188,14.2500,14.5313,2544800,0
20010227,14.5313,14.7188,14.5000,14.6719,2236000,0
20010228,14.6563,14.6563,14.3594,14.5938,1582800,0
20010301,14.5156,14.5781,14.3438,14.5625,2425600,0
20010302,14.5000,14.5469,13.7500,13.9375,3479200,0
