DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20050720,27.5000,27.5000,23.8900,23.9500,648800,0
20050721,24.3000,24.6000,23.9200,24.0700,157284,0
20050722,24.6200,24.9000,23.9500,24.8600,69125,0
20050725,24.8800,24.9000,24.1500,24.2300,79134,0
20050726,24.3200,24.3500,23.7500,24.0000,204900,0
20050727,24.0000,24.1200,23.6500,24.1000,190500,0
20050728,24.1000,24.1200,23.9100,24.0500,187125,0
20050729,24.1000,24.3500,23.8500,24.3300,105240,0
20050801,24.2300,24.5000,24.1000,24.4000,329852,0
20050802,26.0000,26.0000,23.6400,24.0500,599362,0
20050803,24.2700,24.2700,23.7600,23.8500,295471,0
20050804,23.7000,23.8900,23.3500,23.5500,282311,0
20050805,23.6900,23.6900,23.1500,23.3700,414072,0
20050808,23.5000,23.6500,21.2600,22.5000,12768442,0
20050809,23.4400,23.8500,22.5200,23.8500,9740764,0
20050810,24.2000,24.5200,23.6700,23.7000,5135258,0
20050811,23.5800,23.7800,22.7800,22.8700,3410254,0
20050812,22.7300,22.7500,21.5000,22.3000,3379345,0
20050815,22.5000,22.5800,21.3000,21.4400,2979642,0
20050816,21.4400,21.6000,20.6900,21.4500,4692949,0
20050817,21.1500,21.9900,21.1500,21.6900,2245046,0
20050818,21.2900,22.0000,21.2900,21.7500,2681932,0
20050819,21.8800,21.9000,21.5400,21.6500,1596420,0
20050822,21.6500,21.8000,21.2000,21.6000,3262801,0
20050823,21.3800,21.6400,21.2100,21.4500,2155822,0
20050824,21.2400,21.7800,21.2200,21.6000,2319240,0
20050825,21.4300,22.3100,21.4300,22.1600,1579344,0
20050826,22.0500,22.5300,21.9000,22.1100,1079978,0
20050829,22.0500,22.5000,21.9000,22.3400,930160,0
20050830,22.0400,22.5000,22.0000,22.4000,1212294,0
20050831,22.1000,22.4300,22.0000,22.2600,1654253,0
20050901,22.1500,22.4400,22.0600,22.2200,1481088,0
20050902,22.1100,22.6300,21.7200,22.3700,1836957,0
20050906,22.3100,22.5500,21.6900,22.0900,2484469,0
20050907,22.0900,22.5900,21.9100,22.2800,1368737,0
20050908,22.2500,22.9700,22.0200,22.4500,1280426,0
20050909,21.9900,22.3500,21.7500,22.0600,4132724,0
20050912,22.2100,22.7900,21.9500,22.1000,2021366,0
20050913,22.3400,22.4100,22.0000,22.0700,1496541,0
20050914,21.9400,22.1400,21.7500,21.8200,1454657,0
20050915,21.7300,21.8500,21.0500,21.4100,2522992,0
20050916,21.2300,21.4600,20.7500,21.0000,1903864,0
20050919,20.7600,21.3100,20.7600,21.0500,2164147,0
20050920,21.0700,21.0700,20.7600,20.9500,1359301,0
20050921,21.1600,21.5000,18.6100,20.6500,1793140,0
20050922,20.5000,20.6700,19.6300,20.2500,1945395,0
20050923,20.1300,20.3000,19.7500,20.0800,1380558,0
20050926,20.0000,20.3300,19.9000,20.0400,1531309,0
20050927,20.0000,20.2700,19.6515,19.9200,1352977,0
20050928,19.8800,19.9300,19.6400,19.7300,1303161,0
20050929,19.6600,20.1100,19.5400,20.0200,2288260,0
20050930,19.8200,19.9900,19.5200,19.8100,2145968,0
20051003,20.4900,21.2500,20.2000,20.4100,2046610,0
20051004,20.4100,21.0200,20.4000,20.5900,1345631,0
20051005,20.6000,20.7700,19.9200,20.0900,1077401,0
20051006,19.9000,20.3000,19.6600,20.0400,735588,0
20051007,19.9200,20.4000,19.7200,20.1000,1092989,0
20051010,20.0000,20.5000,19.9000,20.3000,884634,0
20051011,20.2500,20.5800,19.9000,20.0500,892086,0
20051012,19.9200,20.2500,19.5400,19.6500,1240619,0
20051013,19.5200,19.9100,19.3000,19.7600,1243045,0
20051014,19.7600,19.7600,19.7600,19.7600,0,0
20051017,20.0800,20.5000,19.7500,20.4200,1201401,0
20051018,20.4700,20.5800,19.7000,19.8700,601468,0
20051019,19.8500,19.9890,19.4500,19.5900,934833,0
20051020,19.5200,19.7000,18.9800,19.5000,1176105,0
20051021,19.3600,19.9400,19.2100,19.5800,835095,0
20051024,19.5200,19.6200,18.8600,19.2700,1590195,0
20051025,19.0000,19.2400,18.7500,18.8300,982216,0
20051026,18.7500,19.0300,18.5100,18.7400,943149,0
20051027,19.0000,19.1000,18.7000,18.8300,1159478,0
20051028,18.8300,18.8900,18.5810,18.7800,1214540,0
20051031,18.7200,19.2300,18.4910,18.7900,1807516,0
20051101,18.6800,19.1900,18.6800,19.0400,1644294,0
20051102,18.9400,19.5400,18.8000,19.4000,1648716,0
20051103,20.8200,20.9700,20.1300,20.7100,4533644,0
20051104,23.4900,24.1200,22.2000,22.7300,8732279,0
20051107,22.6000,22.8700,22.0600,22.6300,1447209,0
20051108,22.5000,22.9000,21.9000,22.5900,1409407,0
20051109,22.5200,22.7900,22.0200,22.3400,1685862,0
20051110,22.1000,22.4600,21.9100,22.0000,1294278,0
20051111,21.9900,22.1200,21.3800,21.5000,1373729,0
20051114,21.5000,21.8200,21.1500,21.5600,1899697,0
20051115,21.4900,21.5900,21.0800,21.5100,1322961,0
20051116,21.6900,22.0800,21.3700,21.4100,1150616,0
20051117,21.4000,21.8700,21.1600,21.7000,2265225,0
20051118,21.6500,21.9100,21.5500,21.7000,1667891,0
20051121,21.6800,22.9000,21.6800,22.6000,4559644,0
20051122,22.7400,23.6900,22.4200,23.4000,3797393,0
20051123,23.1000,23.4000,22.5500,22.8000,2264679,0
20051125,23.0000,23.4200,22.9400,23.1400,386621,0
20051128,23.0600,23.4700,22.9200,23.1900,1290948,0
20051129,23.1300,24.2500,23.1000,23.6600,3903689,0
20051130,23.9700,24.9900,23.7400,24.7900,5543062,0
20051201,25.0000,25.0800,24.6300,24.8400,2897852,0
20051202,24.6300,24.9300,24.4000,24.9000,941687,0
20051205,24.9500,24.9700,24.1400,24.3800,2202699,0
20051206,24.6300,24.7900,24.2100,24.3100,1352851,0
20051207,24.2100,24.8000,24.2100,24.5800,1991894,0
20051208,24.5000,24.7700,24.2000,24.6200,1057013,0
20051209,24.5500,25.1200,24.3300,24.9000,1961957,0
20051212,25.1500,25.3000,24.6000,25.2000,1408825,0
20051213,25.2500,25.4255,24.7300,25.1200,1783038,0
20051214,25.2100,25.4800,24.8100,25.3600,1386174,0
20051215,25.3000,25.5800,25.0300,25.4300,1669624,0
20051216,25.6500,26.3200,24.9600,26.0900,16415810,0
20051219,25.6500,25.9400,24.8000,25.4200,4640026,0
20051220,25.4700,25.5600,24.4500,24.7600,2146606,0
20051221,24.6600,24.7600,24.1500,24.3200,2089299,0
20051222,24.4100,24.5600,23.6100,24.1800,2999976,0
20051223,24.2700,24.3900,23.7700,23.9600,997029,0
20051227,24.1000,24.2200,23.1500,23.7200,1100999,0
20051228,23.5600,24.0600,23.1000,23.9500,1893967,0
20051229,24.0000,24.2300,23.6800,23.8300,898898,0
20051230,23.6800,24.1900,23.4000,23.9600,1058110,0
20060103,24.0500,24.2000,23.4500,24.0000,2059331,0
20060104,24.1100,24.3000,23.5900,24.2500,2271147,0
20060105,24.3300,24.3490,23.8000,24.0000,1237631,0
20060106,24.2400,24.3400,23.6100,24.0100,3201003,0
20060109,24.0400,24.5100,23.8000,24.4200,2159482,0
20060110,24.7600,25.4000,24.5200,25.3100,3722210,0
20060111,25.2800,25.6500,25.0500,25.4400,1933868,0
20060112,25.2500,25.7000,25.0500,25.6300,1709399,0
20060113,25.5300,25.8000,25.3700,25.7200,1270151,0
20060117,25.8400,25.9900,25.7200,25.8800,2585673,0
20060118,25.7900,26.1300,25.6700,25.9600,2610356,0
20060119,25.9500,26.1100,25.6300,26.0300,874425,0
20060120,25.7300,26.0000,25.2100,25.3500,1523012,0
20060123,25.2700,25.7700,25.0000,25.6600,1268336,0
20060124,25.5800,25.8800,25.2500,25.4900,2358785,0
20060125,25.4200,25.5000,24.7000,25.3000,1178169,0
