DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.7891,6.8594,6.4297,6.5078,1956000,0
20010103,6.3828,6.6250,6.0625,6.5234,6037600,0
20010104,6.3750,6.4297,6.0625,6.0703,4516800,0
20010105,6.1016,6.2188,6.0469,6.1172,3923200,0
20010108,6.0938,6.1797,5.9297,6.1172,2714400,0
20010109,6.1094,6.2500,5.8750,5.9141,1833600,0
20010110,5.8828,6.1875,5.8750,6.0703,1575200,0
20010111,6.1250,6.3125,6.0703,6.2266,1767200,0
20010112,6.1797,6.5156,6.1172,6.1484,2284000,0
20010115,6.1484,6.1484,6.1484,6.1484,0,0
20010116,6.0234,6.0625,5.8750,6.0547,4436000,0
20010117,5.9063,6.3906,5.8984,6.0703,3507200,0
20010118,6.0859,6.4688,6.0000,6.3281,2098400,0
20010119,6.3281,6.3828,6.2031,6.3125,1616000,0
20010122,6.3125,6.3750,6.1094,6.1641,1376800,0
20010123,6.1719,6.4688,6.1641,6.4453,1777600,0
20010124,6.4609,6.5703,6.3125,6.3359,1256800,0
20010125,6.3281,6.6719,6.3281,6.5469,1176000,0
20010126,6.4844,6.5781,6.3906,6.4766,800800,0
20010129,6.4609,6.8281,6.4609,6.8047,1178400,0
20010130,6.7695,7.2344,6.7344,7.1172,3422400,0
20010131,7.1953,7.2656,6.9688,7.0703,984800,0
20010201,7.0313,7.1094,6.9531,7.1016,641600,0
20010202,7.0000,7.2500,7.0000,7.1797,707200,0
20010205,7.1484,7.3516,7.1484,7.2500,1616800,0
20010206,7.2578,7.3750,7.2031,7.2109,1155200,0
20010207,7.1719,7.3750,7.1094,7.2813,856000,0
20010208,7.2656,7.2891,7.0469,7.1250,822400,0
20010209,7.0859,7.4375,7.0234,7.2344,838400,0
20010212,7.2031,7.2422,7.0938,7.2344,797600,0
20010213,7.1563,7.4141,7.1563,7.2813,1538400,0
20010214,7.3828,7.4688,7.2969,7.3750,909600,0
20010215,7.3594,7.7813,7.3594,7.6484,1597600,0
20010216,7.5781,7.6328,7.4844,7.5000,1747200,0
20010219,7.5000,7.5000,7.5000,7.5000,0,0
20010220,7.4922,7.5117,7.2891,7.3047,1960800,0
20010221,7.2813,7.2813,7.1094,7.1172,1388000,0
20010222,7.1055,7.1094,6.9219,6.9922,1571200,0
20010223,6.9141,7.0156,6.9141,6.9609,1044800,0
20010226,6.9844,7.2422,6.9375,7.2422,1475200,0
20010227,7.1406,7.3750,7.1406,7.3594,1252000,0
20010228,7.3672,7.5469,7.2891,7.5000,7052000,0
20010301,7.3438,7.5703,7.3203,7.5156,5358400,0
20010302,7.4414,7.5859,7.4414,7.5156,4276800,0
20010305,7.1641,7.4609,7.1250,7.4453,13701600,0
20010306,7.3906,7.5625,7.3203,7.5234,6471200,0
20010307,7.5156,7.8906,7.5078,7.7969,6013600,0
20010308,7.7344,7.8281,7.7344,7.8047,6924000,0
20010309,7.7188,7.7617,7.5781,7.6641,3189600,0
20010312,7.6055,7.6094,7.4531,7.5156,4770400,0
20010313,7.4531,7.7656,7.4453,7.6211,7963200,0
20010314,7.4531,7.6953,7.3906,7.6094,4460000,0
20010315,7.7188,7.9141,7.5703,7.8047,7017600,0
20010316,7.7500,8.0078,7.6641,7.7031,6592000,0
20010319,7.7031,7.7031,7.2734,7.4336,9504800,0
20010320,7.5000,7.5625,7.1016,7.1016,6164000,0
20010321,7.1016,7.1406,6.7813,6.8672,7832000,0
20010322,6.8281,7.0664,6.6094,6.6641,7759200,0
20010323,6.7188,6.9063,6.7188,6.7656,3064000,0
20010326,6.7617,7.0000,6.7617,6.9961,3247200,0
20010327,6.9887,7.0313,6.8750,6.9375,3726400,0
20010328,6.8750,6.9450,6.8125,6.8913,3488800,0
20010329,6.8750,7.0625,6.8750,7.0475,2203200,0
20010330,7.0425,7.0425,6.7975,6.8125,3256000,0
20010402,6.9063,6.9225,6.8513,6.8675,3737600,0
20010403,6.7500,6.7813,6.5163,6.5388,6979200,0
20010404,6.2500,6.5700,6.1250,6.3438,22249600,0
20010405,6.3750,6.7188,6.3750,6.6175,6744800,0
20010406,6.5700,6.6413,6.5000,6.5788,2922400,0
20010409,6.5375,6.6937,6.3812,6.4012,3384000,0
20010410,6.4500,6.8187,6.4500,6.7013,2712800,0
20010411,6.7013,6.9763,6.7013,6.9063,5068800,0
20010412,6.8450,6.9538,6.8125,6.8913,2076000,0
20010416,6.8750,7.0000,6.8750,7.0000,1869600,0
20010417,6.9100,7.0075,6.8750,6.9275,2633600,0
20010418,6.9475,7.7500,6.9462,7.7150,7084000,0
20010419,7.6200,8.2075,7.5575,8.0425,6790400,0
20010420,7.9063,8.0063,7.7312,7.9738,4504000,0
20010423,7.7913,7.8250,7.7312,7.7463,3310400,0
20010424,7.7537,7.8500,7.6588,7.6588,2947200,0
20010425,7.6613,7.8438,7.6588,7.6850,1797600,0
20010426,7.7188,8.0000,7.6875,7.9462,2435200,0
20010427,7.9525,8.2500,7.9525,8.0313,2357600,0
20010430,8.0413,8.1375,8.0337,8.1062,3848000,0
20010501,8.1000,8.3938,7.9875,8.3737,2729600,0
20010502,8.3050,8.3625,8.1250,8.1812,7250400,0
20010503,8.0363,8.0363,7.6813,7.7587,7480000,0
20010504,7.7488,7.9862,7.4500,7.9500,2884000,0
20010507,7.9275,7.9338,7.6725,7.8288,1497600,0
20010508,7.8000,7.8750,7.6312,7.6312,1544000,0
20010509,7.6200,7.7500,7.6137,7.7125,1307200,0
20010510,7.6650,7.9113,7.6650,7.7750,1372800,0
20010511,7.7825,7.8750,7.6250,7.7038,1080800,0
20010514,7.7063,7.7063,7.5750,7.6062,2134400,0
20010515,7.6062,7.7688,7.5650,7.6062,3408800,0
20010516,7.6013,7.8387,7.4763,7.6512,4162400,0
20010517,7.6262,8.2250,7.6262,8.2250,5180800,0
20010518,8.1275,8.2275,8.0825,8.2113,2305600,0
20010521,8.2725,8.9637,8.2725,8.8350,5302400,0
20010522,8.7937,9.1187,8.7937,8.9275,4269600,0
