DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.44,31.75,30.63,30.69,4156,0
20010103,30.69,31.56,29.94,29.94,36073,0
20010104,29.88,29.94,27.56,28.31,11553,0
20010105,28.38,29.31,28.00,28.13,14409,0
20010108,27.88,28.50,27.88,28.13,5362,0
20010109,28.13,28.25,27.69,27.94,3191,0
20010110,27.38,28.06,27.38,27.69,34036,0
20010111,27.69,27.69,26.13,26.25,8391,0
20010112,26.00,26.88,25.75,26.88,6760,0
20010115,26.88,26.88,26.88,26.88,0,0
20010116,26.31,26.50,25.19,26.25,0,0
20010117,26.25,26.44,25.69,25.81,8206,0
20010118,26.06,27.19,25.88,27.00,7829,0
20010119,27.06,27.75,26.50,27.63,11064,0
20010122,27.63,27.63,27.63,27.63,0,0
20010123,28.25,29.25,28.19,28.50,10629,0
20010124,28.19,28.56,27.63,28.06,118817,0
20010125,28.06,28.38,27.50,28.00,7606,0
20010126,28.25,28.25,27.06,27.81,0,0
20010129,28.30,29.25,28.25,28.59,0,0
20010130,30.66,30.66,28.00,28.34,0,0
20010131,28.12,28.12,27.30,27.85,435400,0
20010201,27.85,28.00,27.53,27.94,7302500,0
20010202,28.20,28.45,27.71,27.79,42371500,0
20010205,27.66,28.00,27.50,27.80,906600,0
20010206,27.80,27.80,27.38,27.38,742700,0
20010207,27.30,27.60,27.24,27.30,0,0
20010208,27.69,28.09,27.40,28.00,1110600,0
20010209,27.85,28.14,27.85,28.00,1162500,0
20010212,28.44,28.95,27.86,28.10,0,0
20010213,28.10,28.51,27.85,27.96,1239700,0
20010214,28.00,28.20,27.80,27.93,1562300,0
20010215,27.73,27.90,27.52,27.70,190000,0
20010216,28.00,28.30,27.87,28.00,0,0
20010219,28.00,28.00,28.00,28.00,0,0
20010220,28.25,28.34,27.75,27.81,388100,0
20010221,27.80,28.79,27.80,28.03,549200,0
20010222,28.00,28.38,27.81,28.01,596700,0
20010223,28.25,28.31,27.01,27.47,409200,0
20010226,28.15,28.26,27.58,27.83,456300,0
20010227,27.83,28.50,27.72,27.98,455000,0
20010228,28.23,28.30,27.75,28.17,527400,0
20010301,28.18,28.33,27.86,27.96,812200,0
20010302,28.40,28.40,27.60,27.85,688900,0
20010305,27.85,28.18,27.70,27.99,538800,0
20010306,28.24,28.24,27.51,27.63,5348500,0
20010307,27.49,28.32,27.49,28.05,3535400,0
20010308,28.26,28.40,27.91,28.17,525800,0
20010309,28.10,28.10,27.61,27.95,2304000,0
20010312,28.19,28.19,27.75,27.80,488000,0
20010313,27.80,27.98,27.43,27.62,447800,0
20010314,27.21,27.35,26.60,27.04,673400,0
20010315,27.00,27.50,26.90,27.41,1213200,0
20010316,26.50,27.41,26.50,27.12,717500,0
20010319,27.20,27.41,26.64,26.86,3446900,0
20010320,26.90,27.20,26.45,26.74,10482600,0
20010321,26.49,27.60,26.47,26.76,790300,0
20010322,27.00,27.19,25.34,25.89,1132400,0
20010323,25.66,26.15,25.10,26.00,794700,0
20010326,26.00,27.06,25.87,26.91,470100,0
20010327,27.06,27.45,27.06,27.29,442500,0
20010328,27.31,27.54,26.46,27.19,2486400,0
20010329,27.20,27.65,26.63,27.51,506300,0
20010330,27.60,28.00,27.36,27.92,542800,0
20010402,28.27,28.34,27.59,27.99,1158900,0
20010403,28.00,28.22,27.11,27.99,677000,0
20010404,28.00,28.29,27.75,27.80,1077400,0
20010405,27.80,28.15,27.33,28.00,669200,0
20010406,27.75,27.99,26.80,27.40,443200,0
20010409,27.51,28.27,27.28,27.85,612900,0
20010410,28.00,29.15,28.00,28.50,828500,0
20010411,28.25,28.25,27.50,27.89,742400,0
20010412,27.99,28.24,27.68,27.99,765700,0
20010416,27.74,28.59,27.74,28.46,384200,0
20010417,28.26,29.40,28.26,28.80,902000,0
20010418,29.00,29.15,27.90,28.38,1068400,0
20010419,28.50,28.70,27.75,28.53,930200,0
20010420,28.80,28.91,27.80,28.07,1027900,0
20010423,28.40,28.88,28.25,28.61,615000,0
20010424,28.72,29.70,28.72,29.43,1762000,0
20010425,29.85,29.87,29.32,29.55,1371900,0
20010426,29.56,29.68,27.50,29.51,10715200,0
20010427,29.75,30.01,29.50,30.01,934800,0
20010430,30.05,30.65,30.00,30.30,984000,0
20010501,30.10,30.60,29.90,30.15,986400,0
20010502,30.10,30.14,29.80,30.00,3177200,0
20010503,29.60,29.85,29.10,29.46,686100,0
20010504,29.29,29.98,29.28,29.96,2268200,0
20010507,30.05,30.06,29.56,29.79,506900,0
20010508,29.70,29.70,29.15,29.38,605700,0
20010509,29.14,29.45,29.01,29.26,796400,0
20010510,29.40,29.50,29.11,29.31,486400,0
20010511,29.20,29.80,29.20,29.72,287500,0
