DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.7188,5.7813,4.7188,5.1250,4994800,0
20010103,5.0000,7.1250,4.9375,6.4063,4581600,0
20010104,6.2500,7.3750,6.1250,7.3750,2725000,0
20010105,7.0625,7.1250,5.7813,5.8438,2135400,0
20010108,5.7188,5.7500,5.2813,5.4063,1047000,0
20010109,5.5938,5.9063,5.4375,5.6250,1744400,0
20010110,5.5313,5.6250,5.2813,5.5313,1329600,0
20010111,5.3438,6.3750,5.3438,5.9688,3140800,0
20010112,6.1250,6.3125,5.6250,6.0313,1828800,0
20010115,6.0313,6.0313,6.0313,6.0313,0,0
20010116,5.9688,6.4063,5.7500,6.0313,1012600,0
20010117,6.6250,7.1875,6.3438,6.4375,2762800,0
20010118,6.6250,6.6250,6.3125,6.5000,1313000,0
20010119,6.7500,6.8438,6.0313,6.0625,1448200,0
20010122,6.1250,6.3125,5.8125,6.1250,790000,0
20010123,6.1250,6.4375,6.0313,6.2813,1221200,0
20010124,6.4375,7.0000,6.4063,6.7813,2366400,0
20010125,6.8750,8.5000,6.5625,8.3438,6335400,0
20010126,7.8750,8.2500,7.5313,7.7500,2141000,0
20010129,7.8438,8.0313,7.5313,7.7813,1329800,0
20010130,8.2188,8.3125,7.8125,7.8125,2101400,0
20010131,7.8125,8.9063,7.7813,8.5000,2796400,0
20010201,8.1250,8.4375,7.7500,7.8125,763200,0
20010202,7.7813,7.8750,7.0000,7.0313,925600,0
20010205,7.0000,7.0000,6.3125,6.8125,985400,0
20010206,6.7500,7.3281,6.5313,6.9375,564800,0
20010207,6.7344,6.8438,6.1875,6.5313,806600,0
20010208,6.5000,6.9375,6.2500,6.4063,409000,0
20010209,6.3438,6.5000,5.7500,6.2188,657400,0
20010212,6.0625,6.1250,5.6875,6.0000,704200,0
20010213,6.0000,6.3125,5.4063,5.5625,714000,0
20010214,5.2500,5.6250,5.1250,5.4375,981400,0
20010215,5.7500,5.8750,5.5313,5.6563,669800,0
20010216,5.3125,5.4375,4.9531,5.2188,1012400,0
20010219,5.2188,5.2188,5.2188,5.2188,0,0
20010220,5.3125,5.3125,4.6875,4.8125,641600,0
20010221,4.7344,4.8438,4.1875,4.4375,1194400,0
20010222,4.2813,4.4375,4.0000,4.0938,1261600,0
20010223,4.0625,4.1875,3.8281,4.1250,1034000,0
20010226,4.1719,4.3125,4.0000,4.1875,726400,0
20010227,4.2031,4.2500,3.8750,3.8906,874200,0
20010228,3.8281,4.0469,3.3438,3.4844,946200,0
20010301,3.3125,3.9063,3.1250,3.8750,835200,0
20010302,3.8125,4.0938,3.5000,3.8125,1253000,0
20010305,3.6875,3.7500,3.3125,3.4063,761000,0
20010306,3.5625,3.8750,3.5625,3.8594,1087000,0
20010307,3.9063,4.0000,3.6875,3.7813,330400,0
20010308,3.8438,3.9219,3.5000,3.5156,348600,0
20010309,3.4219,3.4219,3.2500,3.2500,454600,0
20010312,3.0625,3.1875,2.8438,2.8438,667800,0
20010313,2.9375,3.0625,2.7500,3.0000,729200,0
20010314,2.9531,3.1406,2.7813,2.9531,648400,0
20010315,2.9375,3.0313,2.7500,2.7813,546600,0
20010316,2.8125,3.0313,2.5000,2.5156,592600,0
20010319,2.5938,3.4063,2.5000,3.2500,1107800,0
20010320,3.4219,3.8125,3.0469,3.3750,1989600,0
20010321,3.2344,3.7188,3.1250,3.2344,858800,0
20010322,3.3438,3.5000,3.0313,3.3594,727800,0
20010323,3.9844,3.9844,3.5313,3.7188,653000,0
20010326,3.7500,3.8750,3.2813,3.2813,888600,0
20010327,3.2650,3.3450,3.1550,3.2050,590400,0
20010328,3.2350,3.3150,2.8750,2.9050,421800,0
20010329,2.6900,2.9050,2.6250,2.7500,444400,0
20010330,2.7350,3.0000,2.6250,2.6700,475800,0
20010402,2.8450,2.8450,2.6250,2.6700,387200,0
20010403,2.5650,2.5950,2.1900,2.2500,761800,0
20010404,2.1250,2.2200,1.8750,1.8750,759200,0
20010405,2.1100,2.2650,1.9050,2.1700,822000,0
20010406,2.2350,2.3450,1.9400,2.2800,817200,0
20010409,2.2800,2.3050,2.2500,2.2900,344200,0
20010410,2.2600,2.4700,2.2300,2.2700,541800,0
20010411,2.5000,2.7250,2.3750,2.4850,544200,0
20010412,2.5000,2.7200,2.3750,2.6500,435800,0
20010416,2.6300,2.9000,2.5100,2.8800,437200,0
20010417,2.6000,2.8500,2.5000,2.7500,466800,0
20010418,3.0800,3.2500,3.0000,3.0600,721200,0
20010419,3.2350,4.3500,3.2200,4.2750,1451200,0
20010420,4.5800,4.5850,3.7300,4.0500,1890200,0
20010423,3.9500,3.9500,3.3000,3.5750,1397400,0
20010424,3.4750,3.8500,3.4200,3.6000,503800,0
20010425,3.5850,3.6900,3.4650,3.5000,446400,0
20010426,3.9500,3.9750,3.5950,3.5950,338800,0
20010427,3.4700,3.5950,3.4000,3.5000,337600,0
20010430,3.9450,3.9500,3.6850,3.7450,552800,0
20010501,3.6050,3.7750,3.5750,3.7750,318200,0
20010502,3.9350,4.5850,3.8500,4.5750,1752800,0
20010503,4.4000,5.7000,4.0550,5.4650,2912200,0
20010504,5.3850,6.2500,5.1000,5.9500,2661800,0
20010507,6.1550,6.3000,5.9000,5.9700,1226200,0
20010508,6.0300,6.1450,5.3800,5.5500,890600,0
20010509,5.4550,6.0200,5.4300,5.9950,816800,0
20010510,6.0450,6.4250,5.9900,6.0300,773400,0
20010511,5.9750,6.0650,5.5450,5.7250,366000,0
20010514,5.6250,5.6250,5.1250,5.1250,560200,0
20010515,5.1800,5.4750,4.9500,5.3100,434000,0
20010516,5.2750,5.7500,5.2600,5.6950,443400,0
20010517,5.7300,5.8750,5.5150,5.6150,439800,0
20010518,5.5500,5.9000,5.5000,5.5800,383200,0
20010521,5.5000,6.1400,5.5000,6.0800,705400,0
20010522,6.2650,7.1000,6.1500,6.9950,1901200,0
20010523,6.9900,6.9950,6.5050,6.6500,76000000,0
20010524,6.7100,6.9300,6.0350,6.7050,542200,0
20010525,6.8400,6.9000,6.6150,6.6550,258200,0
20010528,6.6550,6.6550,6.6550,6.6550,0,0
20010529,6.6100,6.6550,6.3250,6.3600,655800,0
20010530,6.1000,6.1000,5.1250,5.1950,944800,0
20010531,5.3200,5.7350,5.2650,5.6150,633200,0
20010601,5.5450,5.9000,5.2000,5.6550,463800,0
20010604,5.6600,5.8000,5.2500,5.2800,414400,0
20010605,5.3300,5.9150,5.3000,5.7700,398600,0
20010606,5.9200,6.2150,5.7650,5.8450,422400,0
20010607,5.8350,6.0100,5.5250,5.7450,268400,0
20010608,5.7400,5.7450,5.3000,5.3950,424200,0
20010611,5.3750,6.0050,5.1500,5.9000,435600,0
20010612,6.2450,7.1250,6.2400,7.0250,4617000,0
20010613,7.1200,7.6000,6.5050,7.0400,3724600,0
20010614,6.9650,7.3350,6.5650,7.1000,1944000,0
20010615,7.0800,7.5500,6.8300,7.5050,1561400,0
20010618,7.5000,8.3700,7.5000,7.5550,2301000,0
20010619,8.0000,8.0000,6.7000,6.7750,1540600,0
20010620,6.7050,7.5750,6.7050,7.5500,970200,0
20010621,7.7450,7.9250,7.2500,7.5400,1161200,0
20010622,7.5600,7.6350,7.0000,7.0200,530200,0
20010625,7.0250,7.7450,7.0250,7.7450,1071000,0
20010626,7.5450,8.5250,7.5450,8.5200,2515400,0
20010627,8.6450,9.1100,8.6450,8.8450,3236000,0
20010628,9.5250,9.6000,8.4750,9.1500,6957600,0
20010629,9.0250,9.2000,8.5000,9.0000,1910000,0
20010702,9.0750,9.2500,8.6100,8.8800,1230800,0
20010703,8.8050,9.1000,8.8000,8.9700,313200,0
20010704,8.9700,8.9700,8.9700,8.9700,0,0
20010705,8.8750,9.0900,8.7650,8.7700,50000000,0
20010706,8.5350,8.9450,8.3100,8.4500,798000,0
20010709,8.3750,8.7450,8.0100,8.6500,726600,0
20010710,8.6850,8.9750,8.4000,8.4700,978800,0
20010711,8.4700,8.4750,7.2550,7.5050,2488200,0
20010712,7.8500,8.2400,7.7650,8.0500,1926200,0
20010713,7.9850,8.3500,7.8100,8.1250,531400,0
20010716,8.0000,8.1000,7.5450,7.6600,1070600,0
20010717,7.5750,7.7000,7.2550,7.6350,1235400,0
20010718,7.6300,7.6350,7.2500,7.2750,952200,0
20010719,7.4450,7.9750,7.1600,7.3950,2209800,0
20010720,7.2500,7.3150,7.0400,7.1500,1187200,0
20010723,7.3500,7.5800,7.2500,7.3600,1554400,0
20010724,7.2700,7.4250,6.3900,6.9100,2222000,0
20010725,6.8250,6.8500,6.4000,6.5500,2459400,0
20010726,6.4000,7.7600,6.3900,7.6600,3196000,0
20010727,7.7350,7.9000,7.3250,7.7500,1482800,0
20010730,7.4950,7.6000,7.3750,7.3800,1113800,0
20010731,7.4050,7.7000,7.0750,7.3100,1329400,0
20010801,7.3300,7.5000,7.0450,7.1500,418800,0
20010802,7.0350,7.3000,6.7400,6.9050,498400,0
20010803,6.9250,7.2200,6.5350,7.1350,439400,0
20010806,6.8950,7.0500,6.8900,6.9300,203600,0
20010807,6.9650,7.1950,6.7750,6.9450,315400,0
20010808,6.7850,6.9400,6.4250,6.5250,455200,0
20010809,6.3750,6.4850,6.2500,6.2550,359800,0
20010810,6.1750,6.1750,5.7750,5.9450,702200,0
20010813,5.7500,6.3950,5.6750,6.3650,242000,0
20010814,6.2750,6.4400,5.7750,6.1000,256600,0
20010815,6.0100,6.8750,6.0000,6.7500,1395400,0
20010816,6.6000,6.6000,6.4000,6.5700,701600,0
20010817,6.5250,7.3500,6.5000,7.2950,1636400,0
20010820,7.3000,7.3500,7.0305,7.2250,1210600,0
20010821,7.0950,7.4200,7.0950,7.3250,850800,0
20010822,7.2900,7.7500,7.0350,7.7450,898400,0
20010823,7.7250,7.9250,7.5000,7.8900,932200,0
20010824,7.6950,8.5250,7.6750,8.3800,1041800,0
20010827,8.4100,8.7500,8.1250,8.6050,771000,0
20010828,8.4300,8.5485,7.6500,7.7000,1743800,0
20010829,7.7500,7.7500,7.1400,7.4100,874600,0
20010830,7.1850,7.5600,7.0000,7.5000,624200,0
20010831,7.2300,7.9100,7.2100,7.9100,561000,0
20010903,7.9100,7.9100,7.9100,7.9100,0,0
20010904,7.7750,7.8750,7.0100,7.0550,630600,0
20010905,7.1250,7.2100,6.3000,6.6800,984800,0
20010906,6.6450,6.6750,6.3000,6.5000,431000,0
20010907,6.3550,7.7450,6.3300,7.2500,2028800,0
20010910,7.2850,7.3750,6.9300,6.9700,990800,0
20010911,6.9700,6.9700,6.9700,6.9700,0,0
20010917,6.5700,7.5000,6.2500,6.7500,667400,0
20010918,6.6500,7.0750,6.2750,6.4500,607600,0
20010919,6.3750,6.6400,5.2750,6.1850,961600,0
20010920,5.7200,6.1150,5.6800,5.7200,355200,0
20010921,5.5750,5.8050,5.2450,5.6750,671800,0
20010924,5.6550,6.5450,5.6250,6.4950,906400,0
20010925,6.6475,6.6500,5.7800,6.0500,611200,0
20010926,6.0500,6.1250,5.1400,5.2000,680200,0
20010927,5.0250,5.0250,4.2550,4.4550,2120200,0
20010928,4.5950,4.7050,4.3000,4.6400,1174400,0
20011001,4.5050,4.5050,3.5000,3.6300,1723200,0
20011002,3.5950,4.3650,3.5150,4.2650,1520400,0
20011003,4.1250,4.8700,4.0050,4.6450,978000,0
20011004,4.7650,5.7350,4.7500,5.4950,1438600,0
20011005,5.3400,5.3400,4.7600,5.2950,1128600,0
20011008,5.0100,5.6200,4.9100,5.4400,1065800,0
20011009,4.9800,6.3650,4.8500,6.0750,3218800,0
20011010,5.9000,6.6200,5.9000,6.4100,1251000,0
20011011,6.5300,7.6000,6.5300,7.3700,2575000,0
20011012,7.3000,7.9550,7.1650,7.8750,1380800,0
20011015,7.5300,7.9950,7.4550,7.8750,772800,0
20011016,7.8750,8.2750,7.8750,8.0050,2974800,0
20011017,8.0500,8.1000,7.3450,7.3600,2134200,0
20011018,7.2800,7.6150,7.2000,7.3350,54000000,0
20011019,7.1800,7.7250,7.1500,7.7150,1512000,0
20011022,7.6350,7.8700,7.3900,7.7000,879600,0
20011023,7.6050,7.7750,7.4400,7.5200,273400,0
20011024,7.4950,7.8750,7.4950,7.5600,321800,0
20011025,7.4950,8.0000,7.2050,7.9450,593200,0
20011026,7.7000,8.7400,7.6000,8.3000,1914800,0
20011029,8.4050,8.5000,7.5950,7.5950,563200,0
20011030,7.3250,7.8150,6.8750,7.3750,1046600,0
20011031,7.4100,7.7650,7.3150,7.5450,833000,0
20011101,7.5350,8.3900,7.5250,8.3750,1341600,0
20011102,8.3250,8.5000,8.1750,8.4550,743400,0
20011105,8.4950,9.0550,8.4200,8.9900,1472000,0
20011106,8.8450,9.9745,8.7350,9.9745,3130600,0
20011107,9.7200,11.1500,9.4500,10.6300,5198400,0
20011108,10.5300,11.4700,9.1900,9.3400,6372000,0
20011109,9.2600,9.6200,8.8500,9.5950,1349200,0
20011112,9.6000,10.3350,9.0000,10.2100,995000,0
20011113,10.5250,11.4350,10.5000,11.0050,3181400,0
20011114,11.1200,11.6450,11.0200,11.5700,2173000,0
20011115,11.2550,11.5000,10.3750,10.6350,2501200,0
20011116,10.5250,11.1100,10.5100,10.7550,782200,0
20011119,10.8750,11.6900,10.7800,11.6850,1123400,0
20011120,11.5000,11.9150,11.2350,11.2850,1179400,0
20011121,11.1550,11.3400,10.8000,11.0100,623400,0
20011122,11.0100,11.0100,11.0100,11.0100,0,0
20011123,11.0150,11.3750,10.9550,11.3600,199800,0
20011126,11.3900,11.8700,11.3450,11.7800,536400,0
20011127,11.6300,12.1450,11.4050,11.8050,1021600,0
20011128,11.6700,12.1700,10.8550,10.9600,1078200,0
20011129,11.0250,11.5950,10.8000,11.5900,1248600,0
20011130,11.4750,11.6500,11.0450,11.1650,953000,0
20011203,10.8750,11.0700,10.5450,11.0700,912000,0
20011204,11.0400,12.1050,11.0200,12.0500,1146400,0
20011205,12.1550,12.6750,12.1550,12.5500,2246600,0
20011206,12.5000,12.6500,12.2650,12.5500,994800,0
20011207,12.3750,12.7950,12.2400,12.7250,1191400,0
20011210,12.3000,13.2400,12.3000,12.5750,1867000,0
20011211,13.0000,14.4500,12.8750,13.7250,5121800,0
20011212,13.8850,13.8850,12.5950,12.7650,5105400,0
20011213,12.6000,14.4700,12.4700,13.3000,4472400,0
20011214,13.0150,13.6450,12.0900,12.5700,2540600,0
20011217,12.5000,13.6000,12.3600,12.7725,1505400,0
20011218,12.9350,13.4295,11.8650,12.0000,2725200,0
20011219,11.8450,11.8450,10.7100,10.9800,3932800,0
20011220,10.7750,11.0950,9.9300,10.1600,4646800,0
20011221,10.3200,10.7450,10.0000,10.6550,3388800,0
20011224,10.5800,10.7400,10.3950,10.5100,458800,0
20011226,10.5000,11.0450,10.3000,10.8500,927800,0
20011227,10.8450,11.0850,10.5500,10.6000,1323800,0
20011228,10.7500,10.9550,10.5850,10.8850,1588600,0
20011231,10.8350,11.0845,10.5100,10.7700,1328200,0
20020102,10.6450,10.7500,9.9300,10.6450,1644400,0
20020103,10.6175,12.1200,10.5500,12.0400,2609000,0
20020104,12.1200,12.7750,12.1050,12.3000,2152000,0
20020107,12.3050,12.6650,11.2800,11.3950,2026800,0
20020108,11.2500,11.2500,9.9300,10.4900,3983400,0
20020109,10.5225,10.6400,9.4000,9.5550,9611400,0
20020110,9.5650,9.7900,9.1250,9.3250,3373600,0
20020111,9.3700,9.7650,9.1350,9.1350,1712200,0
20020114,9.0550,9.5300,8.8600,9.4150,2541600,0
20020115,9.4250,9.8650,9.4200,9.8350,2333600,0
20020116,9.6750,10.3000,9.0750,9.9200,3419600,0
20020117,10.1050,10.8250,10.1050,10.7200,3690400,0
20020118,10.4200,10.8000,9.6800,9.7600,2018000,0
20020121,9.7600,9.7600,9.7600,9.7600,0,0
20020122,10.0245,10.1250,9.2150,9.5650,1314600,0
20020123,9.5650,9.8350,9.0500,9.5100,1663200,0
20020124,9.1150,9.6250,8.8900,9.1300,7926200,0
20020125,9.1250,9.8750,8.9250,9.8050,2485600,0
20020128,9.8050,10.4450,9.8000,10.2900,2453400,0
20020129,10.2850,10.9450,10.2300,10.8150,3262800,0
20020130,10.8000,11.0850,10.0950,11.0850,2250400,0
20020131,11.1000,11.9250,11.0950,11.6900,3326400,0
20020201,11.5500,11.7500,10.8550,10.9000,1780400,0
20020204,10.7500,10.8300,10.3255,10.3650,1123600,0
20020205,10.2300,10.3100,9.5750,9.7500,2060200,0
20020206,9.9150,10.0000,9.2050,9.5650,1355000,0
20020207,9.5650,10.6250,9.4250,10.4650,2981800,0
20020208,10.5050,10.8645,9.4450,10.1150,3677400,0
20020211,10.1000,10.4400,9.8100,10.2950,917000,0
20020212,10.3750,11.7850,10.2750,11.5800,4292200,0
20020213,11.4850,11.8400,11.0900,11.7350,2044800,0
20020214,11.8050,12.1750,11.3800,11.3850,3161800,0
20020215,11.3750,11.7000,11.1600,11.5750,1269000,0
20020218,11.5750,11.5750,11.5750,11.5750,0,0
20020219,11.3500,11.3550,10.2450,10.2700,2537400,0
20020220,10.3550,10.9150,9.9500,10.9150,3015000,0
20020221,10.8250,11.9700,10.7750,11.4300,6449200,0
20020222,11.5250,11.5500,10.9050,11.3300,2490800,0
20020225,11.4250,11.7850,11.2550,11.5150,1931600,0
20020226,11.5600,12.4705,11.0800,12.3600,3442200,0
20020227,12.5000,12.9000,12.2500,12.2850,5913800,0
20020228,12.3350,12.3350,10.8750,10.9250,4079200,0
20020301,11.0700,11.6250,10.3650,10.7250,4934400,0
20020304,10.7400,12.0550,10.5200,12.0400,3278800,0
20020305,11.9500,12.4500,11.6100,12.0000,3015400,0
20020306,11.9950,12.1150,11.0000,11.1165,3507200,0
20020307,11.2850,11.5000,10.6000,10.7750,2295000,0
20020308,11.1000,11.5400,10.9500,11.3750,2864600,0
20020311,11.3750,12.9150,11.2950,12.7250,4037600,0
20020312,11.8950,13.0500,11.7550,12.6250,6837400,0
20020313,12.3400,13.6150,12.3350,12.7600,5532600,0
20020314,12.9050,13.3300,12.4500,12.5650,2840800,0
20020315,12.3750,12.8650,12.2250,12.6500,1712600,0
20020318,12.7950,13.2000,12.7250,13.1050,1577200,0
20020319,13.1400,13.3750,12.7500,12.9000,2986800,0
20020320,12.8400,12.8450,11.7750,11.9750,3916200,0
20020321,12.0800,13.1900,12.0500,13.0500,4698000,0
20020322,13.0850,13.6150,12.8400,13.0350,3170600,0
20020325,13.1000,13.2950,12.5000,12.5200,2478600,0
20020326,12.3700,12.8750,11.8945,12.0300,3560400,0
20020327,11.9950,12.3350,11.7600,11.8500,1797200,0
20020328,12.1550,12.1900,11.3200,11.6200,2629000,0
20020401,11.4300,11.9300,10.9150,11.4600,2691800,0
20020402,11.0250,11.3700,10.4500,10.4500,2607200,0
20020403,10.6400,11.0000,10.3550,10.7550,2523000,0
20020404,10.5500,10.5550,8.2800,8.5750,13474400,0
20020405,9.0000,9.5250,8.0250,8.4200,14747200,0
20020408,7.9100,8.4750,7.4780,8.2300,4693200,0
20020409,8.2750,8.4700,7.8005,8.0350,2656000,0
20020410,8.1000,8.2900,7.5450,7.8945,2216000,0
20020411,7.8150,7.8150,7.1700,7.4800,2397400,0
20020412,7.6050,7.6900,7.0250,7.3850,3205600,0
20020415,7.4900,7.7750,7.1250,7.5000,1451400,0
20020416,7.6300,7.8650,7.4650,7.7200,2834600,0
20020417,7.6725,7.9100,7.2550,7.4155,2043800,0
20020418,7.3300,7.4350,7.0600,7.3200,1036600,0
