DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20060201,22.68,22.68,21.46,21.58,1376800,0
20060202,21.58,21.58,21.35,21.41,400500,0
20060203,20.94,21.53,20.94,21.29,1227000,0
20060206,21.04,21.33,20.98,21.14,745500,0
20060207,20.82,21.06,20.62,20.71,792200,0
20060208,20.71,20.85,20.30,20.53,3088000,0
20060209,20.41,20.85,20.22,20.28,988200,0
20060210,20.50,20.54,20.31,20.34,421900,0
20060213,20.91,20.91,20.30,20.36,1051200,0
20060214,20.40,20.48,20.20,20.37,662400,0
20060215,20.44,20.45,19.81,19.99,1133300,0
20060216,20.63,21.85,20.63,21.55,2825000,0
20060217,21.56,21.74,21.42,21.44,1017400,0
20060221,21.55,21.58,21.10,21.17,779500,0
20060222,21.17,21.34,21.10,21.26,366500,0
20060223,21.20,21.28,21.15,21.18,342600,0
20060224,21.09,21.17,21.06,21.10,312500,0
20060227,21.09,21.48,21.09,21.37,1134500,0
20060228,21.43,21.84,21.43,21.67,2565300,0
20060301,21.70,21.87,21.62,21.86,572800,0
20060302,21.78,22.13,21.69,22.04,637000,0
20060303,21.97,22.15,21.92,21.95,385300,0
20060306,21.92,22.05,21.67,22.05,536000,0
20060307,21.97,22.05,21.79,21.86,552500,0
20060308,21.85,21.86,21.54,21.69,772800,0
20060309,21.72,21.80,21.57,21.71,785900,0
20060310,21.73,21.75,21.53,21.75,471800,0
20060313,21.75,21.75,21.75,21.75,0,0
20060314,21.78,21.85,21.50,21.75,300700,0
20060315,21.73,21.85,21.62,21.84,515500,0
20060316,21.81,21.81,21.68,21.73,598800,0
20060317,21.84,22.09,21.64,21.92,626600,0
20060320,21.90,22.03,21.70,21.97,428900,0
20060321,22.03,22.11,21.62,21.87,641000,0
20060322,21.81,22.04,21.78,21.91,408400,0
20060323,21.95,21.95,21.75,21.84,454900,0
20060324,21.86,21.93,21.78,21.90,520400,0
20060327,21.83,21.87,21.59,21.86,672500,0
20060328,21.94,22.32,21.90,22.19,2241800,0
