DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.9479,15.9584,14.5417,14.7917,3075000,0
20010103,14.6354,16.6042,14.5834,15.6250,45231000,0
20010104,15.2084,16.1250,15.1250,15.5000,2835000,0
20010105,15.4167,15.6459,15.1667,15.3334,32757000,0
20010108,15.4792,16.3750,15.3334,16.2813,2503800,0
20010109,16.3125,16.9792,16.2500,16.6459,2973000,0
20010110,16.3750,16.8750,15.5000,16.7709,2752800,0
20010111,16.7084,16.9167,16.1667,16.3334,18531000,0
20010112,16.2709,16.4792,15.5834,15.9167,34785000,0
20010115,15.9167,15.9167,15.9167,15.9167,0,0
20010116,15.6667,15.8334,15.2709,15.3959,2018400,0
20010117,15.5521,16.0834,15.5000,16.0000,3893400,0
20010118,15.9792,16.4167,15.4167,16.3125,2479200,0
20010119,16.4584,16.4584,15.2917,15.5417,32211000,0
20010122,15.4584,15.7500,15.0000,15.5417,39519000,0
20010123,15.3542,17.4584,15.2917,17.3959,57861000,0
20010124,17.0834,17.4792,16.5834,17.3334,4591200,0
20010125,17.0417,17.6250,16.7917,16.8542,17241000,0
20010126,16.7709,17.6042,16.7500,17.2500,1103400,0
20010129,17.0417,18.1250,16.9167,18.1042,16593000,0
20010130,17.8542,17.8542,17.1667,17.6042,1252800,0
20010131,17.4792,17.8125,16.7292,17.2709,1698000,0
20010201,16.9167,17.7396,16.7500,17.4167,17397000,0
20010202,17.4167,17.6459,16.9375,16.9375,1221600,0
20010205,16.9167,17.5625,16.9167,17.4167,1134000,0
20010206,17.3334,18.2292,17.3334,17.9167,19677000,0
20010207,17.9375,18.2084,17.6042,17.9792,20937000,0
20010208,18.1042,18.2917,17.6667,17.7500,21435000,0
20010209,17.7084,18.1459,17.7084,17.8334,18507000,0
20010212,17.9584,18.6667,17.9375,18.1459,16557000,0
20010213,17.9167,18.7500,17.7084,17.7084,15483000,0
20010214,17.8750,18.5417,17.8125,18.5209,31863000,0
20010215,18.5417,18.7917,18.2084,18.5625,46029000,0
20010216,18.3750,18.6667,18.0417,18.5834,2148600,0
20010219,18.5834,18.5834,18.5834,18.5834,0,0
20010220,18.6875,19.1042,18.6042,19.0000,27177000,0
20010221,19.0625,19.3542,18.1459,18.2917,3975000,0
20010222,18.4584,18.5000,17.5417,17.6667,54531000,0
20010223,17.8334,18.0000,17.0834,18.0000,3928200,0
20010226,18.0000,18.3334,17.3334,17.5000,39825000,0
20010227,17.4792,17.7500,16.9584,17.0417,37455000,0
20010228,17.1459,17.1459,16.2084,16.5000,54243000,0
20010301,16.5000,16.5000,16.1667,16.3334,4237200,0
20010302,16.3750,16.5000,15.8334,15.8334,3136800,0
20010305,15.8959,16.5000,15.8334,16.3750,3664200,0
20010306,16.5417,16.7292,15.8959,16.1667,23385000,0
20010307,16.3125,16.5834,16.0417,16.3959,2440200,0
20010308,16.4375,16.4584,16.2084,16.2292,14037000,0
20010309,16.3125,16.3125,15.6667,15.9584,12693000,0
20010312,15.8334,16.0625,15.0000,15.2084,18681000,0
20010313,15.3125,15.9792,15.1250,15.5209,3717000,0
20010314,15.4375,16.0834,15.1250,15.6250,1743600,0
20010315,15.6875,16.0417,15.6875,15.8334,17979000,0
20010316,15.6667,15.7084,14.6042,15.0834,4257000,0
20010319,15.1459,16.0625,14.9792,16.0000,2658000,0
20010320,16.0417,16.6042,15.4167,15.5417,2928000,0
20010321,15.4584,16.0000,15.0417,15.3959,2788800,0
20010322,15.3334,16.1667,15.3334,15.7917,31707000,0
20010323,15.9375,16.2084,15.4167,15.8542,3160200,0
20010326,16.1667,16.3334,15.5417,15.8125,19803000,0
20010327,15.8034,16.4600,15.8034,16.2934,24093000,0
20010328,16.5634,16.7934,16.1867,16.2934,114927000,0
20010329,16.2300,16.4800,16.0634,16.3767,7510200,0
20010330,16.5634,16.5634,14.8134,14.9800,40031800,0
20010402,15.3134,15.8767,15.2934,15.7500,112761000,0
20010403,15.5434,15.5534,15.0634,15.1467,55905000,0
20010404,15.1134,15.8767,15.1134,15.2700,13429800,0
20010405,15.6667,16.2500,15.4367,16.1267,64101000,0
20010406,15.8534,16.0000,15.4167,15.9800,38961000,0
20010409,16.0267,16.3500,15.9334,16.3434,19749000,0
20010410,16.4167,16.6867,16.4167,16.6667,3471600,0
20010411,16.7500,16.7534,15.6234,15.8967,47805000,0
20010412,15.7600,16.1600,15.5500,16.0533,3069000,0
20010416,16.0867,16.2334,15.5200,15.7567,27663000,0
20010417,15.6600,16.3067,15.6600,16.1934,3443400,0
20010418,16.3934,17.6434,16.3800,17.0134,4068000,0
20010419,17.0934,17.1200,16.5100,16.7600,35847000,0
20010420,16.5967,16.8767,16.2167,16.8600,27381000,0
20010423,16.8967,17.1434,16.8100,16.8900,24453000,0
20010424,17.0166,17.5734,16.7500,16.7934,26601000,0
20010425,16.8334,18.2800,16.8334,18.1167,4544400,0
20010426,18.1667,18.1667,17.5000,17.7400,25527000,0
20010427,17.7967,18.0300,17.6167,17.7666,1740600,0
20010430,17.9800,18.8967,17.8566,18.4467,3340800,0
20010501,18.1934,18.2000,17.6167,18.1300,37809000,0
20010502,18.2467,18.4167,17.1734,17.3300,4078800,0
20010503,17.3000,17.5267,17.1100,17.2867,22443000,0
20010504,17.1300,17.8434,16.8334,17.6667,20511000,0
20010507,17.5034,17.8334,17.4000,17.6100,33045000,0
20010508,17.7666,17.7666,17.2800,17.6034,2385600,0
20010509,17.5367,17.7500,17.3067,17.3667,1915200,0
20010510,17.4534,17.6967,17.0834,17.3467,2281200,0
20010511,17.2000,17.5334,17.2000,17.4000,20685000,0
20010514,17.3167,17.6700,17.2634,17.4034,1475400,0
20010515,17.4134,17.8000,17.4034,17.4734,1600200,0
20010516,17.3834,18.3634,17.2767,18.3300,27687000,0
20010517,18.2834,18.4000,18.0034,18.1867,38685000,0
20010518,18.1634,18.2500,17.9500,18.0234,19401000,0
20010521,18.3733,19.1634,18.3733,19.1367,4537200,0
20010522,19.1334,19.1367,18.7400,19.0967,21519000,0
20010523,19.0134,19.0834,18.2666,18.6066,2300400,0
20010524,18.1867,18.9534,18.1267,18.4134,4192200,0
20010525,18.4767,18.5834,17.9167,17.9234,2034000,0
20010528,17.9234,17.9234,17.9234,17.9234,0,0
20010529,18.0000,18.2467,17.8500,17.9200,3786000,0
20010530,17.8500,18.2467,17.8000,18.2300,3006000,0
20010531,18.2034,18.8334,18.2034,18.3700,3204000,0
20010601,18.4134,18.8667,18.0000,18.6800,2094600,0
20010604,18.7967,18.9667,18.3334,18.7934,11757000,0
20010605,18.8000,19.1667,18.6600,19.0467,20451000,0
20010606,18.9867,19.2967,18.2067,18.5834,2147400,0
20010607,18.5500,18.8267,18.3100,18.7367,12381000,0
20010608,18.9600,18.9967,18.1667,18.4034,17613000,0
20010611,18.4034,18.9167,18.1600,18.7666,2595000,0
20010612,18.7567,19.1667,18.0634,18.9334,26259000,0
20010613,19.0400,19.7467,19.0000,19.2700,3982800,0
20010614,19.2034,19.2167,18.4934,18.5734,31800000,0
20010615,18.5400,19.3834,18.2834,19.0034,55200000,0
20010618,19.0734,19.7000,19.0200,19.5166,2569800,0
20010619,19.5834,20.0734,19.5667,20.0300,56931000,0
20010620,20.0000,20.6500,19.8900,20.4967,7099800,0
20010621,20.4667,20.7500,20.1667,20.2800,50583000,0
20010622,20.2800,20.4734,19.8900,20.2167,4716000,0
20010625,20.3600,20.6867,20.3600,20.6800,26505000,0
20010626,20.3700,20.8167,20.2934,20.7967,4224000,0
20010627,20.7500,20.7666,20.4167,20.6800,3332400,0
20010628,20.7000,21.2800,20.6834,21.0367,5435400,0
20010629,20.8134,21.0200,20.5300,20.8100,31287000,0
20010702,20.9700,20.9700,20.3500,20.5134,55005000,0
20010703,20.3334,20.3367,19.7767,19.8334,33945000,0
20010704,19.8334,19.8334,19.8334,19.8334,0,0
20010705,19.6167,19.7500,18.9734,19.2100,48891000,0
20010706,19.1800,19.8500,18.9400,19.5100,5247000,0
20010709,19.5334,20.1000,19.5300,19.9800,45831000,0
20010710,20.0334,20.2600,19.8334,19.9800,39273000,0
20010711,19.7500,20.5734,19.7133,20.5367,4251600,0
20010712,20.6267,21.0634,20.4600,21.0600,34335000,0
20010713,20.8267,20.8334,20.2267,20.3500,3194400,0
20010716,20.3500,20.6600,20.0166,20.0667,2133600,0
20010717,20.2367,20.5834,19.9834,20.2800,2567400,0
20010718,20.3566,20.3767,19.8367,20.0134,18225000,0
20010719,20.3267,20.6667,20.2300,20.6334,22077000,0
20010720,20.4967,20.6434,20.3500,20.4167,2046000,0
20010723,20.4500,20.5000,19.7666,19.9800,3094800,0
20010724,19.9600,19.9600,18.1700,19.3234,129825000,0
20010725,19.3434,19.3434,18.7734,19.2334,78165000,0
20010726,19.1367,19.1734,18.7867,19.0000,5023800,0
20010727,19.0000,19.0166,18.7767,19.0034,31509000,0
20010730,19.0166,19.3500,18.8367,19.1267,2602200,0
20010731,19.2067,19.5467,18.7167,19.1233,3223800,0
20010801,19.1000,19.1000,18.4134,18.7234,6212400,0
20010802,18.1667,18.6100,18.0166,18.5667,43311000,0
20010803,18.6800,18.6834,18.0334,18.2934,51531000,0
20010806,18.2334,18.4000,18.0000,18.2267,25119000,0
20010807,18.2567,18.4334,18.1167,18.2334,28521000,0
20010808,18.0166,18.3334,17.6600,17.7934,2617800,0
20010809,17.7534,18.1634,17.7000,17.9700,17691000,0
20010810,17.9334,18.1834,17.6167,17.9734,2386200,0
20010813,17.9767,18.5000,17.9067,18.4034,21795000,0
20010814,18.5000,18.6967,18.2000,18.4300,20283000,0
20010815,18.4400,18.6334,18.1467,18.3400,15345000,0
20010816,18.0000,18.3234,17.9967,18.2133,24141000,0
20010817,17.8300,18.1834,17.5767,17.6434,18231000,0
