DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,59.1875,59.6250,56.9375,57.2188,1809400,0
20010103,57.2188,60.2500,56.6250,59.6875,3749000,0
20010104,59.8750,61.3125,59.2500,59.8125,4675200,0
20010105,59.7813,59.8125,57.1250,59.1875,4068500,0
20010108,58.5625,58.7500,57.6250,57.9375,2038800,0
20010109,57.8750,58.6875,56.6250,57.1250,1715100,0
20010110,56.8125,57.8750,55.5000,56.9375,1944500,0
20010111,56.7500,56.9375,54.6250,56.3125,2986600,0
20010112,56.3750,56.3750,54.0000,55.1250,1303100,0
20010115,55.1250,55.1250,55.1250,55.1250,0,0
20010116,54.9375,57.6250,54.3750,56.4063,2937900,0
20010117,56.7500,58.1250,56.6250,57.5625,2847700,0
20010118,57.8750,58.0000,56.4375,56.5625,1857800,0
20010119,57.1250,57.1875,54.6250,54.8750,1965200,0
20010122,54.8750,56.3125,54.1875,56.0000,1814000,0
20010123,56.1875,57.7500,56.1250,57.1250,1906100,0
20010124,57.0937,57.4375,56.6250,57.1250,1148400,0
20010125,57.3750,58.3750,56.1250,56.3750,1868300,0
20010126,56.3125,57.3750,56.0625,57.2500,2471800,0
20010129,57.5000,58.7500,56.7500,57.6875,1895600,0
20010130,57.5000,58.8125,57.4375,58.7500,2872200,0
20010131,58.7188,59.3750,58.2500,59.2500,2078800,0
20010201,58.6250,58.8750,58.2500,58.4375,2131100,0
20010202,58.5000,58.9375,58.1250,58.3125,1246000,0
20010205,58.0625,58.3750,57.0625,57.9375,1296700,0
20010206,57.8750,58.1875,57.0625,57.2500,885100,0
20010207,57.3125,58.6250,55.0000,58.5000,1413500,0
20010208,58.8438,59.0000,57.7500,58.0625,1046900,0
20010209,58.1250,58.1875,57.0625,57.6875,1066800,0
20010212,57.6250,59.0000,57.3750,59.0000,1730600,0
20010213,58.8750,59.5000,58.6250,59.1250,1881400,0
20010214,59.2813,59.2813,58.3125,58.3750,1561900,0
20010215,58.5000,58.5625,57.1250,57.7500,1454300,0
20010216,57.3750,58.6875,57.1875,58.6875,1855900,0
20010219,58.6875,58.6875,58.6875,58.6875,0,0
20010220,58.2500,58.4375,56.7500,57.6875,1758600,0
20010221,57.1250,57.1250,55.6250,55.8750,1469300,0
20010222,56.1875,56.4375,53.6875,54.3125,2689500,0
20010223,53.9375,54.5000,53.4375,54.1875,1766200,0
20010226,54.5000,54.8750,53.8750,54.5625,2008000,0
20010227,54.7188,55.5000,54.4375,55.1250,2228900,0
20010228,54.7500,55.6250,53.6250,53.8125,1432900,0
20010301,53.6562,54.7500,53.0625,54.6250,1965500,0
20010302,53.9375,55.6875,53.8750,55.1250,16900000,0
20010305,55.2500,55.6875,53.6250,54.6250,1066900,0
20010306,55.2500,55.6250,54.1250,54.3125,1396100,0
20010307,54.3750,55.5000,54.1875,55.3750,858600,0
20010308,55.4375,56.0000,54.6250,55.8750,984600,0
20010309,55.6250,55.6250,54.1250,54.6875,1357300,0
20010312,54.2188,54.2500,51.6250,51.9375,2301800,0
20010313,52.0625,54.6250,51.3750,53.8750,1829500,0
20010314,52.3750,52.8125,51.0000,51.7500,1680200,0
20010315,52.2500,53.1250,51.9375,53.0625,1364800,0
20010316,50.7500,53.2500,50.7500,52.9375,2763300,0
20010319,52.4063,52.6875,51.0000,52.3125,1553600,0
20010320,52.2500,52.3750,49.8750,50.1250,1659000,0
20010321,48.9063,48.9063,47.4375,47.8750,4405500,0
20010322,47.8438,47.9375,45.4375,47.1875,3722800,0
20010323,47.2500,50.0000,47.1875,49.5625,3013200,0
20010326,50.3125,50.8125,49.6875,50.2500,1232200,0
20010327,50.2200,53.3800,50.2200,52.3100,2310400,0
20010328,50.4700,53.2500,50.4700,52.6300,1958100,0
20010329,52.3400,52.3800,51.3800,51.9400,1414200,0
20010330,52.2500,53.6300,51.7500,53.4400,2226900,0
20010402,53.1900,54.6900,52.5600,53.6300,1551600,0
20010403,52.8800,53.3800,51.5000,52.0600,1279200,0
20010404,51.7500,51.7500,49.6900,50.5600,1687900,0
20010405,51.4400,51.4400,50.3100,50.8100,2272000,0
20010406,50.1900,51.6900,48.8800,50.0600,1867400,0
20010409,50.2800,51.0500,50.0700,50.6000,1189400,0
20010410,51.2200,51.8100,50.9000,51.5600,1543100,0
20010411,51.5900,52.2800,51.3500,51.3800,2542200,0
20010412,51.3300,51.7400,51.0000,51.5400,1165900,0
20010416,51.1000,52.2200,49.9000,51.0300,2000200,0
20010417,50.3500,51.0000,49.7400,51.0000,2626700,0
20010418,51.1400,53.0000,50.7600,52.5500,2871700,0
20010419,52.5000,53.4900,51.8200,53.3300,1829400,0
20010420,52.7000,53.4000,52.5500,52.9900,2375300,0
20010423,52.8500,52.9900,51.7300,51.7600,1303700,0
20010424,51.8500,53.0000,51.7500,52.2000,1382700,0
20010425,52.1800,52.3100,51.0000,52.1700,1216500,0
20010426,52.1700,52.7000,51.8600,52.4800,1546800,0
20010427,52.5400,53.9600,52.5400,53.9200,1602500,0
20010430,53.9400,54.4100,53.3000,53.7600,1838500,0
20010501,53.2500,54.0000,53.0600,53.9000,1299900,0
20010502,53.8400,54.1100,53.3100,53.9500,1046100,0
20010503,53.8800,53.8900,52.7800,53.6700,1113300,0
20010504,53.1900,54.2000,52.7600,54.1200,1409900,0
20010507,54.0000,54.2100,53.4000,53.5400,734000,0
20010508,53.6300,53.8000,52.2900,53.6500,785500,0
20010509,53.4800,53.9000,53.2500,53.7900,1429600,0
20010510,54.1000,54.7500,53.3200,54.7400,1546800,0
20010511,54.5800,55.0100,54.3600,54.6400,2026800,0
20010514,54.7600,56.0500,54.5700,56.0100,2044600,0
20010515,56.0000,56.6000,55.5800,56.4800,2653100,0
20010516,56.2600,58.3400,56.0700,58.2400,1972000,0
20010517,58.2900,58.5700,57.5400,57.6300,21600000,0
20010518,57.3700,58.1200,57.3700,57.7900,1598600,0
20010521,57.6600,57.9500,57.0800,57.9200,1160800,0
20010522,57.7100,59.2300,57.6500,58.6300,1490600,0
20010523,58.5500,58.9400,54.8400,58.8400,1092300,0
20010524,58.8700,59.1800,58.5800,58.7500,935600,0
20010525,58.7400,58.9200,58.0000,58.6000,944400,0
20010528,58.6000,58.6000,58.6000,58.6000,0,0
20010529,58.6000,58.9500,58.4300,58.7800,1255200,0
20010530,58.6900,59.1200,58.4200,58.6000,1751800,0
20010531,58.7800,58.9700,58.3600,58.8700,1591500,0
20010601,58.8600,59.5500,58.2600,59.4600,2095200,0
20010604,59.5800,60.6000,59.5700,60.5800,2720600,0
20010605,60.3700,61.1100,60.0000,60.9800,2506400,0
20010606,60.9200,60.9200,59.5500,60.2900,14700000,0
20010607,60.2400,60.2500,59.5500,60.2200,869300,0
20010608,60.0100,60.0500,56.7000,59.9300,817200,0
20010611,59.9100,60.2700,59.5000,59.6000,1312100,0
20010612,59.3400,59.7000,58.7000,59.5900,1482300,0
20010613,59.6500,60.2100,59.3100,59.7800,992100,0
20010614,59.3900,59.8500,58.9500,59.4000,1133800,0
20010615,59.2900,59.6600,59.0000,59.4600,3681800,0
20010618,59.4800,59.9400,59.0000,59.0300,1277900,0
20010619,59.2700,59.9700,56.2600,59.4400,1443800,0
20010620,59.5400,60.8000,59.5400,60.2400,1609300,0
20010621,60.0500,63.0000,60.0100,62.3900,4013500,0
20010622,62.4800,62.6200,61.4500,61.9700,2230400,0
20010625,62.0800,62.4200,61.1600,61.7500,1597900,0
20010626,61.1800,62.3200,60.9800,61.7900,1200500,0
20010627,61.8500,62.9200,61.3900,61.5000,1587300,0
20010628,61.9900,62.4000,61.4600,61.6100,1487400,0
20010629,61.6700,61.6700,60.0600,60.3500,2024500,0
20010702,60.2500,61.1700,60.1900,61.1600,1499100,0
20010703,61.2000,61.5600,60.6700,61.1200,589500,0
20010704,61.1200,61.1200,61.1200,61.1200,0,0
20010705,60.9500,61.5500,60.6300,61.2100,587700,0
20010706,61.0500,61.1000,59.9000,60.0900,968100,0
20010709,60.1800,60.6600,59.6100,60.3400,803100,0
20010710,60.3200,60.3200,59.1500,59.1700,1313700,0
20010711,59.1100,60.3000,58.7700,59.6100,1467800,0
20010712,59.6700,61.3500,59.6600,61.3500,1211700,0
20010713,61.1100,63.2000,60.1000,62.8400,1871400,0
20010716,62.8400,63.3900,60.0400,60.4200,3373400,0
20010717,60.4000,62.8000,60.2800,62.7800,2716100,0
20010718,62.0700,62.7500,61.6000,62.7400,1512600,0
20010719,62.8800,63.2600,61.6500,62.7400,1630400,0
20010720,62.0800,62.6900,62.0000,62.6000,1578200,0
20010723,62.6000,63.2900,62.3700,62.5300,1349400,0
20010724,62.5300,62.9100,60.9800,61.1400,1669000,0
20010725,61.1300,61.5400,60.5400,61.4000,963400,0
20010726,61.3000,62.1600,61.1000,61.8400,786600,0
20010727,61.7100,62.2700,61.5800,62.2200,861900,0
20010730,61.5200,62.1900,61.2500,62.1200,595400,0
20010731,62.2500,63.8800,62.0700,63.0100,2148500,0
20010801,63.1000,63.8400,62.8000,63.0600,912500,0
20010802,63.5600,63.6200,62.2400,63.5500,808800,0
20010803,63.4000,63.4500,62.6600,63.3500,586200,0
20010806,63.2000,63.2000,62.3800,62.5600,738500,0
20010807,62.6700,63.9500,62.3500,63.1400,1530900,0
20010808,62.8500,64.1100,62.7900,62.9600,1077400,0
20010809,62.9100,63.6600,62.6500,63.1200,1445600,0
20010810,63.1500,63.4200,62.6500,62.9000,1379300,0
20010813,62.8500,65.0500,62.8100,63.9300,1348800,0
20010814,63.9000,64.7300,63.6100,63.7200,1402600,0
20010815,63.8900,64.7700,63.8900,64.3000,1552400,0
20010816,64.1500,64.3900,63.8700,64.3600,1338200,0
20010817,64.2600,64.2600,63.4200,63.5900,1661500,0
20010820,63.5000,64.1300,63.4100,63.9600,677400,0
20010821,63.8900,64.0600,63.2300,63.4500,1378400,0
20010822,63.8600,65.0000,63.1700,64.4300,1362100,0
20010823,64.4900,64.5800,62.5700,62.8600,1889700,0
20010824,62.9000,63.0800,61.0100,61.1300,2011000,0
20010827,61.0500,61.0500,58.6900,59.2000,2916400,0
20010828,59.2500,60.3200,59.2400,59.3000,1694200,0
20010829,59.5800,59.7400,57.9400,58.2100,1677500,0
20010830,58.3500,59.0900,57.8400,58.1100,1774300,0
20010831,57.9600,59.5000,57.9500,58.3000,1743700,0
20010903,58.3000,58.3000,58.3000,58.3000,0,0
20010904,58.4800,58.8000,56.9100,57.6000,1405400,0
20010905,57.2100,57.4500,56.0600,57.3600,1820900,0
20010906,57.1800,57.2700,55.7300,55.9200,1416700,0
20010907,55.0100,56.2100,53.7200,54.6400,3853000,0
20010910,54.3200,55.2500,53.7000,54.8600,2227100,0
20010911,54.8600,54.8600,54.8600,54.8600,0,0
20010917,52.6800,54.8900,52.0800,53.5000,3323700,0
20010918,53.3900,56.2300,53.3100,55.5800,2529200,0
20010919,55.7300,56.9000,53.8000,55.6100,2824300,0
20010920,55.0400,55.4400,54.0100,54.2500,3013600,0
20010921,50.6900,55.5000,50.6900,53.8400,4266300,0
20010924,54.7300,56.7000,54.7300,56.5100,3106000,0
20010925,56.8800,57.8300,56.8000,57.4800,3267400,0
20010926,57.8700,59.6200,57.7600,58.7700,2953600,0
20010927,59.1000,59.9000,59.0120,59.6300,28900000,0
