DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,0.6914,0.6953,0.6250,0.6406,1054400,0
20010103,0.6406,0.6641,0.6250,0.6406,360800,0
20010104,0.6484,0.6523,0.5938,0.5938,236000,0
20010105,0.6133,0.6250,0.5859,0.6016,185600,0
20010108,0.6289,0.6563,0.5938,0.6016,627200,0
20010109,0.6172,0.6250,0.6094,0.6133,209600,0
20010110,0.6250,0.6250,0.5938,0.6016,464000,0
20010111,0.6016,0.6328,0.5859,0.6328,612000,0
20010112,0.6289,0.6406,0.6250,0.6328,451200,0
20010115,0.6328,0.6328,0.6328,0.6328,0,0
20010116,0.6328,0.6367,0.6172,0.6172,462400,0
20010117,0.6289,0.6289,0.6016,0.6016,762400,0
20010118,0.6289,0.6289,0.5625,0.5625,934400,0
20010119,0.5625,0.6094,0.5313,0.6094,1649600,0
20010122,0.6094,0.6406,0.6055,0.6055,402400,0
20010123,0.6250,0.6367,0.5391,0.5781,1085600,0
20010124,0.5625,0.5938,0.5508,0.5508,404800,0
20010125,0.5703,0.5703,0.5508,0.5625,24000000,0
20010126,0.5625,0.6094,0.5586,0.6094,140000,0
20010129,0.6172,0.6484,0.6172,0.6367,522400,0
20010130,0.6445,0.6797,0.6328,0.6563,1208000,0
20010131,0.6563,0.6641,0.6250,0.6250,875200,0
20010201,0.6367,0.6406,0.6250,0.6406,373600,0
20010202,0.6758,0.7031,0.6250,0.6250,560800,0
20010205,0.6484,0.6602,0.6289,0.6406,16056800,0
20010206,0.6367,0.6406,0.6250,0.6328,335200,0
20010207,0.6406,0.6406,0.6094,0.6328,392000,0
20010208,0.6328,0.6328,0.6016,0.6172,179200,0
20010209,0.6250,0.6328,0.6211,0.6328,125600,0
20010212,0.6328,0.6406,0.6250,0.6289,37600,0
20010213,0.6328,0.6367,0.6250,0.6328,251200,0
20010214,0.6484,0.7188,0.6406,0.7188,203200,0
20010215,0.7305,0.7813,0.6719,0.7813,429600,0
20010216,0.7813,0.8125,0.7656,0.7969,446400,0
20010219,0.7969,0.7969,0.7969,0.7969,0,0
20010220,0.8008,0.8438,0.7656,0.8438,231200,0
20010221,0.8477,0.9531,0.8477,0.9375,536800,0
20010222,0.8594,0.9375,0.8594,0.9375,2620800,0
20010223,0.9141,1.0625,0.9141,1.0625,519200,0
20010226,1.0547,1.0703,0.9297,0.9297,64000000,0
20010227,0.9219,0.9375,0.8438,0.8438,557600,0
20010228,0.8906,0.8906,0.8516,0.8750,255200,0
20010301,0.8438,0.8438,0.7891,0.8281,144000,0
20010302,0.8359,1.1250,0.8359,1.1016,2199200,0
20010305,1.0938,1.1016,1.0469,1.0977,558400,0
20010306,1.0898,1.1094,1.0781,1.0781,408000,0
20010307,1.0938,1.1211,1.0781,1.1211,1291200,0
20010308,1.1094,1.1094,1.0898,1.0938,700800,0
