DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.50,17.31,16.50,17.13,4716,0
20010103,17.44,17.56,17.16,17.38,8156,0
20010104,17.31,17.38,17.13,17.31,5230,0
20010105,17.22,17.34,16.75,16.81,0,0
20010108,17.00,17.03,16.75,16.84,0,0
20010109,16.72,16.81,16.66,16.78,0,0
20010110,16.66,16.81,16.63,16.78,2946,0
20010111,16.78,16.84,16.59,16.72,0,0
20010112,16.66,16.72,16.63,16.66,0,0
20010115,16.66,16.66,16.66,16.66,0,0
20010116,16.38,16.56,16.38,16.50,0,0
20010117,16.50,16.88,16.47,16.72,43468,0
20010118,16.63,16.78,16.53,16.72,0,0
20010119,16.59,16.69,16.41,16.47,5054,0
20010122,16.47,16.47,16.47,16.47,0,0
20010123,16.25,16.41,16.03,16.31,5322,0
20010124,16.25,16.34,16.00,16.28,0,0
20010125,16.25,16.63,16.25,16.59,0,0
20010126,16.59,16.72,16.53,16.59,0,0
20010129,16.66,17.50,16.50,17.28,0,0
20010130,16.89,17.05,16.00,16.78,351600,0
20010131,15.60,16.27,15.60,16.22,388800,0
20010201,15.80,18.00,15.80,17.25,4876200,0
20010202,17.20,17.63,17.05,17.06,0,0
20010205,16.96,17.67,16.85,16.85,0,0
20010206,16.59,17.59,16.59,17.50,0,0
20010207,17.50,18.23,17.50,18.10,0,0
20010208,18.00,19.00,17.94,19.00,1172800,0
20010209,18.82,19.26,18.65,19.26,755000,0
20010212,19.26,19.72,19.13,19.70,665000,0
20010213,19.30,19.94,19.23,19.59,968800,0
20010214,19.35,19.55,19.25,19.35,0,0
20010215,19.65,19.72,19.48,19.59,470000,0
20010216,19.00,19.13,18.62,18.77,443000,0
20010219,18.77,18.77,18.77,18.77,0,0
20010220,18.75,18.94,18.10,18.10,402600,0
20010221,18.10,18.28,18.03,18.05,262800,0
20010222,18.05,18.38,17.83,18.35,566600,0
20010223,18.35,18.58,18.35,18.52,912800,0
20010226,18.75,19.88,18.75,19.75,2160800,0
20010227,19.25,19.49,19.17,19.24,2514400,0
20010228,19.00,19.60,18.99,19.05,786200,0
20010301,19.38,19.50,18.70,19.13,724800,0
20010302,19.08,20.25,19.02,20.20,6681400,0
20010305,20.50,23.50,20.10,23.17,6450600,0
20010306,22.25,22.89,21.00,21.53,3805000,0
20010307,21.25,22.65,21.25,22.40,25230400,0
20010308,22.35,23.75,22.35,23.38,2596000,0
20010309,23.00,23.50,22.91,23.40,2263600,0
20010312,23.13,23.50,23.04,23.10,1348200,0
20010313,23.13,23.22,22.05,22.50,1004400,0
20010314,22.25,22.67,21.30,21.49,16989800,0
20010315,21.60,22.53,21.55,22.48,2826800,0
20010316,22.00,22.17,21.79,22.05,1977600,0
20010319,22.10,22.42,21.75,21.82,776200,0
20010320,21.85,22.05,21.73,21.73,533000,0
20010321,21.88,21.88,21.08,21.19,597000,0
20010322,21.15,21.30,19.70,20.16,810200,0
20010323,20.47,20.88,20.36,20.70,859200,0
20010326,20.60,21.08,20.60,20.73,2277400,0
20010327,20.80,20.94,20.70,20.94,625800,0
20010328,21.19,21.35,21.02,21.04,464000,0
20010329,21.04,22.75,21.04,22.64,27715600,0
20010330,22.95,23.00,22.20,22.25,54114600,0
20010402,22.09,22.28,21.35,21.61,4575200,0
20010403,21.65,21.75,20.52,20.72,2418000,0
20010404,20.72,21.25,20.70,21.11,949200,0
20010405,21.33,21.50,21.07,21.16,296600,0
20010406,21.13,21.13,20.31,20.48,353800,0
20010409,20.50,21.08,20.50,20.99,4398000,0
20010410,21.06,21.50,21.02,21.34,2479800,0
20010411,21.25,21.32,20.94,21.05,302400,0
20010412,20.95,21.30,20.81,21.08,370000,0
20010416,21.33,22.05,21.33,22.00,630400,0
20010417,21.88,22.27,21.80,22.25,950400,0
20010418,22.17,22.73,22.17,22.62,1650400,0
20010419,22.63,22.65,22.32,22.50,445400,0
20010420,22.63,22.75,22.45,22.57,644000,0
20010423,21.88,22.77,21.88,22.77,825600,0
20010424,22.90,24.47,22.90,24.10,5824200,0
20010425,23.75,25.85,23.75,25.85,33400000,0
20010426,26.00,27.25,25.88,27.13,12400600,0
20010427,27.10,27.61,26.50,27.58,1273400,0
20010430,27.45,27.45,26.13,26.35,942400,0
20010501,26.40,27.40,25.75,27.33,1247800,0
20010502,27.00,27.25,25.75,25.85,926800,0
20010503,25.80,25.80,25.15,25.50,532400,0
20010504,24.98,26.20,24.50,26.20,3554000,0
20010507,26.20,26.63,25.91,25.99,1134400,0
20010508,26.10,26.38,25.90,26.05,1069200,0
20010509,26.10,26.23,25.60,25.84,427400,0
20010510,25.97,27.44,25.95,27.17,1858000,0
20010511,27.17,27.40,26.67,26.88,768800,0
20010514,26.75,27.05,26.75,26.99,610200,0
20010515,26.70,26.95,26.69,26.85,555200,0
20010516,26.94,28.50,26.83,28.45,3725800,0
20010517,28.50,29.88,28.50,29.50,3592800,0
20010518,29.40,29.52,28.89,29.25,1625200,0
20010521,29.10,29.44,28.95,29.41,1550800,0
20010522,29.41,31.60,29.40,31.33,16991200,0
20010523,31.32,31.32,30.14,30.27,1442800,0
20010524,30.33,30.53,28.85,30.27,1561200,0
20010525,30.25,30.33,29.08,29.13,790600,0
20010528,29.13,29.13,29.13,29.13,0,0
20010529,29.13,29.44,28.70,29.10,4392000,0
20010530,28.98,29.36,28.25,29.14,1012800,0
20010531,29.20,29.73,29.09,29.16,1059000,0
20010601,29.20,29.40,28.48,28.85,929200,0
20010604,28.98,29.27,28.66,28.70,587400,0
20010605,28.75,28.81,27.25,27.38,4777800,0
20010606,27.30,27.30,26.25,26.40,859600,0
20010607,26.13,26.60,26.00,26.38,3456400,0
20010608,26.50,26.92,26.29,26.58,2561200,0
20010611,26.65,26.75,25.88,26.06,426200,0
20010612,25.93,26.25,25.73,26.07,667400,0
20010613,26.15,27.36,26.15,27.05,12623600,0
20010614,27.18,27.18,26.55,26.85,4651800,0
20010615,26.33,26.88,26.03,26.50,7527000,0
20010618,26.33,26.87,26.26,26.59,314600,0
20010619,26.85,27.42,26.03,26.03,502200,0
20010620,26.10,26.50,22.48,22.48,3968800,0
20010621,22.50,24.42,22.44,24.39,4730600,0
20010622,22.00,22.75,21.64,22.52,88392800,0
20010625,22.65,23.10,21.75,21.85,1279600,0
