DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,8.93,9.09,8.63,8.63,12296,0
20010103,8.71,8.91,8.59,8.91,17240,0
20010104,8.91,9.13,8.89,9.10,21984,0
20010105,9.19,9.23,9.09,9.14,0,0
20010108,9.13,9.38,9.06,9.24,12944,0
20010109,9.13,9.19,9.05,9.11,7552,0
20010110,9.08,9.45,8.91,9.42,99264,0
20010111,9.42,9.42,9.11,9.11,0,0
20010112,9.08,9.31,8.88,9.27,21536,0
20010115,9.27,9.27,9.27,9.27,0,0
20010116,9.07,9.33,8.95,9.28,15344,0
20010117,9.31,9.34,9.02,9.20,16280,0
20010118,9.21,9.21,8.94,9.06,0,0
20010119,9.06,9.06,8.91,9.02,29944,0
20010122,9.02,9.02,9.02,9.02,0,0
20010123,8.61,8.91,8.58,8.84,0,0
20010124,8.81,8.83,8.59,8.62,21744,0
20010125,8.63,8.77,8.59,8.59,0,0
20010126,8.63,8.66,8.44,8.57,15384,0
20010129,8.84,8.88,8.63,8.63,0,0
20010130,8.85,9.10,8.60,8.90,0,0
20010131,8.71,8.90,8.71,8.80,0,0
20010201,8.92,8.96,8.81,8.90,0,0
20010202,8.91,9.07,8.91,9.01,0,0
20010205,9.01,9.18,8.99,9.14,1609600,0
20010206,9.13,9.21,9.05,9.16,0,0
20010207,9.16,9.16,9.02,9.06,0,0
20010208,9.08,9.08,8.85,8.95,1783200,0
20010209,8.98,9.07,8.95,9.01,1181600,0
20010212,9.06,9.15,8.91,9.13,0,0
20010213,9.13,9.38,9.13,9.38,2092800,0
20010214,9.38,9.74,9.38,9.50,5836800,0
20010215,9.63,9.68,9.59,9.61,2492800,0
20010216,9.59,9.68,9.40,9.44,2396000,0
20010219,9.44,9.44,9.44,9.44,0,0
20010220,9.40,9.55,9.40,9.48,697600,0
20010221,9.48,9.51,9.31,9.31,9416800,0
20010222,9.38,9.51,9.27,9.38,2218400,0
20010223,9.43,9.52,9.25,9.27,2353600,0
20010226,9.28,9.65,9.28,9.61,1517600,0
20010227,9.64,9.69,9.60,9.62,1085600,0
20010228,9.63,9.74,9.50,9.60,1947200,0
