DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,6.4444,6.4444,6.1667,6.2222,2481750,0
20010103,6.1111,7.1667,6.1111,7.0278,404100,0
20010104,7.3889,7.6389,7.1111,7.1111,2909250,0
20010105,7.1111,7.1111,6.7500,6.9445,2513250,0
20010108,7.0000,7.3055,6.8889,7.1667,220500,0
20010109,7.2778,7.2778,7.1389,7.2222,1122750,0
20010110,7.2222,7.4167,7.1111,7.4167,115650,0
20010111,7.4305,7.5555,7.1667,7.4722,2364750,0
20010112,7.4722,7.9167,7.4445,7.6667,128250,0
20010115,7.6667,7.6667,7.6667,7.6667,0,0
20010116,7.5555,7.6945,7.4445,7.6945,488250,0
20010117,7.8055,8.1945,7.7222,8.0000,4317750,0
20010118,8.0555,8.0555,7.5555,7.9722,409950,0
20010119,7.6945,8.0000,7.6945,7.8333,182250,0
20010122,7.8472,7.8611,7.5555,7.5833,1959750,0
20010123,7.6111,8.0000,7.5278,8.0000,2009250,0
20010124,7.9861,8.1389,7.5555,7.9167,162000,0
20010125,7.8333,7.8889,7.6111,7.6389,546750,0
20010126,7.7083,7.7222,7.5555,7.7222,582750,0
20010129,7.6111,8.3611,7.5555,8.3333,279900,0
20010130,8.1667,8.4445,8.0000,8.3889,238500,0
20010131,8.4445,8.7778,8.3611,8.5833,3237750,0
20010201,8.5555,8.8889,8.5278,8.7778,185850,0
20010202,8.6111,8.7778,8.6111,8.7778,114300,0
20010205,8.7500,8.7778,8.6389,8.6667,2405250,0
20010206,8.7778,8.8889,8.6945,8.6945,2126250,0
20010207,8.6667,8.9445,8.6389,8.7222,139500,0
20010208,8.6667,8.8889,8.6667,8.8333,75150,0
20010209,8.8889,8.8889,8.4722,8.5833,139950,0
20010212,8.5555,8.8333,8.4445,8.8333,79200,0
20010213,8.6945,8.8889,8.5833,8.7778,1833750,0
20010214,8.5555,8.8889,8.5555,8.8889,1131750,0
20010215,8.8611,8.9722,8.7500,8.9722,177750,0
20010216,8.6389,9.0000,8.6389,8.9445,97200,0
20010219,8.9445,8.9445,8.9445,8.9445,0,0
20010220,8.8611,8.9167,8.1667,8.1945,608400,0
20010221,8.1945,8.5000,7.8055,8.0833,562050,0
20010222,8.0000,8.0555,7.7778,7.9445,3318750,0
20010223,7.8611,8.2222,7.8055,8.2222,141750,0
20010226,8.2222,8.2222,7.9445,7.9722,90900,0
20010227,8.2222,8.2222,7.8611,7.9583,983250,0
20010228,7.9167,7.9445,7.7222,7.7778,76050,0
20010301,7.7222,7.8333,7.5555,7.8055,141750,0
20010302,7.7778,7.8055,7.4722,7.7778,1676250,0
20010305,7.7917,8.0000,7.7778,7.9445,91350,0
20010306,7.9445,8.2222,7.8333,8.1667,564750,0
20010307,8.1667,8.2361,8.0000,8.0833,623250,0
20010308,8.0000,8.7500,8.0000,8.7500,399600,0
20010309,8.7222,8.8889,8.6111,8.8889,2882250,0
20010312,8.5833,8.7222,8.3889,8.3889,1077750,0
20010313,8.3333,8.4167,8.1111,8.1945,1527750,0
20010314,8.1111,8.4445,7.7778,8.2222,149400,0
20010315,8.2222,8.3611,8.0833,8.0833,1158750,0
20010316,8.0833,8.1111,7.8055,7.9445,3030750,0
20010319,7.8889,7.9722,7.5833,7.9167,74250,0
20010320,7.9861,8.0555,7.6667,7.6667,54900,0
20010321,7.9445,7.9445,7.5555,7.6945,47250,0
20010322,7.5555,7.7778,7.3889,7.7778,1500750,0
20010323,7.4445,7.7778,7.4445,7.6667,170100,0
20010326,7.6389,7.6389,7.4445,7.5278,171450,0
20010327,7.5822,7.6400,7.4445,7.5022,171000,0
20010328,7.4445,7.7511,7.4445,7.5822,3341250,0
20010329,7.5555,7.7511,7.5555,7.5555,1784250,0
20010330,7.6400,7.7245,7.5022,7.7245,614700,0
20010402,7.6267,7.7245,7.3600,7.5555,104850,0
20010403,7.5289,7.5555,7.3911,7.4711,125550,0
20010404,7.5289,7.5555,7.3911,7.4178,3953250,0
20010405,7.4178,7.6133,7.4178,7.6133,1887750,0
20010406,7.6133,7.6133,7.4445,7.4445,191250,0
20010409,7.4622,7.5911,7.4000,7.5555,59850,0
20010410,7.5778,7.5867,7.3378,7.3822,1815750,0
20010411,7.5333,7.5867,7.3778,7.4445,1640250,0
20010412,7.4667,7.4978,7.3378,7.4667,55800,0
20010416,7.4889,7.4933,7.3778,7.4400,677250,0
20010417,7.4445,7.5111,7.4000,7.4667,244350,0
20010418,7.5111,7.7555,7.5022,7.6667,335700,0
20010419,7.6622,7.6889,7.4667,7.5600,2405250,0
20010420,7.6667,7.7333,7.4622,7.5467,510300,0
20010423,7.5511,7.5867,7.4978,7.5555,274950,0
20010424,7.5600,7.6000,7.5155,7.5200,4133250,0
20010425,7.6000,7.6000,7.5555,7.5778,1793250,0
20010426,7.6000,7.6000,7.5600,7.5822,3044250,0
20010427,7.6311,7.9689,7.6000,7.9333,456750,0
20010430,7.9333,8.5245,7.9333,8.3378,256050,0
20010501,8.4489,8.4622,8.2667,8.3689,121050,0
20010502,8.2667,8.5467,8.2667,8.5111,139950,0
20010503,8.2311,8.5422,8.2267,8.5067,560250,0
20010504,8.4133,8.4978,8.3555,8.4045,3863250,0
20010507,8.5022,8.5067,8.3600,8.3600,1068750,0
20010508,8.3555,8.5778,8.3555,8.5778,807750,0
20010509,8.5111,8.7067,8.4711,8.6667,86400,0
20010510,8.6667,8.7067,8.4667,8.5111,93150,0
20010511,8.5111,8.6222,8.4800,8.6089,371250,0
20010514,8.5955,8.5955,8.4089,8.4445,1023750,0
20010515,8.6000,9.3778,8.5778,9.3555,6797250,0
20010516,9.2489,9.9733,9.2489,9.9555,579150,0
20010517,9.7867,9.9467,9.7867,9.8889,2918250,0
20010518,9.7822,9.9733,9.7778,9.9733,3989250,0
20010521,9.8222,9.9955,9.8222,9.9645,830250,0
20010522,9.9467,10.0000,9.8445,9.8622,109800,0
20010523,9.8445,10.0000,9.8445,9.9867,123300,0
20010524,9.9378,10.3778,9.8800,10.3778,622800,0
20010525,10.3111,10.3111,9.9733,10.0889,1860750,0
20010528,10.0889,10.0889,10.0889,10.0889,0,0
20010529,10.0711,10.1555,9.8622,10.0222,505800,0
20010530,9.8445,9.9111,9.7778,9.8889,11234250,0
20010531,9.7333,9.9778,9.7289,9.9333,6369750,0
20010601,9.8489,10.2133,9.8445,10.0445,534600,0
20010604,10.0445,10.0445,9.9333,9.9733,331650,0
20010605,10.0222,10.2222,10.0000,10.1333,3687750,0
20010606,10.0933,10.2000,10.0667,10.1467,2328750,0
20010607,10.1467,10.2667,10.1467,10.2445,116100,0
20010608,10.1955,10.3245,10.1955,10.1955,145800,0
20010611,10.1955,10.3111,10.1955,10.1955,2513250,0
20010612,10.1955,10.3333,9.9111,10.0178,204750,0
20010613,10.0000,10.2178,9.9022,9.9733,86400,0
20010614,9.9022,9.9733,9.6445,9.6889,120600,0
20010615,9.7155,9.7778,9.4089,9.5778,665550,0
20010618,9.5778,9.7111,9.4755,9.6445,362250,0
20010619,9.7555,10.0889,9.7111,9.7778,1298250,0
20010620,9.8000,10.1111,9.8000,9.9333,321750,0
20010621,9.9200,10.0489,8.7422,8.8933,911700,0
20010622,9.1333,9.4445,8.8889,8.9511,522900,0
20010625,8.9733,9.2000,8.7555,9.1867,1635750,0
20010626,8.9778,9.1778,8.9289,8.9289,138150,0
20010627,9.0445,9.0800,8.7689,8.8400,100800,0
20010628,8.9733,9.1555,8.9245,9.1245,54000,0
20010629,9.0089,9.2800,8.8889,9.1955,166500,0
20010702,9.2845,9.3200,8.2445,8.9333,2432250,0
20010703,8.9289,8.9955,8.8000,8.9111,232650,0
20010704,8.9111,8.9111,8.9111,8.9111,0,0
20010705,8.8267,8.8755,8.6889,8.6933,668250,0
20010706,8.8000,8.8000,8.1511,8.3555,1365750,0
20010709,8.2667,8.4889,8.2222,8.2222,117900,0
