DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20061117,24.5000,25.1800,23.5000,24.7400,18359706,0
20061120,24.7400,25.6700,24.2900,25.0000,1688963,0
20061121,25.0000,25.1900,24.3100,24.6000,1179813,0
20061122,24.5000,26.8800,24.5000,26.8800,1260752,0
20061124,27.0000,27.9600,26.8800,27.7500,350251,0
20061127,28.4400,28.5000,27.9200,28.3400,506297,0
20061128,28.5300,28.9000,27.7500,28.1700,587427,0
20061129,28.5000,28.9500,28.0000,28.2700,414635,0
20061130,28.8000,28.8000,28.0000,28.3000,245668,0
20061201,28.3000,28.3000,27.5600,27.8900,257298,0
20061204,28.0000,28.4000,27.5600,27.8800,482991,0
20061205,27.6200,27.8900,26.4000,27.0800,782351,0
20061206,26.8000,27.6300,26.7700,27.2000,138236,0
20061207,27.7000,27.7000,27.3400,27.3500,59877,0
20061208,27.5000,27.5700,27.2000,27.5300,55222,0
20061211,27.7400,28.4000,27.3200,27.9500,232649,0
20061212,28.2000,28.2000,26.9100,27.2000,371691,0
20061213,27.3000,28.1100,26.5000,27.6400,547779,0
20061214,27.6200,28.6200,27.3200,27.9300,837635,0
20061215,28.3600,29.2800,27.7700,29.0500,1290391,0
20061218,29.3200,29.8700,28.4200,28.5900,738847,0
20061219,28.0000,28.2000,26.5401,27.7900,470726,0
20061220,27.8800,28.9200,27.0100,27.7800,284125,0
20061221,27.5000,27.8500,26.6600,26.6900,616652,0
20061222,26.9900,27.7000,26.8600,27.5300,151163,0
20061226,27.6300,28.3400,27.0400,27.1000,87251,0
20061227,28.2400,28.8100,27.7400,28.8100,788267,0
20061228,28.7200,29.9800,28.0000,29.8000,1406102,0
20061229,29.9900,30.0000,29.0200,29.8000,355545,0
20070103,30.1700,30.2900,28.2000,28.5000,490043,0
20070104,28.5500,28.8300,28.0000,28.7000,255055,0
20070105,28.6500,28.6500,27.7300,28.1500,524303,0
20070108,28.2600,29.0000,28.2600,28.9000,317098,0
20070109,29.0200,29.7700,28.9500,29.2700,232733,0
20070110,29.2200,29.6700,29.0900,29.1600,267718,0
20070111,29.1900,29.7300,28.7500,29.3400,362361,0
20070112,29.2700,29.6100,29.2700,29.5300,176341,0
20070116,29.5600,30.4700,29.0000,29.2700,214640,0
20070117,29.2600,29.2600,28.8500,29.0200,256793,0
20070118,29.2700,29.5600,28.0500,28.3300,258483,0
20070119,28.2400,28.3200,27.7000,27.7200,332278,0
20070122,27.7500,28.1300,27.5400,27.8800,400630,0
20070123,28.0000,29.3800,27.8700,28.8500,504190,0
20070124,29.0700,29.1500,28.4200,29.1500,185669,0
20070125,29.2500,30.3000,29.2400,29.4300,472375,0
20070126,29.7100,29.7300,28.8900,29.1400,211002,0
20070129,29.1500,31.4400,29.0000,31.1400,569040,0
20070130,31.1000,33.8900,30.8600,32.7200,952061,0
20070131,32.6500,33.1400,32.0600,32.3100,460582,0
20070201,32.5300,33.0300,32.0900,32.6600,142618,0
20070202,32.7900,33.1900,31.1600,31.2000,461026,0
20070205,31.2000,33.9900,31.1401,32.7800,456111,0
20070206,33.1100,33.9300,32.5000,32.8100,246357,0
20070207,32.7900,33.7300,32.5500,33.4400,241923,0
20070208,33.7300,34.4700,32.9600,33.7900,350365,0
20070209,33.9100,33.9900,32.6000,32.8600,478002,0
20070212,32.9100,33.7700,32.6000,33.1000,344452,0
20070213,33.5200,34.7400,33.0000,34.2800,1443254,0
20070214,40.3800,44.8500,40.0100,43.7400,5905749,0
20070215,44.0800,46.8600,42.8700,45.0900,2146074,0
20070216,45.0500,45.7500,44.5300,45.2600,432370,0
20070220,44.9700,49.9500,44.9000,49.2100,1229457,0
20070221,49.1500,51.8900,48.3400,51.1900,1787907,0
20070222,51.2000,51.5700,48.2500,49.2000,1059041,0
20070223,49.4400,49.9700,47.2600,49.4300,915668,0
20070226,49.7000,52.7000,49.7000,51.8900,1294026,0
20070227,49.4500,51.1860,48.2700,49.0100,1729999,0
20070228,49.6400,51.0000,46.8900,47.7500,1583736,0
20070301,46.1500,48.8600,45.2000,47.8800,939527,0
20070302,47.5300,48.8200,45.8500,46.2500,786899,0
20070305,45.0000,45.2100,42.6000,44.1300,1156130,0
20070306,45.7000,46.4400,45.0000,46.3000,1134039,0
20070307,46.2400,47.9600,45.7700,47.6200,797835,0
20070308,49.7300,52.0700,49.6400,51.8700,1892776,0
20070309,52.6900,54.1000,51.9400,52.0600,1500380,0
20070312,51.9900,57.9400,51.6100,57.9100,2414873,0
20070313,57.5900,57.5900,52.7300,53.7200,2648111,0
20070314,53.5300,55.4500,51.4000,54.3800,2064553,0
20070315,55.6500,55.6500,52.1000,52.6900,1657891,0
20070316,52.5000,52.8300,50.2300,51.5200,1734447,0
20070319,53.2100,53.7500,52.0000,52.5000,1144314,0
20070320,52.2600,54.1400,51.7101,52.3000,1159566,0
20070321,52.3000,54.7100,52.0000,54.5000,1406568,0
20070322,55.4000,59.2300,55.2800,58.1400,3087969,0
20070323,58.9800,59.8800,57.9000,58.2200,1646872,0
20070326,59.0800,59.5800,55.7400,57.0100,1364309,0
20070327,58.1800,58.4800,54.9100,55.4800,2644256,0
20070328,54.9000,55.6501,54.0600,54.5000,1421864,0
20070329,55.8700,56.2500,53.0000,53.2000,1893684,0
20070330,53.2000,54.0200,51.5000,52.0000,1335266,0
20070402,52.1000,55.9000,52.0800,55.9000,1701810,0
20070403,55.8800,56.7500,54.4900,55.7500,1176896,0
20070404,55.4300,57.7000,55.0100,57.2900,1205286,0
20070405,57.0900,58.4600,56.3000,56.4600,883267,0
20070409,57.4300,58.4000,56.0000,57.5100,959181,0
20070410,57.4700,61.2000,57.0400,60.1500,2578456,0
20070411,61.2800,63.1900,60.7200,62.2300,3056495,0
20070412,61.7300,63.5000,60.8500,62.9100,1351958,0
20070413,63.2900,63.7000,60.9000,61.2900,1646377,0
20070416,61.8700,65.1300,61.3600,64.9600,2147708,0
20070417,64.2400,64.2400,62.1200,62.3900,2005687,0
20070418,61.8000,63.2400,60.6300,61.7600,1711356,0
20070419,60.5500,62.3000,59.2800,60.1700,1530563,0
20070420,61.9200,62.0000,59.9300,60.9100,1158849,0
20070423,61.1600,64.0000,61.0200,63.1400,1369788,0
20070424,63.6700,64.1000,62.2000,63.6700,1053789,0
20070425,64.0000,65.5700,63.1100,64.9600,1731860,0
20070426,65.0600,65.5600,63.4800,63.9500,1094281,0
20070427,63.0000,63.7388,61.7700,63.6300,821246,0
20070430,63.6800,63.8000,59.4701,59.9900,1576381,0
20070501,58.6200,58.9900,54.2000,55.5500,3319121,0
20070502,56.5700,59.4900,56.2800,58.8800,2191491,0
20070503,59.2800,59.6200,57.1000,57.9500,2068502,0
20070504,61.5900,67.5000,61.4800,66.7000,6100900,0
20070507,66.9500,70.4400,65.7700,69.6300,4185417,0
20070508,68.9600,70.0900,67.9200,68.8200,2037959,0
20070509,68.0100,69.0000,67.6800,68.5600,1422449,0
20070510,68.0000,72.4800,67.9500,68.7000,2976648,0
20070511,69.7000,69.9500,66.9200,67.8700,2056957,0
20070514,67.9600,68.9500,64.9900,65.2800,1938848,0
20070515,64.9300,66.7000,62.9800,63.3700,2245531,0
20070516,63.6200,64.8200,61.9000,64.1700,2284962,0
20070517,63.8600,65.9800,63.5000,65.1700,1667781,0
20070518,63.7600,64.4000,62.3064,63.4200,3615526,0
20070521,62.5000,63.8000,61.4800,62.0300,2553331,0
20070522,62.0300,65.6300,61.4300,64.9000,2567632,0
20070523,65.8400,67.7100,65.1602,65.8800,2455981,0
20070524,66.0200,67.4200,64.2500,65.0000,1783636,0
20070525,65.5600,66.8500,65.3000,66.7200,984301,0
20070529,67.1000,67.5700,65.3600,67.1000,1281278,0
20070530,65.9500,68.5000,65.3900,68.3000,1494517,0
20070531,68.8200,69.1100,67.0000,67.9700,1893350,0
20070601,68.5500,68.6400,67.3300,68.1700,588286,0
20070604,67.3400,69.8900,67.2240,68.7800,1167205,0
20070605,68.7400,71.8500,68.3200,71.8300,1708174,0
20070606,71.5000,73.2600,70.0500,71.3600,1954524,0
20070607,71.7100,72.0300,69.4200,70.5400,1322197,0
20070608,70.2500,71.6800,69.7500,71.3000,961649,0
20070611,71.2200,72.8500,70.6400,70.8600,1065607,0
20070612,70.0800,71.5200,68.3600,71.0000,2221027,0
20070613,72.0000,74.7300,71.4599,74.3400,1810272,0
20070614,74.7000,76.2200,74.5100,74.9500,1609350,0
20070615,76.2000,78.3300,75.0000,78.1000,1872323,0
