DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010726,4.78,4.80,4.72,4.78,8243200,0
20010727,4.74,4.74,4.61,4.62,324000,0
20010730,4.58,4.64,4.55,4.62,88000,0
20010731,4.66,4.66,4.44,4.52,32153600,0
20010801,4.54,4.57,4.50,4.50,429200,0
20010802,4.50,4.56,4.50,4.55,20496400,0
20010803,4.56,4.56,4.49,4.49,274800,0
20010806,4.46,4.47,4.39,4.40,211200,0
20010807,4.40,4.40,4.31,4.31,8058400,0
20010808,4.31,4.38,4.25,4.25,44172400,0
20010809,4.25,4.25,4.05,4.06,4110800,0
20010810,4.03,4.06,4.00,4.06,20167200,0
20010813,4.07,4.07,4.00,4.00,41200,0
20010814,4.03,4.04,3.95,4.04,65200,0
20010815,4.07,4.26,4.07,4.22,9336000,0
20010816,4.23,4.23,4.19,4.19,28592800,0
20010817,4.19,4.20,4.16,4.16,154800,0
20010820,4.18,4.22,4.18,4.21,324400,0
20010821,4.24,4.24,4.18,4.18,148400,0
20010822,4.18,4.24,4.15,4.16,94400,0
20010823,4.15,4.16,4.11,4.12,16061600,0
20010824,4.11,4.11,4.05,4.05,342000,0
20010827,4.04,4.25,4.04,4.13,298000,0
20010828,4.11,4.11,4.07,4.10,65200,0
20010829,4.10,4.13,4.06,4.11,32134000,0
20010830,4.09,4.09,3.95,4.00,653200,0
20010831,4.01,4.07,4.01,4.07,165600,0
20010903,4.07,4.07,4.07,4.07,0,0
20010904,4.07,4.24,4.07,4.18,12488800,0
20010905,4.17,4.18,4.07,4.13,323600,0
20010906,4.13,4.13,4.02,4.05,752400,0
20010907,4.00,4.00,3.95,3.95,238800,0
20010910,3.94,3.99,3.88,3.89,401200,0
20010911,3.89,3.89,3.89,3.89,0,0
20010917,3.81,3.81,3.40,3.47,21014400,0
20010918,3.45,3.60,3.45,3.56,540400,0
20010919,3.55,3.55,3.46,3.50,348800,0
20010920,3.47,3.59,3.46,3.56,887200,0
20010921,3.54,3.59,3.47,3.50,877200,0
20010924,3.55,3.55,3.47,3.50,279200,0
20010925,3.47,3.47,3.23,3.23,4228400,0
20010926,3.20,3.20,2.83,2.88,578000,0
20010927,2.85,2.95,2.75,2.95,37895200,0
20010928,2.95,2.95,2.88,2.95,613600,0
20011001,2.89,2.89,2.84,2.84,161600,0
20011002,2.84,2.84,2.83,2.83,431600,0
20011003,2.81,2.99,2.79,2.99,541600,0
20011004,2.97,3.11,2.97,3.11,747600,0
20011005,3.13,3.15,2.92,2.92,795600,0
20011008,2.92,3.03,2.92,3.03,240800,0
20011009,3.04,3.04,2.97,3.04,119200,0
20011010,3.05,3.23,3.05,3.17,125200,0
20011011,3.20,3.49,3.20,3.43,116400,0
20011012,3.40,3.40,3.27,3.28,74400,0
20011015,3.28,3.28,3.16,3.16,114000,0
20011016,3.14,3.18,3.11,3.15,4130800,0
20011017,3.17,3.17,3.11,3.13,140800,0
20011018,3.15,3.15,3.10,3.15,998400,0
20011019,3.14,3.16,3.13,3.16,4215200,0
20011022,3.17,3.22,3.17,3.21,14400,0
20011023,3.25,3.29,3.25,3.28,118000,0
20011024,3.28,3.28,3.25,3.26,99600,0
20011025,3.25,3.38,3.25,3.38,136800,0
20011026,3.37,3.44,3.35,3.44,285600,0
20011029,3.42,3.42,3.36,3.38,248400,0
20011030,3.41,3.41,3.34,3.34,240800,0
20011031,3.34,3.41,3.24,3.31,192800,0
20011101,3.25,3.27,3.10,3.25,92400,0
20011102,3.25,3.34,3.25,3.34,65600,0
20011105,3.36,3.45,3.36,3.45,2104000,0
20011106,3.44,3.45,3.41,3.43,538800,0
20011107,3.43,3.43,3.38,3.40,16186000,0
20011108,3.39,3.40,3.39,3.39,308400,0
20011109,3.37,3.42,3.37,3.42,54000,0
20011112,3.45,3.45,3.41,3.41,206800,0
20011113,3.41,3.42,3.40,3.40,63600,0
20011114,3.40,3.40,3.38,3.38,62000,0
20011115,3.34,3.34,3.22,3.25,8788400,0
20011116,3.38,3.38,3.29,3.29,447200,0
20011119,3.29,3.41,3.29,3.40,535200,0
20011120,3.39,3.40,3.31,3.31,12448800,0
20011121,3.33,3.33,3.30,3.30,716000,0
20011122,3.30,3.30,3.30,3.30,0,0
20011123,3.30,3.31,3.30,3.31,130400,0
20011126,3.31,3.31,3.30,3.30,147200,0
20011127,3.28,3.31,3.28,3.28,28907200,0
20011128,3.27,3.30,3.25,3.25,4590000,0
20011129,3.25,3.26,3.20,3.20,1555600,0
20011130,3.12,3.17,3.02,3.15,12728000,0
20011203,3.13,3.13,3.06,3.13,627600,0
20011204,3.10,3.13,3.06,3.13,88024800,0
20011205,3.15,3.35,3.13,3.30,561200,0
20011206,3.31,3.31,3.28,3.28,32222800,0
20011207,3.25,3.35,3.11,3.31,84074400,0
20011210,3.33,3.33,3.28,3.30,15600,0
20011211,3.29,3.33,3.26,3.33,8952400,0
20011212,3.31,3.40,3.31,3.31,76786800,0
