DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20080731,171.3000,176.4000,168.9000,173.4000,245319,0
20080801,173.8500,176.1000,169.0500,171.4500,137482,0
20080804,172.0500,180.6000,169.6500,170.4000,188153,0
20080805,177.4500,178.3500,171.6000,175.0500,165205,0
20080806,174.7500,183.1500,172.2000,181.2000,227064,0
20080807,180.0000,180.0000,175.2000,177.6000,225297,0
20080808,173.2500,184.3500,173.2500,182.8500,189414,0
20080811,182.4000,185.8500,182.1000,183.6000,158135,0
20080812,184.5000,188.7000,182.7000,187.8000,173567,0
20080813,182.8500,184.8000,181.0500,182.4000,174308,0
20080814,181.6500,186.7500,180.7500,186.0000,161661,0
20080815,186.7500,190.9500,185.5500,189.9000,131022,0
20080818,190.8000,192.0000,187.9500,190.2000,157190,0
20080819,187.8000,190.8000,187.8000,189.0000,125174,0
20080820,189.1500,190.6500,186.7500,188.8500,88270,0
20080821,187.5000,191.2500,187.2000,190.6500,137470,0
20080822,189.1500,191.5500,187.5000,189.7500,174903,0
20080825,189.7500,189.9000,185.8500,187.2000,135815,0
20080826,188.7000,191.1000,183.1500,184.8000,123394,0
20080827,185.2500,187.6500,184.0500,185.2500,153300,0
20080828,182.2500,189.7500,180.0000,189.4500,147852,0
20080829,187.9500,190.9500,187.6500,188.5500,170314,0
20080902,188.5500,192.7500,188.5500,191.4000,149399,0
20080903,192.1500,194.1000,191.2500,194.1000,147757,0
20080904,192.6000,193.5000,187.5000,188.1000,516126,0
20080905,184.3500,185.2500,180.9000,181.3500,180665,0
20080908,182.4000,188.2500,181.6500,188.2500,238293,0
20080909,189.4500,191.4000,187.5750,188.5500,468343,0
20080910,187.6500,189.7500,184.3500,184.8000,151361,0
20080911,182.2500,184.9500,180.3000,183.7500,147585,0
20080912,183.0000,185.4000,181.9500,184.2000,154771,0
20080915,180.0000,184.0500,174.7500,174.7500,302626,0
20080916,175.3500,179.4000,171.6000,177.6000,218270,0
20080917,177.0000,177.3000,172.5000,172.8000,291653,0
20080918,172.3500,177.4500,168.3000,176.2500,497172,0
20080919,188.8500,188.8500,167.2500,177.9000,288961,0
20080922,175.5000,177.0000,169.8000,170.8500,148739,0
20080923,171.0000,174.6000,169.6500,169.9500,106349,0
20080924,170.1000,174.1500,168.4500,172.5000,130743,0
20080925,172.5000,179.4750,171.7500,178.5000,134257,0
20080926,175.5000,178.3500,174.3000,177.6000,95595,0
20080929,177.0000,179.7000,168.0000,169.9500,187699,0
20080930,172.2000,174.3000,168.7500,172.5000,178378,0
20081001,171.1500,177.0000,168.7500,172.3500,126553,0
20081002,171.3000,174.7500,166.8000,167.1000,132348,0
20081003,167.7000,173.8500,165.4500,167.2500,304871,0
20081006,162.6000,164.7000,150.9000,155.5500,342838,0
20081007,157.6500,158.4000,146.4000,147.4500,292569,0
20081008,144.0000,147.1740,137.7000,137.7000,349436,0
20081009,142.3500,142.3500,130.8000,130.8000,234552,0
20081010,124.8000,128.2500,111.7500,121.9500,422947,0
20081013,131.1000,135.3000,124.0500,135.0000,189804,0
20081014,144.6000,149.2500,136.5000,141.9000,211703,0
20081015,138.4500,141.0000,127.9500,129.1500,138539,0
20081016,129.4500,132.9000,122.2500,131.1000,197115,0
20081017,129.9000,131.5500,126.6000,127.9500,193326,0
20081020,129.6000,137.8500,127.5000,137.2500,218175,0
20081021,137.1000,137.8500,131.2500,131.4000,131220,0
20081022,130.6500,131.1000,120.0000,123.3000,222903,0
20081023,123.3000,124.9500,116.1000,122.1000,203795,0
20081024,114.0000,118.3500,111.1500,115.6500,354913,0
20081027,115.0500,120.7500,112.8000,115.6500,264830,0
20081028,117.6000,119.8500,113.2500,117.7500,258995,0
20081029,118.3500,120.6000,111.7500,111.9000,260936,0
20081030,114.6000,116.2500,103.3500,106.5000,355958,0
20081031,105.6000,117.4500,105.1500,114.1500,332930,0
20081103,116.4000,134.7000,114.4500,132.6000,413869,0
20081104,134.4000,140.8500,130.3500,138.9000,260317,0
20081105,137.4000,141.7500,133.6500,133.9500,415968,0
