DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20150623,14.00,14.25,13.75,14.25,61386,0
20150624,14.06,14.30,14.06,14.30,55062,0
20150625,13.93,14.69,13.50,13.95,318471,0
20150626,13.95,15.05,13.35,14.90,13419902,0
20150629,14.37,14.75,13.72,14.13,8919667,0
20150630,14.02,14.13,13.42,13.99,5882273,0
20150701,13.89,13.97,13.13,13.32,2666249,0
20150702,13.13,13.18,11.86,12.40,4234123,0
20150706,11.64,12.12,10.75,11.78,6580505,0
20150707,11.55,11.94,11.35,11.44,6479857,0
20150708,11.35,11.43,10.84,11.30,4891882,0
20150709,11.36,12.46,11.13,12.06,4473456,0
20150710,12.56,13.53,12.33,13.37,3180763,0
20150713,13.46,14.03,13.02,13.69,3152027,0
20150714,13.45,13.50,12.76,13.20,3671353,0
20150715,13.20,13.43,13.09,13.21,2393896,0
20150716,13.25,13.90,13.24,13.73,2011403,0
20150717,13.72,13.99,13.64,13.92,1595864,0
20150720,13.94,14.24,13.90,14.17,2560715,0
20150721,13.92,14.08,13.21,13.31,2642219,0
20150722,13.34,13.76,12.72,12.79,2479111,0
20150723,12.92,13.34,12.55,13.05,2362626,0
20150724,13.28,14.18,13.02,13.64,2886294,0
20150727,13.56,13.99,13.52,13.63,2343523,0
20150728,13.75,13.78,13.17,13.31,1954272,0
20150729,12.85,13.81,12.80,13.35,2375846,0
20150730,13.14,13.36,12.63,12.83,2891632,0
20150731,12.95,13.15,12.55,12.65,3431213,0
20150803,12.84,13.13,12.11,12.54,2712745,0
20150804,12.79,13.06,12.15,12.31,1409338,0
20150805,12.32,12.52,12.03,12.08,1548398,0
20150806,12.07,12.08,11.73,11.99,1771708,0
20150807,11.96,12.84,11.96,12.81,919180,0
20150810,12.95,13.17,12.73,12.97,1280560,0
20150811,12.90,12.96,12.44,12.90,1966007,0
20150812,12.80,13.60,12.18,13.26,1964415,0
20150813,13.27,13.75,13.06,13.48,1421368,0
20150814,13.42,13.42,12.82,13.04,1260868,0
20150817,13.03,13.66,13.00,13.51,1800238,0
20150818,13.45,13.62,13.18,13.50,1004213,0
20150819,13.40,13.46,12.82,13.18,941139,0
20150820,13.03,13.05,12.59,12.76,924461,0
