DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.06,12.06,11.96,11.98,19566,0
20010103,11.81,12.21,11.81,12.17,18819,0
20010104,12.13,12.13,11.98,12.04,7206,0
20010105,12.08,12.19,11.96,12.15,0,0
20010108,12.15,12.38,12.15,12.35,5820,0
20010109,12.35,12.40,12.33,12.35,0,0
20010110,12.38,12.50,12.35,12.48,2979,0
20010111,12.50,12.79,12.48,12.63,11175,0
20010112,12.60,12.60,12.52,12.58,0,0
20010115,12.58,12.58,12.58,12.58,0,0
20010116,12.58,12.63,12.58,12.60,3555,0
20010117,12.60,12.65,12.54,12.60,4491,0
20010118,12.56,12.58,12.46,12.48,0,0
20010119,12.50,12.65,12.48,12.54,0,0
20010122,12.54,12.54,12.54,12.54,0,0
20010123,12.56,12.63,12.56,12.58,1044,0
20010124,12.56,12.69,12.50,12.54,7431,0
20010125,12.52,12.65,12.52,12.65,8595,0
20010126,12.67,12.71,12.58,12.60,5511,0
20010129,13.11,13.11,13.02,13.07,322500,0
20010130,13.10,13.32,12.67,13.13,0,0
20010131,12.65,12.69,12.62,12.67,0,0
20010201,12.67,12.67,12.52,12.60,421500,0
20010202,12.60,12.63,12.50,12.54,0,0
20010205,12.54,12.54,12.46,12.46,493200,0
20010206,12.46,12.46,12.12,12.15,0,0
20010207,11.33,11.67,11.33,11.46,2337900,0
20010208,11.52,11.53,11.45,11.47,0,0
20010209,11.47,11.47,11.36,11.36,228300,0
20010212,11.36,11.37,11.26,11.28,0,0
20010213,11.37,11.37,11.30,11.33,353400,0
20010214,11.33,11.33,11.21,11.22,0,0
20010215,11.26,11.37,11.26,11.37,761700,0
20010216,11.33,11.35,11.30,11.33,553500,0
20010219,11.33,11.33,11.33,11.33,0,0
20010220,11.33,11.33,11.17,11.22,264300,0
20010221,11.23,11.23,11.03,11.17,6380100,0
20010222,11.17,11.17,11.03,11.10,300300,0
20010223,11.08,11.17,11.03,11.11,473700,0
20010226,11.11,11.30,11.00,11.09,273000,0
20010227,11.09,11.17,11.03,11.16,250200,0
20010228,11.13,11.25,11.08,11.25,166800,0
20010301,11.22,11.43,11.22,11.36,291600,0
20010302,11.36,11.45,11.35,11.44,448500,0
20010305,11.44,11.47,11.40,11.42,319500,0
20010306,11.43,11.45,11.37,11.42,180000,0
20010307,11.42,11.45,11.42,11.43,76200,0
20010308,11.43,11.52,11.42,11.52,258600,0
20010309,11.52,11.52,11.40,11.48,754800,0
20010312,11.49,11.49,11.40,11.41,3374100,0
20010313,11.42,11.43,11.34,11.43,251700,0
20010314,11.38,11.49,11.35,11.47,24388500,0
20010315,11.47,11.50,11.47,11.48,9389700,0
20010316,11.48,11.48,11.38,11.38,236700,0
20010319,11.37,11.48,11.35,11.47,249900,0
20010320,11.47,11.65,11.39,11.53,219900,0
20010321,11.54,11.57,11.33,11.35,6229800,0
20010322,11.35,11.44,11.25,11.35,793200,0
20010323,11.30,11.56,11.30,11.50,213000,0
20010326,11.50,11.83,11.50,11.80,348600,0
20010327,11.79,11.79,11.55,11.66,589500,0
20010328,11.63,11.67,11.54,11.60,3597300,0
20010329,11.60,11.62,11.57,11.61,588600,0
20010330,11.63,11.76,11.49,11.65,3436200,0
20010402,11.70,11.77,11.67,11.72,438000,0
20010403,11.70,11.70,11.55,11.63,1991100,0
20010404,11.51,11.63,11.40,11.48,2303700,0
20010405,11.49,11.66,11.49,11.59,858300,0
20010406,11.59,11.60,11.54,11.54,167400,0
20010409,11.54,11.65,11.54,11.60,3332700,0
20010410,11.59,11.63,11.52,11.54,290400,0
20010411,11.52,11.52,11.30,11.37,189300,0
20010412,11.34,11.34,11.25,11.32,141000,0
20010416,11.43,11.43,11.35,11.38,6521700,0
20010417,11.40,11.45,11.33,11.45,146100,0
20010418,11.45,11.55,11.42,11.54,632100,0
20010419,11.54,11.75,11.54,11.63,486000,0
20010420,11.67,11.67,11.58,11.61,266400,0
20010423,11.68,11.68,11.43,11.51,229800,0
20010424,11.59,11.63,11.48,11.58,768300,0
20010425,11.68,11.75,11.61,11.74,751800,0
20010426,11.74,11.91,11.74,11.82,834300,0
20010427,11.85,12.03,11.83,11.97,401400,0
20010430,11.90,12.05,11.90,12.03,266100,0
20010501,12.04,12.09,12.01,12.07,344700,0
20010502,12.07,12.07,11.87,11.95,237600,0
20010503,12.02,12.07,11.96,12.07,3303600,0
