DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.00,22.41,21.91,22.00,0,0
20010103,22.13,22.19,21.38,21.59,100536,0
20010104,21.41,21.44,20.56,20.94,0,0
20010105,20.84,21.47,20.75,21.41,21698,0
20010108,21.09,21.59,21.09,21.56,11914,0
20010109,21.56,21.59,21.13,21.56,15338,0
20010110,21.56,21.56,21.16,21.34,12690,0
20010111,21.34,21.34,20.75,20.75,25888,0
20010112,20.66,20.66,20.19,20.50,21356,0
20010115,20.50,20.50,20.50,20.50,0,0
20010116,20.50,21.06,20.50,21.00,18262,0
20010117,20.75,20.84,20.56,20.63,97160,0
20010118,20.56,20.72,20.44,20.56,12792,0
20010119,20.25,20.28,20.06,20.28,23704,0
20010122,20.28,20.28,20.28,20.28,0,0
20010123,20.13,20.53,20.13,20.38,17274,0
20010124,20.38,20.56,20.06,20.19,29730,0
20010125,20.19,20.44,20.03,20.25,63326,0
20010126,20.38,20.59,20.16,20.28,37886,0
20010129,20.64,20.78,20.31,20.48,0,0
20010130,20.48,21.45,20.00,21.14,3888000,0
20010131,20.38,21.18,20.28,20.95,2079800,0
20010201,21.08,21.08,20.75,20.94,1290000,0
20010202,21.00,21.00,20.70,20.75,789000,0
20010205,20.92,21.21,20.78,21.07,1135600,0
20010206,21.19,21.95,21.00,21.67,2845200,0
20010207,21.55,22.40,21.51,22.13,2907200,0
20010208,22.13,22.50,22.00,22.10,2410400,0
20010209,21.88,22.23,21.58,21.60,2052800,0
20010212,21.60,21.80,21.45,21.74,1302600,0
20010213,21.86,22.40,21.60,22.16,2638200,0
20010214,21.96,22.04,21.65,21.88,0,0
20010215,21.66,22.00,21.66,21.98,1802000,0
20010216,21.99,22.19,21.86,22.08,1084800,0
20010219,22.08,22.08,22.08,22.08,0,0
20010220,22.00,22.68,21.97,22.31,2349600,0
20010221,22.49,22.49,22.02,22.15,1488200,0
20010222,22.00,22.12,21.51,21.70,1681600,0
20010223,21.58,21.88,21.41,21.74,1847800,0
20010226,21.75,22.10,21.65,21.97,5053400,0
20010227,22.00,22.09,21.60,22.04,2351800,0
20010228,22.04,22.45,22.04,22.42,12008200,0
20010301,22.42,22.55,22.35,22.52,8023400,0
20010302,22.65,22.91,22.49,22.82,1912400,0
20010305,22.75,23.17,22.49,23.07,2115000,0
20010306,22.92,22.92,22.43,22.57,1484600,0
20010307,22.33,22.60,22.10,22.55,1627200,0
20010308,22.25,22.54,22.13,22.40,11223800,0
20010309,22.45,22.50,22.26,22.30,1262400,0
20010312,22.13,22.42,22.00,22.24,1021400,0
20010313,22.11,22.11,21.86,22.07,671000,0
20010314,21.92,21.95,21.34,21.65,1896000,0
