DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,52.00,53.50,47.00,47.38,104889,0
20010103,45.50,57.38,45.50,55.50,190085,0
20010104,56.81,59.50,53.25,55.25,122066,0
20010105,55.13,55.38,49.56,50.13,93903,0
20010108,50.50,53.06,49.38,52.81,93214,0
20010109,53.06,54.13,51.13,52.75,81162,0
20010110,50.75,57.13,50.63,57.00,121894,0
20010111,56.69,59.94,55.13,59.00,109115,0
20010112,59.25,61.88,58.44,60.88,107828,0
20010115,60.88,60.88,60.88,60.88,0,0
20010116,60.88,61.50,58.25,59.94,69561,0
20010117,64.63,65.69,63.56,63.94,120780,0
20010118,64.75,70.25,63.75,68.88,108499,0
20010119,70.00,71.19,68.31,69.00,106307,0
20010122,69.00,69.00,69.00,69.00,0,0
20010123,67.06,70.00,66.75,70.00,88465,0
20010124,69.75,72.19,68.75,70.13,87042,0
20010125,62.00,62.25,56.25,56.25,467720,0
20010126,55.88,56.81,51.00,55.00,217097,0
20010129,58.41,60.09,57.00,59.34,9389700,0
20010130,59.34,60.09,57.00,58.25,6422100,0
20010131,58.99,59.92,56.50,56.72,8341300,0
20010201,56.54,57.15,53.82,54.50,9343800,0
20010202,54.89,55.22,51.08,51.08,14195100,0
20010205,51.09,52.25,49.50,51.76,10137800,0
20010206,51.90,52.30,49.58,49.75,7829200,0
20010207,49.10,49.21,45.50,46.50,13214000,0
20010208,47.20,48.00,42.87,43.05,15691900,0
20010209,43.05,43.15,40.08,40.96,15684300,0
20010212,39.75,41.89,39.27,41.70,12066600,0
20010213,42.30,43.33,39.25,39.55,11142100,0
20010214,39.55,40.00,36.75,39.00,28801800,0
20010215,41.19,44.50,41.15,42.01,24253800,0
20010216,35.00,37.50,30.75,33.00,48090800,0
20010219,33.00,33.00,33.00,33.00,0,0
20010220,33.20,33.98,30.00,30.05,25004700,0
20010221,30.05,31.70,29.55,30.30,17683700,0
20010222,30.95,32.49,29.36,31.55,18539400,0
20010223,31.00,33.50,30.41,33.10,16659700,0
20010226,33.75,33.75,32.00,32.47,11621600,0
20010227,31.90,31.90,28.60,28.65,17812100,0
20010228,28.93,29.85,26.60,27.10,19740000,0
20010301,27.01,30.51,26.90,30.25,16774800,0
20010302,29.31,30.00,27.40,27.70,16595700,0
20010305,28.50,29.55,28.25,29.55,9407900,0
20010306,30.75,32.50,30.74,31.04,15717400,0
20010307,31.89,33.00,29.71,30.10,9883800,0
20010308,30.70,30.97,28.15,28.50,11302000,0
20010309,27.60,28.10,26.90,27.01,12769000,0
20010312,24.60,34.06,23.20,23.43,28262100,0
