DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020227,9.68,9.68,9.50,9.57,2878000,0
20020228,9.60,9.73,9.55,9.55,681800,0
20020301,9.52,9.77,9.49,9.69,478400,0
20020304,9.73,9.90,9.71,9.85,794800,0
20020305,9.80,9.82,9.58,9.63,861200,0
20020306,9.62,9.72,9.60,9.68,329200,0
20020307,9.68,10.30,9.68,10.21,688400,0
20020308,10.15,10.50,10.15,10.45,394200,0
20020311,10.40,10.70,10.38,10.59,808400,0
20020312,10.50,10.95,10.50,10.60,1454800,0
20020313,10.60,10.75,10.32,10.51,1266200,0
20020314,10.51,10.60,10.42,10.50,424200,0
20020315,10.50,10.55,9.95,10.18,427000,0
20020318,10.20,10.20,9.52,9.65,551800,0
20020319,9.73,9.75,9.30,9.35,807400,0
20020320,9.27,9.27,8.55,9.01,2309000,0
20020321,9.01,9.63,9.01,9.38,1156600,0
20020322,9.38,9.80,9.26,9.65,2606200,0
20020325,9.75,9.90,9.59,9.86,1892800,0
20020326,10.00,10.05,9.89,9.99,444000,0
20020327,9.99,10.50,9.95,10.30,342400,0
20020328,10.25,10.30,10.05,10.10,433200,0
20020401,10.02,10.02,9.50,9.52,470000,0
20020402,9.50,9.50,9.18,9.32,524600,0
20020403,9.32,9.40,9.22,9.30,141800,0
20020404,9.27,9.52,9.27,9.48,190800,0
20020405,9.48,9.70,9.24,9.24,209400,0
20020408,9.30,9.30,8.89,9.15,389600,0
20020409,9.10,9.60,9.10,9.48,890600,0
20020410,9.45,9.52,9.38,9.46,321600,0
20020411,9.45,9.45,9.25,9.25,361000,0
20020412,9.32,9.32,9.03,9.13,309000,0
20020415,9.13,9.28,9.10,9.28,389800,0
20020416,9.38,9.60,9.38,9.50,306400,0
20020417,9.63,10.13,9.63,9.90,4299600,0
20020418,9.90,10.07,9.87,9.90,246200,0
20020419,9.90,10.18,9.90,10.13,161600,0
20020422,10.07,10.07,9.90,10.00,189200,0
20020423,9.98,10.13,9.75,9.77,206200,0
20020424,9.76,9.81,9.70,9.70,266200,0
20020425,9.70,9.70,9.59,9.70,431800,0
20020426,9.65,9.79,9.63,9.63,413400,0
20020429,9.57,9.57,9.40,9.45,62000000,0
20020430,9.38,9.65,9.35,9.52,1723600,0
20020501,9.65,10.25,9.65,10.25,418000,0
20020502,10.20,10.49,10.20,10.41,829000,0
20020503,10.40,10.40,10.28,10.40,115800,0
20020506,10.40,11.30,10.40,10.88,2471000,0
20020507,10.82,11.00,10.73,10.75,2087400,0
20020508,10.85,11.25,10.85,11.20,149000,0
20020509,11.25,11.60,11.25,11.43,197800,0
20020510,11.50,11.72,11.00,11.03,145400,0
20020513,11.03,11.03,10.45,10.75,6443800,0
20020514,11.00,11.20,10.40,10.40,22392400,0
20020515,10.35,10.50,9.93,9.93,1457400,0
20020516,9.93,10.35,9.93,10.30,54796600,0
20020517,10.38,10.75,10.38,10.61,1087800,0
20020520,10.61,10.61,10.61,10.61,0,0
20020521,11.25,11.32,10.23,10.25,12478400,0
20020522,10.23,10.75,10.15,10.63,2359200,0
20020523,10.63,11.35,10.63,11.20,483200,0
20020524,11.17,11.85,11.17,11.73,553000,0
20020527,11.73,11.73,11.73,11.73,0,0
20020528,11.77,12.15,11.65,12.10,2396400,0
20020529,12.10,12.10,11.75,11.80,1170600,0
20020530,11.80,11.80,11.57,11.63,26643200,0
20020531,11.63,12.15,11.63,12.10,647000,0
20020603,12.10,12.10,11.57,11.63,10290800,0
20020604,11.60,11.95,11.45,11.72,4414800,0
20020605,11.75,11.84,11.56,11.63,367000,0
20020606,11.63,11.82,11.60,11.63,351600,0
20020607,11.50,11.62,11.28,11.48,2358000,0
20020610,11.48,11.65,11.15,11.25,202600,0
20020611,11.31,11.38,11.26,11.38,82600,0
20020612,11.26,11.26,10.91,11.20,77200,0
20020613,11.20,11.55,11.05,11.48,4238600,0
20020614,11.47,11.47,10.68,11.26,4133400,0
20020617,11.35,11.73,11.35,11.51,2214400,0
20020618,11.51,11.57,11.15,11.27,70400,0
