DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040525,19.50,19.51,18.75,19.50,39915300,0
20040526,19.50,19.53,19.50,19.50,8131800,0
20040527,19.50,19.51,19.49,19.50,10778100,0
20040528,19.50,19.52,19.50,19.50,5758600,0
20040601,19.50,19.57,19.01,19.53,5800900,0
20040602,19.54,19.65,19.39,19.47,2931200,0
20040603,19.46,19.55,19.25,19.51,2040900,0
20040604,19.59,20.04,19.51,19.95,2832600,0
20040607,20.02,20.38,20.00,20.37,3253200,0
20040608,20.34,20.34,19.90,20.09,1971800,0
20040609,19.95,20.08,19.90,20.05,1038900,0
20040610,20.10,20.19,20.05,20.12,1395200,0
20040614,20.10,20.18,20.00,20.15,1161400,0
20040615,20.16,20.17,20.00,20.13,1390100,0
20040616,20.07,20.27,20.07,20.23,1007500,0
20040617,20.18,21.10,20.15,20.90,2765300,0
20040618,20.75,21.77,20.50,21.70,3918000,0
20040621,21.60,21.65,21.35,21.44,2146600,0
20040622,21.40,21.60,21.00,21.49,1168400,0
20040623,21.39,21.74,21.15,21.74,1261300,0
20040624,21.60,22.25,21.40,21.95,3988000,0
20040625,21.95,22.20,21.82,22.20,6939600,0
20040628,22.15,22.49,21.97,22.36,2912500,0
20040629,22.48,22.88,22.25,22.57,3135200,0
20040630,22.60,23.04,22.45,22.95,4063000,0
20040701,22.94,22.95,22.56,22.65,1658400,0
20040702,22.55,22.56,21.95,22.30,739400,0
20040706,22.25,22.35,21.89,22.22,1148400,0
20040707,22.27,22.32,22.14,22.30,1051100,0
20040708,22.25,22.33,21.76,21.85,911400,0
20040709,22.00,22.00,21.50,21.89,1146500,0
20040712,21.84,22.13,21.79,22.10,954800,0
20040713,22.24,23.19,22.23,23.00,2330600,0
20040714,22.90,23.30,22.68,22.79,1535400,0
20040715,22.80,22.90,22.72,22.84,570800,0
20040716,22.90,23.05,22.43,22.48,770800,0
20040719,22.50,22.80,22.45,22.80,837500,0
20040720,23.00,23.24,22.62,23.15,1668700,0
20040721,23.15,23.50,23.03,23.20,1315700,0
20040722,23.20,23.26,22.83,23.12,979800,0
20040723,23.20,23.25,22.87,23.05,1063500,0
20040726,22.97,23.17,22.72,22.99,748600,0
20040727,22.99,23.03,22.38,22.60,1296900,0
20040728,22.73,22.76,22.45,22.52,1213900,0
20040729,22.46,22.80,22.45,22.68,517600,0
20040730,22.65,22.90,22.55,22.74,591700,0
20040802,22.70,22.85,22.50,22.72,391200,0
20040803,22.70,22.84,22.55,22.76,936500,0
20040804,22.76,22.99,22.35,22.45,719700,0
20040805,22.35,22.40,21.75,21.83,877800,0
20040806,21.68,21.94,21.19,21.44,1280900,0
20040809,21.50,21.60,21.29,21.41,666700,0
20040810,21.46,21.55,21.00,21.20,1137000,0
20040811,21.10,21.28,20.75,21.05,3912300,0
20040812,21.05,21.05,20.81,20.98,763900,0
20040813,20.99,21.14,20.95,21.07,769300,0
20040816,21.25,21.48,21.19,21.46,907300,0
20040817,21.52,21.70,21.40,21.47,321700,0
