DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20140327,568.0000,568.0000,552.9200,558.4600,7300,0
20140328,561.2000,566.4300,558.6700,559.9900,30110,0
20140331,566.8900,567.0000,556.9300,556.9700,6535,0
20140401,558.7100,568.4500,558.7100,567.1600,5144,0
20140402,599.9900,604.8300,562.1900,567.0000,110339,0
20140403,569.8500,587.2800,564.1300,569.7400,0,0
20140404,574.6500,577.7700,543.0000,543.1400,5039782,0
20140407,540.7400,548.4800,527.1500,538.1500,3410860,0
20140408,542.6000,555.0000,541.6100,554.9000,2321123,0
20140409,559.6200,565.3700,552.9500,564.1400,2562311,0
20140410,565.0000,565.0000,539.9000,540.9500,3131030,0
20140411,532.5500,540.0000,526.5300,530.6000,3076199,0
20140414,538.2500,544.1000,529.5610,532.5200,1956030,0
20140415,536.8200,538.4500,518.4601,536.4400,3020495,0
20140416,543.0000,557.0000,540.0000,556.5400,2777413,0
20140417,548.8100,549.5000,531.1500,536.1000,5351847,0
20140421,536.1000,536.7000,525.6000,528.6200,1993387,0
20140422,528.6400,537.2300,527.5100,534.8100,1821467,0
20140423,533.7900,533.8700,526.2500,526.9400,1489215,0
20140424,530.0700,531.6500,522.1200,525.1600,1384079,0
20140425,522.5100,524.7000,515.4200,516.1800,1507518,0
20140428,517.1800,518.6000,502.8000,517.1500,2451581,0
20140429,516.9000,529.4600,516.3200,527.7000,2109345,0
20140430,527.6000,528.0000,522.5200,526.6600,1280758,0
20140501,527.1100,532.9300,523.8800,531.3500,1465909,0
20140502,533.7600,533.9999,525.6100,527.9300,1242725,0
20140505,524.8200,528.9000,521.3200,527.8100,751270,0
20140506,525.2300,526.8100,515.0600,515.1400,1191897,0
20140507,515.7900,516.6800,503.3000,509.9600,2556461,0
20140508,508.4600,517.2300,506.4500,511.0000,1586803,0
20140509,510.7500,519.9000,504.2000,518.7300,1967924,0
20140512,523.5100,530.1900,519.0100,529.9200,1485865,0
20140513,530.8900,536.0700,529.5100,533.0900,1219499,0
20140514,533.0000,533.0000,525.2900,526.6500,866850,0
20140515,525.7000,525.8700,517.4200,519.9800,1276371,0
20140516,521.3900,521.8000,515.4400,520.6300,1136755,0
20140519,519.7000,529.7800,517.5830,528.8600,953154,0
20140520,529.7400,536.2300,526.3000,529.7700,1352400,0
20140521,532.9000,539.1828,531.9100,538.9400,879201,0
20140522,541.1300,547.5999,540.7800,545.0600,1096362,0
20140523,547.2600,553.6400,543.7000,552.7000,1487171,0
20140527,556.0000,566.0000,554.3500,565.9500,1595119,0
20140528,564.5700,567.8400,561.0000,561.6800,1236917,0
20140529,563.3500,564.0000,558.7100,560.0800,970189,0
20140530,560.8000,561.3500,555.9100,559.8900,1212421,0
20140602,560.7000,560.9000,545.7300,553.9300,1054764,0
20140603,550.9900,552.3400,542.5500,544.9400,1428880,0
20140604,541.5000,548.6100,538.7500,544.6600,1387012,0
20140605,546.4000,554.9500,544.4500,553.9000,1254119,0
20140606,558.0600,558.0600,548.9300,556.3300,1348007,0
20140609,557.1500,562.9000,556.0400,562.1200,1096821,0
20140610,560.5100,563.6000,557.9000,560.5500,1036257,0
20140611,558.0000,559.8800,555.0201,558.8400,647176,0
20140612,557.3000,557.9900,548.4600,551.3500,1085539,0
20140613,552.2600,552.3000,545.5600,551.7600,922149,0
20140616,549.2600,549.6200,541.5200,544.2800,1246816,0
20140617,544.2000,545.3200,539.3300,543.0100,1075970,0
20140618,544.8600,553.5600,544.0000,553.3700,1284458,0
20140619,554.2400,555.0000,548.5100,554.9000,1919218,0
20140620,556.8500,557.5800,550.3915,556.3600,3065746,0
20140623,555.1500,565.0000,554.2500,564.9500,1160594,0
20140624,565.1900,572.6460,561.0100,564.6200,1640835,0
20140625,565.2600,579.9600,565.2200,578.6500,1462730,0
20140626,581.0000,582.4500,571.8500,576.0000,1302062,0
20140627,577.1800,579.8700,573.8000,577.2400,1452984,0
20140630,578.6600,579.5700,574.7500,575.2800,952205,0
20140701,578.3200,584.4000,576.6500,582.6700,1076603,0
20140702,583.3500,585.4399,580.3900,582.3350,755547,0
20140703,583.3500,585.0100,580.9200,584.7300,516530,0
20140707,583.7600,586.4299,579.5900,582.2500,728991,0
20140708,577.6600,579.5284,566.1350,571.0900,1352657,0
20140709,571.5800,576.7200,569.3760,576.0800,798497,0
20140710,565.9100,576.5900,565.0100,571.1000,981684,0
20140711,571.9100,580.8500,571.4200,579.1800,1267818,0
