DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,26.25,27.00,26.19,26.44,14721,0
20010103,26.44,27.25,25.44,26.94,6110,0
20010104,26.81,27.44,26.19,27.13,0,0
20010105,27.25,27.25,26.25,26.63,6452,0
20010108,26.38,26.63,25.50,26.56,0,0
20010109,26.25,26.94,26.06,26.69,0,0
20010110,26.44,26.63,25.56,26.38,34865,0
20010111,26.19,26.75,25.31,26.13,0,0
20010112,25.81,26.38,25.69,26.31,2315,0
20010115,26.31,26.31,26.31,26.31,0,0
20010116,26.31,26.38,25.75,26.13,23089,0
20010117,26.13,26.44,25.94,26.06,0,0
20010118,25.81,25.94,25.44,25.50,5571,0
20010119,25.63,25.75,24.88,25.63,32882,0
20010122,25.63,25.63,25.63,25.63,0,0
20010123,24.81,25.44,24.75,24.88,4402,0
20010124,24.75,25.31,24.69,25.13,0,0
20010125,25.00,25.44,24.63,25.13,4058,0
20010126,25.19,25.19,24.63,24.88,4612,0
20010129,26.78,26.97,26.03,26.28,0,0
20010130,26.50,27.09,24.84,25.00,0,0
20010131,25.00,25.48,24.90,25.36,554400,0
20010201,25.61,25.61,25.21,25.29,324300,0
20010202,25.45,25.55,25.10,25.31,608500,0
20010205,25.50,25.86,25.43,25.58,329600,0
20010206,25.58,26.00,25.57,25.87,387700,0
20010207,26.40,26.40,26.06,26.25,547800,0
20010208,26.26,26.85,26.15,26.37,832800,0
20010209,26.60,26.60,26.13,26.21,345300,0
20010212,26.20,26.55,26.19,26.43,376800,0
20010213,26.50,26.87,26.35,26.77,228000,0
20010214,26.65,27.00,26.48,26.70,0,0
20010215,26.68,27.35,26.56,27.16,312700,0
20010216,27.05,27.40,27.05,27.30,0,0
20010219,27.30,27.30,27.30,27.30,0,0
20010220,27.06,28.13,27.06,28.06,11361800,0
20010221,27.86,28.45,27.86,28.10,453100,0
20010222,28.10,28.10,27.05,27.48,305600,0
20010223,27.63,27.92,26.66,26.97,426200,0
20010226,27.10,27.63,27.05,27.45,163800,0
20010227,27.45,27.71,27.15,27.19,450500,0
20010228,27.29,27.45,26.85,26.96,355600,0
20010301,26.71,27.10,26.50,26.87,293700,0
