DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,25.31,25.94,25.00,25.44,28770,0
20010103,25.44,30.63,25.38,30.31,134478,0
20010104,29.38,30.75,29.00,29.50,152583,0
20010105,29.00,29.19,27.00,27.50,51158,0
20010108,27.19,27.56,26.81,27.13,455322,0
20010109,27.31,28.31,27.25,27.88,0,0
20010110,27.81,28.00,27.44,27.88,20070,0
20010111,27.81,29.44,27.00,28.88,42850,0
20010112,28.69,29.88,28.25,29.50,256002,0
20010115,29.50,29.50,29.50,29.50,0,0
20010116,29.13,29.94,29.00,29.38,374529,0
20010117,29.50,29.75,27.94,28.19,27260,0
20010118,28.25,28.50,27.00,27.38,59089,0
20010119,26.00,26.56,25.75,26.00,44658,0
20010122,26.00,26.00,26.00,26.00,0,0
20010123,29.13,29.88,29.06,29.44,37402,0
20010124,30.50,31.88,30.00,30.00,104919,0
20010125,30.63,33.00,30.38,32.13,85799,0
20010126,32.13,32.75,31.44,31.88,37091,0
20010129,33.09,33.22,32.00,32.53,5992800,0
20010130,32.00,34.75,32.00,33.91,3310600,0
20010131,32.75,34.00,32.30,32.70,3813400,0
20010201,32.60,33.25,32.00,33.00,17426400,0
20010202,33.35,33.40,31.60,32.12,2878700,0
20010205,31.50,31.70,29.80,30.65,5807800,0
20010206,30.64,30.64,29.91,30.00,4012800,0
20010207,29.75,30.00,29.42,29.56,9012200,0
20010208,27.60,27.99,25.85,26.61,10414600,0
20010209,28.50,28.80,26.60,27.00,9388900,0
20010212,27.05,28.45,27.05,27.97,3746600,0
20010213,28.75,29.12,28.10,28.80,5827200,0
20010214,29.30,29.30,28.42,28.90,4108500,0
20010215,28.89,39.39,28.76,29.42,2727800,0
20010216,29.03,29.95,29.03,29.44,2120500,0
20010219,29.44,29.44,29.44,29.44,0,0
20010220,29.44,30.14,28.93,29.30,25640100,0
20010221,29.10,29.15,27.37,27.61,2996000,0
20010222,27.30,27.61,26.05,27.54,3699400,0
20010223,27.50,27.90,27.05,27.65,1691200,0
20010226,27.90,29.10,27.71,28.89,1727200,0
20010227,28.70,29.44,28.32,28.47,2439100,0
20010228,28.48,28.56,26.93,27.24,2732900,0
20010301,26.99,29.79,25.70,26.07,3156200,0
20010302,22.60,24.17,22.51,23.81,42017400,0
20010305,24.28,24.53,24.10,24.45,3981900,0
20010306,25.25,25.25,24.20,25.00,2998400,0
20010307,25.00,27.00,25.00,26.15,2578600,0
20010308,25.65,26.85,25.51,26.00,100502000,0
20010309,25.25,25.75,25.00,25.65,3383200,0
20010312,24.55,24.80,23.70,23.77,2784300,0
20010313,23.57,23.72,22.60,23.56,2513800,0
20010314,22.95,23.66,22.58,23.40,2266900,0
20010315,23.70,23.97,22.50,23.75,108467000,0
20010316,22.95,23.50,22.80,23.27,24291300,0
20010319,23.12,24.00,23.12,24.00,2733600,0
20010320,24.00,24.59,22.85,23.06,6813100,0
20010321,23.26,23.57,22.63,23.01,23386500,0
20010322,23.00,23.40,22.20,23.29,4415800,0
20010323,22.61,23.90,22.30,23.84,2799500,0
20010326,23.70,24.33,23.70,24.23,6291600,0
20010327,23.80,24.25,23.26,24.05,40747700,0
20010328,23.40,23.89,22.97,23.55,2093700,0
20010329,23.07,23.97,22.75,23.69,33776700,0
20010330,23.85,23.99,22.95,23.72,9418400,0
20010402,23.76,24.50,23.54,24.42,2896100,0
20010403,25.10,25.32,22.96,23.25,4864200,0
20010404,23.56,24.58,23.40,23.40,3955900,0
20010405,23.75,24.72,23.75,24.50,33508000,0
20010406,24.70,24.99,23.85,24.70,3186100,0
20010409,24.95,24.95,23.54,23.80,3605600,0
20010410,24.05,24.62,22.90,23.06,6136400,0
20010411,23.90,24.30,22.80,23.78,6162500,0
