DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,20.1800,21.7200,20.0500,21.1900,4469488,0
20030501,21.0850,21.5250,20.8950,21.2150,1432756,0
20030502,21.0650,22.5900,21.0550,22.5900,2984130,0
20030505,22.6850,23.0750,22.6350,22.9000,1702536,0
20030506,22.8700,23.0650,22.6350,23.0500,1421784,0
20030507,22.9200,23.0750,22.7800,23.0250,597280,0
20030508,22.9300,22.9450,22.7500,22.8750,425620,0
20030509,22.9250,23.0800,22.7550,22.9500,572470,0
20030512,22.9750,24.0000,22.9550,23.8300,1911768,0
20030513,23.8400,23.9500,23.7150,23.9250,913400,0
20030514,23.9650,24.2100,23.6750,23.9000,1089324,0
20030515,23.9500,24.2200,23.3850,23.8200,1041322,0
20030516,23.6100,24.1950,23.5250,24.1950,628620,0
20030519,24.0000,24.0750,22.8250,22.9850,1269270,0
20030520,23.0650,23.1050,21.2650,21.8750,2629698,0
20030521,21.1350,22.6350,20.5450,22.4900,3933030,0
20030522,22.8250,22.9550,22.1800,22.8000,1471032,0
20030523,22.9100,23.2350,22.5250,23.1400,736588,0
20030527,23.1250,24.1600,23.1100,24.1300,1522528,0
20030528,24.4750,24.5650,23.8000,24.0100,1352656,0
20030529,24.0150,24.0200,23.3250,23.4750,566592,0
20030530,23.5450,24.2250,23.5050,24.1250,846008,0
20030602,24.2750,24.2950,23.7750,23.8150,777408,0
20030603,24.1200,24.4500,23.7050,24.2650,1054758,0
20030604,24.3750,24.9000,24.2250,24.5600,1526064,0
20030605,24.6250,25.8500,24.4000,24.9800,1920530,0
20030606,25.2500,25.4865,24.6250,25.1300,1305514,0
20030609,25.2050,25.3250,24.0200,24.2300,780898,0
20030610,24.3400,24.7245,24.2950,24.5450,501370,0
20030611,24.5650,25.0050,24.3800,24.9145,519200,0
20030612,24.9500,25.2900,24.9350,25.1000,726094,0
20030613,25.1200,25.1500,24.7500,24.7900,362600,0
20030616,24.7900,25.1950,22.6750,23.4500,6397348,0
20030617,22.0000,22.6150,20.6750,22.2000,12343284,0
20030618,22.2500,22.4800,21.6300,22.1250,1965930,0
20030619,22.3200,22.3800,21.7500,22.0850,746992,0
20030620,22.0000,22.3500,21.2500,22.0500,933604,0
20030623,21.8450,21.9650,19.8050,19.9650,3794122,0
20030624,19.3900,20.0000,18.8000,19.4300,4590104,0
20030625,19.2650,20.2000,19.0900,19.1400,2559178,0
20030626,18.8500,19.5750,18.8000,19.4250,3187044,0
20030627,19.7300,19.9800,19.2150,19.3700,1707228,0
20030630,19.6000,20.2000,19.5500,19.9350,1216430,0
20030701,19.8000,19.9500,19.2600,19.4350,1288324,0
20030702,19.4750,20.7250,19.4300,20.5350,1292852,0
20030703,20.5000,20.8000,20.2500,20.3050,455654,0
20030707,20.3750,20.5700,20.0450,20.3250,1186568,0
20030708,20.1600,21.4200,20.1500,21.2350,1128796,0
20030709,21.3400,21.9800,21.0750,21.7150,1395446,0
20030710,21.3850,21.4500,21.0500,21.0950,691862,0
20030711,21.0850,21.5000,21.0750,21.3850,538914,0
20030714,21.7950,21.9500,21.5000,21.6100,644110,0
20030715,21.7300,21.7700,21.0000,21.1450,507350,0
20030716,21.1005,21.1050,20.5750,20.9100,456258,0
20030717,20.8250,20.8250,19.7250,19.8800,1811062,0
20030718,19.8750,20.2200,19.6100,20.0850,957074,0
20030721,20.0850,20.3050,19.9550,20.2500,484724,0
20030722,20.2250,20.7350,20.2250,20.5400,499774,0
20030723,20.4400,21.0300,20.4250,20.9900,589016,0
20030724,21.4460,21.7500,21.3100,21.4800,894054,0
20030725,21.7350,22.6900,21.6500,22.5500,1508160,0
20030728,23.0200,23.3920,22.8600,23.1250,1050276,0
20030729,23.4100,23.7500,23.0000,23.3055,1452324,0
20030730,19.8500,20.9500,19.0150,19.2550,16233102,0
20030731,19.7350,19.7400,18.8250,19.1450,3347478,0
20030801,19.1400,19.5450,18.4250,19.1150,1932012,0
20030804,19.2150,19.2150,18.5000,18.5750,941402,0
20030805,18.5950,18.9750,18.5250,18.6950,860472,0
20030806,18.9000,18.9000,17.8500,18.3250,1369284,0
20030807,18.4250,18.4250,18.0350,18.1250,918870,0
20030808,18.1250,18.4000,18.1250,18.2200,786270,0
20030811,18.2300,18.6450,18.1800,18.6000,744126,0
20030812,18.5700,18.8750,18.5700,18.8550,398992,0
20030813,18.8000,18.9700,18.7500,18.9150,413344,0
20030814,18.8800,19.2050,18.8800,19.1500,768072,0
20030815,19.1500,19.2200,19.0850,19.1430,232800,0
20030818,19.1900,19.3850,19.1000,19.3500,646600,0
20030819,19.4600,19.7250,19.3500,19.6150,442670,0
20030820,19.5750,19.6650,19.4100,19.5000,530430,0
20030821,19.6000,19.6200,19.4500,19.5400,474260,0
20030822,19.5825,19.7500,19.3850,19.5100,841872,0
20030825,19.4400,19.5100,19.0850,19.4250,352426,0
20030826,19.3800,19.5300,19.1200,19.4850,456866,0
20030827,19.4250,20.2550,19.4250,20.0400,1024006,0
20030828,20.0050,20.0400,19.9500,20.0000,531110,0
20030829,20.0350,20.0750,19.9400,19.9900,305568,0
20030902,19.9300,20.4400,19.8750,20.3550,663034,0
20030903,20.4000,21.4950,20.3550,21.3200,1194506,0
20030904,21.3500,21.6000,21.0250,21.4700,609868,0
20030905,21.3600,21.9000,21.2850,21.7700,817130,0
20030908,21.9500,22.2050,21.7300,21.9650,721148,0
20030909,22.0200,22.0950,21.9050,21.9450,687962,0
20030910,21.8450,21.9550,21.1550,21.3000,337904,0
20030911,21.2950,21.3100,20.5150,21.0000,497168,0
20030912,20.9000,21.1850,20.5800,21.0950,376956,0
20030915,21.1000,21.1500,20.8000,21.0250,346730,0
20030916,21.0350,22.2000,21.0300,22.1950,661308,0
20030917,22.0900,22.6850,21.9800,22.3000,584968,0
20030918,22.2500,22.4350,21.7105,22.3800,770886,0
20030919,22.4900,22.6500,22.4100,22.5800,700420,0
20030922,22.4750,22.6000,22.0750,22.5000,838802,0
20030923,22.4000,22.9400,22.3850,22.9150,574210,0
20030924,23.0000,23.0000,22.5300,22.5700,626498,0
20030925,22.9250,23.3750,22.6100,22.7550,1030392,0
20030926,22.7750,22.7950,20.5950,21.1700,2013136,0
20030929,21.2300,21.2700,20.3300,20.9800,2124778,0
20030930,21.0000,21.2300,20.8150,20.9400,644112,0
20031001,21.0250,21.1000,20.4850,20.8400,588320,0
20031002,20.8350,21.4550,20.7600,21.3150,925234,0
20031003,21.6000,22.0350,21.5950,21.7295,636842,0
20031006,21.6300,21.8700,21.6300,21.7200,257156,0
