DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.9500,23.2900,22.5400,22.7200,1397900,0
20010103,22.7400,23.8000,22.2600,23.7700,1187500,0
20010104,23.8000,25.0900,23.8000,25.0900,2118400,0
20010105,25.2500,25.2500,24.5100,24.7800,2960500,0
20010108,24.4900,24.5900,24.1200,24.4100,1043200,0
20010109,24.4000,24.4500,23.8100,24.0100,3410900,0
20010110,24.0000,24.2000,22.6000,23.6100,2002900,0
20010111,23.6000,23.7400,22.7800,23.4500,1751200,0
20010112,23.4000,23.4000,22.9500,23.3700,93000000,0
20010115,23.3700,23.3700,23.3700,23.3700,0,0
20010116,23.3700,24.0000,23.3700,23.8200,999900,0
20010117,23.8400,24.1500,23.8000,23.9000,794700,0
20010118,23.9400,24.2500,23.8900,24.1300,766100,0
20010119,24.1200,24.2300,23.7100,23.9000,1033700,0
20010122,23.9000,23.9000,23.9000,23.9000,0,0
20010123,24.1200,24.7300,24.0600,24.7300,793700,0
20010124,24.9800,25.0000,24.7700,24.9600,819500,0
20010125,25.0000,25.0000,24.6900,24.9800,3842900,0
20010126,24.9900,24.9900,23.9500,24.9000,768500,0
20010129,27.0625,27.0938,25.0000,25.3125,903200,0
20010130,25.7813,28.0938,25.0000,26.4687,1070100,0
20010131,26.1500,27.1000,25.8000,26.2900,1376000,0
20010201,26.5000,26.5800,25.8400,25.9600,3739600,0
20010202,25.8000,26.9500,25.3300,25.5600,1582100,0
20010205,25.5600,26.0600,25.2900,26.0100,1084200,0
20010206,26.2600,26.5000,25.9100,26.3500,836500,0
20010207,26.3600,26.5000,25.3900,25.6600,782800,0
20010208,25.6500,25.6500,25.2900,25.4100,770700,0
20010209,25.0800,25.0800,23.6000,23.9600,2208100,0
20010212,24.4000,24.4900,23.5100,24.2200,1315800,0
20010213,24.0000,24.3000,23.6500,23.9800,745800,0
20010214,24.4500,24.5500,23.1300,24.2000,1703900,0
20010215,24.2800,25.8000,24.2800,25.2400,1876800,0
20010216,24.7500,25.6500,24.7500,25.0000,1259500,0
20010219,25.0000,25.0000,25.0000,25.0000,0,0
20010220,25.0100,25.8400,25.0100,25.2500,960400,0
20010221,25.2500,25.6500,24.7000,24.7900,861400,0
20010222,24.7900,24.7900,23.9000,24.3000,936200,0
20010223,24.0500,24.5000,23.8000,24.4000,960300,0
20010226,24.8500,25.5900,24.6600,25.1700,833400,0
20010227,25.3000,25.5900,25.2400,25.5000,878600,0
20010228,25.5100,25.7900,25.0600,25.5000,797500,0
20010301,25.5000,25.5900,24.7400,24.9500,1030600,0
20010302,24.9500,26.2100,24.9500,25.9800,913700,0
20010305,25.9800,26.6400,25.6100,26.4500,1055700,0
20010306,26.5000,26.9000,26.0800,26.7200,967000,0
20010307,26.7500,27.4900,26.7400,27.0900,1527000,0
20010308,27.0500,27.4500,26.4000,27.3000,1026300,0
20010309,27.3000,27.4700,27.0000,27.3000,887500,0
20010312,27.1000,27.1100,25.2500,25.4600,1235000,0
20010313,25.6000,25.9900,25.2600,25.9200,615100,0
20010314,25.7100,25.7100,25.2000,25.2500,977000,0
20010315,25.5000,25.6000,24.4000,24.7300,7010600,0
20010316,24.8500,25.4000,24.3500,24.9600,2274400,0
20010319,25.0000,25.5000,24.7500,25.3600,1248700,0
20010320,25.4500,25.7200,24.7100,24.9400,1355400,0
20010321,24.7600,24.7700,23.5100,23.7200,1440300,0
20010322,23.6000,23.6200,22.7000,23.3900,1341800,0
20010323,23.3900,24.2000,23.0000,24.0300,994900,0
20010326,24.0000,24.5000,23.6300,24.2500,7349600,0
20010327,24.2000,24.6100,23.7200,24.5400,5648600,0
20010328,24.3000,24.3000,23.6300,24.0100,741400,0
20010329,23.9000,24.2500,23.4000,23.6800,713000,0
20010330,23.6500,24.1900,23.5400,23.8500,1628100,0
20010402,24.1700,24.4700,23.9000,23.9500,775200,0
20010403,23.8500,23.8600,22.7400,22.8000,865500,0
20010404,22.8000,23.6000,22.7200,23.4700,683000,0
20010405,23.4700,23.7000,23.2000,23.3900,7437800,0
20010406,23.3000,23.3400,22.5000,22.8900,1592400,0
20010409,22.7000,23.7500,22.2600,23.5000,1135200,0
20010410,23.2500,24.5000,23.2500,24.2800,744200,0
20010411,24.4000,24.4000,23.7500,23.9600,1377100,0
20010412,23.8000,24.2400,23.6800,24.2400,559100,0
20010416,24.1000,24.7000,24.0500,24.6000,713700,0
20010417,24.4900,24.5000,24.0400,24.5000,392900,0
20010418,24.4100,26.4900,24.3500,26.2400,1842100,0
20010419,25.9200,26.0900,25.2700,25.8000,1047600,0
20010420,25.6500,25.9000,25.0000,25.1800,546100,0
20010423,24.6800,25.0600,24.4500,24.5800,842700,0
20010424,24.9400,25.4900,24.8100,25.0000,917900,0
20010425,25.0000,25.0000,24.3300,24.6300,635600,0
20010426,24.5500,25.3900,24.3500,25.1700,811100,0
20010427,25.1200,25.4000,24.8000,25.1500,4377700,0
20010430,25.1500,25.2900,24.6100,24.6200,452900,0
20010501,24.7000,24.8400,24.5000,24.7200,312600,0
20010502,24.6900,24.7500,23.9500,24.6300,674600,0
20010503,24.4000,24.4800,24.0600,24.3900,529500,0
20010504,24.0500,25.1000,23.9500,24.9000,279300,0
20010507,24.8500,24.9500,24.7200,24.8000,333600,0
20010508,24.6500,24.7000,24.3600,24.5400,328100,0
20010509,24.3500,24.8600,24.3500,24.6800,398300,0
20010510,24.5000,25.5600,24.4500,25.5000,877600,0
20010511,25.2000,25.2100,24.5300,24.6100,462000,0
20010514,24.5000,24.6000,24.2500,24.5700,371300,0
20010515,24.5700,25.1000,24.1800,24.9600,869100,0
20010516,25.1000,26.9100,24.8400,26.9000,955400,0
20010517,26.4000,28.5000,26.3000,27.0100,10378900,0
20010518,27.2500,27.3700,26.7000,27.2900,3874800,0
20010521,27.2900,28.7500,26.9500,28.2100,1999000,0
20010522,28.4800,30.5000,28.4100,30.4000,3810600,0
20010523,30.7900,30.8300,29.1000,29.5000,6371000,0
20010524,29.2500,29.3100,28.8900,29.1300,1073400,0
20010525,28.8800,29.2400,28.7500,28.8900,3596900,0
20010528,28.8900,28.8900,28.8900,28.8900,0,0
20010529,28.8900,29.3000,28.7000,28.9500,9724000,0
20010530,28.9500,29.0300,28.5200,28.8800,18512200,0
20010531,28.8800,29.2800,28.8800,29.1100,6589700,0
20010601,29.1100,30.1000,28.8000,30.1000,103000000,0
20010604,29.5500,29.5700,28.3600,28.3600,9134400,0
