DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.7500,11.0000,10.3125,10.3125,0,0
20010103,10.4375,10.9375,10.4375,10.8750,4566,0
20010104,11.0000,11.6250,10.9375,11.5625,205207,0
20010105,11.6875,11.8125,11.2500,11.5000,6613,0
20010108,11.4375,11.6250,11.1875,11.4375,0,0
20010109,11.8750,12.8750,11.4375,12.2500,7546,0
20010110,11.8750,12.4375,11.8750,12.3125,4681,0
20010111,12.3750,12.6875,12.0000,12.2500,0,0
20010112,12.2500,12.7500,12.0625,12.6250,0,0
20010115,12.6250,12.6250,12.6250,12.6250,0,0
20010116,12.3125,12.6250,12.0625,12.5625,42954,0
20010117,12.4375,12.6250,12.3125,12.5625,0,0
20010118,12.6250,12.8750,12.5000,12.8125,65385,0
20010119,12.8750,12.8750,12.1250,12.3750,4189,0
20010122,12.3750,12.3750,12.3750,12.3750,0,0
20010123,12.2500,12.6875,12.2500,12.6250,0,0
20010124,12.3750,12.6875,12.2500,12.2500,0,0
20010125,12.3125,12.3125,11.7500,12.0000,0,0
20010126,12.0000,12.0000,11.3750,11.5000,9480,0
20010129,12.7188,13.9687,12.7188,13.6563,931400,0
20010130,13.8125,14.0937,13.0938,13.9375,0,0
20010131,11.8000,11.9500,11.7000,11.9000,0,0
20010201,11.8800,11.8900,11.6000,11.8300,5296500,0
20010202,11.9500,12.2500,11.9500,12.0000,22369600,0
20010205,12.1000,12.3700,11.7600,12.2500,1045200,0
20010206,12.3500,14.6300,12.1400,13.5000,2030300,0
20010207,13.3700,13.3800,12.9000,12.9100,520900,0
20010208,12.9200,13.3600,12.5600,13.0600,1524100,0
20010209,13.1200,13.3700,12.3900,12.8700,788000,0
20010212,12.7500,12.9300,12.2000,12.5500,0,0
20010213,12.3000,12.8900,12.3000,12.4000,846600,0
20010214,12.4000,12.9800,12.4000,12.8800,513100,0
20010215,12.9000,13.0100,12.8500,13.0000,3676700,0
20010216,12.9100,12.9100,12.5100,12.6000,428200,0
20010219,12.6000,12.6000,12.6000,12.6000,0,0
20010220,12.6000,13.0000,12.4500,12.4500,355200,0
20010221,12.5000,12.6000,12.2800,12.5000,4371800,0
20010222,12.4000,12.6000,12.1800,12.5300,17979300,0
20010223,12.5000,12.6800,12.2500,12.6800,705800,0
20010226,12.7800,13.4700,12.7500,13.0000,630100,0
20010227,13.3000,13.4500,12.6000,13.2500,639600,0
20010228,13.2500,13.7000,12.1800,12.2800,8998900,0
20010301,12.4500,12.6800,12.1600,12.6600,4300500,0
20010302,13.2000,13.2000,12.2600,12.6500,425600,0
20010305,12.5500,13.1000,12.5300,13.1000,369600,0
20010306,13.1100,13.3000,12.9600,13.0600,523200,0
20010307,12.8100,13.6500,12.8100,13.5100,11408200,0
20010308,13.5000,13.7900,13.4500,13.6700,2307700,0
20010309,13.6500,14.0500,13.5300,14.0500,572200,0
20010312,14.0000,14.0300,13.5000,13.5800,897100,0
20010313,13.6800,13.7000,13.4200,13.7000,4272100,0
20010314,13.5000,13.5800,13.3000,13.3500,1084500,0
20010315,13.3300,13.8200,13.2600,13.4900,2264400,0
20010316,12.9500,13.3400,12.8600,13.0200,390700,0
20010319,13.1200,13.4900,13.0200,13.2000,180300,0
20010320,13.4000,13.6100,13.1400,13.1500,304400,0
20010321,13.2500,13.4500,12.8700,13.2900,288100,0
20010322,13.1600,13.1600,11.8700,12.2600,821800,0
20010323,12.2600,12.6800,11.9100,12.6000,458300,0
20010326,12.7000,12.7500,12.1600,12.6200,195000,0
20010327,12.6100,12.6200,12.2300,12.4600,547700,0
20010328,12.4700,12.6000,12.3200,12.3600,330700,0
20010329,12.7100,12.9000,12.5200,12.7800,240000,0
20010330,12.7800,13.0000,12.4600,12.9000,197600,0
20010402,12.7000,12.9800,12.5500,12.9800,327100,0
20010403,12.9800,12.9800,12.2500,12.5200,48000000,0
20010404,12.4800,12.5800,12.2900,12.4000,468700,0
20010405,12.5500,12.7000,12.4500,12.5900,595200,0
20010406,12.5000,12.5500,12.1500,12.4600,16389900,0
20010409,12.3600,12.5600,11.8800,12.3600,10431600,0
20010410,12.4500,12.5000,12.1500,12.3000,15510400,0
20010411,12.2000,12.2000,11.8000,12.0000,4306400,0
20010412,12.1000,12.1500,11.8600,12.0500,594800,0
20010416,12.0000,12.2000,11.8700,12.0000,449500,0
20010417,11.9000,11.9900,11.6700,11.9800,411500,0
20010418,12.0000,12.3500,11.8500,12.0500,1099600,0
20010419,12.0500,12.0600,11.6000,11.6800,2432300,0
20010420,11.7500,11.8000,11.5100,11.7900,17904200,0
20010423,11.2500,11.9200,10.5000,11.7500,677700,0
20010424,11.9000,11.9200,11.5100,11.8300,519400,0
20010425,11.8300,11.8300,11.3500,11.5700,4220400,0
20010426,11.6000,11.7500,11.4800,11.7000,393600,0
20010427,11.6700,12.9500,11.5500,12.0000,589600,0
20010430,12.1000,12.3500,11.7600,12.2500,10525600,0
20010501,12.2000,13.0000,12.1900,12.5600,1752900,0
20010502,12.5600,13.5000,12.3400,13.5000,757800,0
20010503,13.0000,13.1500,12.3900,12.9500,1466900,0
20010504,12.9400,12.9800,12.6000,12.9500,177900,0
20010507,12.9400,13.3800,12.8200,12.9900,316400,0
20010508,12.9500,13.2500,12.9500,13.0200,298800,0
20010509,13.1200,13.2500,12.8000,13.0100,273300,0
20010510,13.5000,13.5000,12.8200,13.0000,139600,0
20010511,13.3500,13.3500,12.7800,13.2000,3282700,0
20010514,13.2500,13.4500,13.2000,13.3200,291200,0
20010515,13.3300,13.9400,13.0000,13.7500,752800,0
20010516,13.7500,14.1500,13.7100,14.0500,1415700,0
20010517,14.0000,14.8000,13.9000,14.5600,25373300,0
20010518,14.6500,14.9700,14.4500,14.7000,4576500,0
20010521,14.4300,15.1200,14.0000,15.0900,1162500,0
20010522,14.6000,15.1100,14.4200,14.9000,506000,0
20010523,15.1500,15.4000,14.8500,14.9100,709800,0
20010524,14.8100,14.9300,14.7500,14.8000,6303200,0
20010525,14.7200,14.8500,14.5500,14.7500,8494000,0
20010528,14.7500,14.7500,14.7500,14.7500,0,0
20010529,14.9500,14.9500,14.6200,14.7600,894200,0
20010530,14.6600,14.9500,14.5700,14.7000,40561800,0
20010531,14.7500,15.0000,14.7500,15.0000,299100,0
20010601,14.9500,15.2500,14.8700,15.2000,176700,0
20010604,15.0000,15.4800,14.9500,15.4800,148000,0
20010605,15.2300,15.6000,15.0900,15.5400,254400,0
20010606,15.5000,15.5600,15.1700,15.3900,5135100,0
20010607,15.1700,15.3100,14.8500,15.3000,2877500,0
20010608,15.2000,15.2500,14.5800,15.0000,55378600,0
20010611,15.0000,15.3900,14.8700,15.0500,1858100,0
20010612,15.0000,15.1500,14.9500,15.1400,139000,0
20010613,15.1500,15.1500,14.9500,14.9800,1171100,0
20010614,14.9000,14.9900,14.7000,14.8700,50107600,0
20010615,14.6500,14.9000,14.6100,14.7400,1211400,0
20010618,14.4600,14.9800,14.4600,14.9800,319100,0
20010619,14.8800,14.9000,14.6200,14.7100,161600,0
20010620,14.7100,14.7100,14.0500,14.6200,11405700,0
20010621,14.7200,14.8200,14.3300,14.8000,4382700,0
20010622,14.9000,14.9300,13.4400,14.6300,452500,0
20010625,14.5300,14.5900,14.2700,14.3200,1204000,0
20010626,14.2200,14.7200,14.1400,14.5400,639900,0
20010627,14.2900,14.7500,14.2400,14.4900,267900,0
20010628,14.4600,14.6600,14.4600,14.6000,345600,0
20010629,14.5000,14.9400,14.3700,14.4500,7858400,0
20010702,14.4500,14.8700,14.1600,14.8700,238400,0
20010703,14.8700,14.9900,14.4600,14.9900,191100,0
20010704,14.9900,14.9900,14.9900,14.9900,0,0
20010705,14.9300,14.9300,14.4700,14.7000,13371100,0
20010706,14.4400,14.5000,13.9100,14.3100,3332000,0
20010709,14.3100,14.5800,14.1100,14.5500,3218700,0
20010710,14.5500,14.5500,14.1100,14.2300,6217100,0
20010711,14.0000,14.2500,14.0000,14.2500,202200,0
20010712,14.0400,14.6100,13.9500,14.5000,1263600,0
20010713,14.1500,14.6000,13.8800,14.5200,286300,0
20010716,14.1000,14.5000,14.1000,14.2900,6181600,0
20010717,14.1900,14.6000,14.1900,14.4000,198600,0
20010718,14.3900,14.4000,14.1400,14.4000,1112200,0
20010719,14.4000,14.6600,14.2200,14.2600,181000,0
20010720,14.2600,15.0100,14.1800,15.0000,6524200,0
20010723,15.1000,16.0000,15.1000,15.4800,6801500,0
20010724,15.9500,15.9900,15.3700,15.4000,4574100,0
20010725,15.3000,15.7000,15.3000,15.6200,517100,0
20010726,15.4000,15.9900,15.3600,15.9000,2357200,0
20010727,15.9100,16.1000,15.8100,16.0600,1270000,0
20010730,15.7500,15.9600,15.5200,15.6900,1535400,0
20010731,15.9200,16.3000,15.8800,16.1000,10191800,0
20010801,16.2000,16.3000,16.1300,16.2600,3316700,0
20010802,16.3600,16.4000,16.1300,16.2100,7285700,0
20010803,16.2200,16.4300,16.0700,16.4300,1163700,0
20010806,16.4300,16.7800,16.1900,16.2000,775300,0
20010807,16.2100,16.2100,15.8400,15.8900,4447500,0
20010808,15.9500,16.1500,15.8700,16.0000,1372600,0
20010809,16.0000,16.1000,15.8000,15.9400,182400,0
20010810,16.0400,16.0500,15.8000,15.9900,146900,0
20010813,16.0500,16.2800,16.0100,16.2500,333400,0
20010814,16.4500,16.8800,16.3700,16.5400,4380200,0
20010815,16.5000,16.7300,16.2700,16.5200,255400,0
20010816,16.6200,16.6500,16.2500,16.5000,146600,0
20010817,16.4500,16.5500,16.2500,16.3300,2183300,0
20010820,16.4500,16.9900,16.4500,16.9800,462500,0
20010821,16.8500,17.1800,16.6800,16.6900,283300,0
20010822,16.8200,17.4500,16.7300,17.4500,695500,0
20010823,17.4000,17.4100,16.6500,16.7400,1309900,0
20010824,16.7500,17.2000,16.6000,16.9400,1222000,0
20010827,17.0000,17.4700,17.0000,17.3700,676900,0
20010828,17.2700,17.3400,17.0200,17.1800,219800,0
20010829,17.1400,17.6200,17.0000,17.2500,4793500,0
20010830,17.2600,17.3900,16.4000,16.9200,4837600,0
20010831,16.9600,17.4500,16.8100,17.3400,1053800,0
20010903,17.3400,17.3400,17.3400,17.3400,0,0
20010904,17.4000,17.4700,16.8500,16.8500,5521900,0
20010905,16.8000,17.1800,16.7200,17.0000,575800,0
20010906,16.9500,17.0700,16.3500,16.4000,1399600,0
20010907,16.3000,16.3000,15.6600,15.6900,865300,0
20010910,15.7500,15.9500,15.1100,15.2000,831800,0
20010911,15.2000,15.2000,15.2000,15.2000,0,0
20010917,14.4600,14.5000,13.9200,13.9300,5633600,0
20010918,14.0300,14.0300,13.4100,13.5700,407500,0
20010919,13.5700,13.6900,12.9200,13.6600,577300,0
20010920,13.6500,14.3900,12.6000,12.6000,702800,0
20010921,11.6000,13.4000,11.6000,13.4000,1739500,0
20010924,13.5500,14.1500,13.4500,13.7300,1958000,0
20010925,13.8300,14.0100,12.8300,13.1400,2790300,0
20010926,13.6400,13.7000,12.9000,13.0000,426400,0
20010927,13.1000,13.2600,12.5300,13.1900,925100,0
20010928,13.5500,14.0000,13.4000,14.0000,599900,0
20011001,13.9000,13.9000,13.1600,13.3800,233000,0
20011002,13.4800,14.1300,13.1900,14.1100,517200,0
20011003,14.1100,14.8700,14.0800,14.5500,11570500,0
20011004,14.6500,15.0000,14.4600,14.8500,445300,0
20011005,15.0300,15.3000,14.3600,15.0900,447400,0
20011008,15.0900,15.0900,14.7600,14.9600,284300,0
20011009,14.7100,15.0800,14.4400,14.9500,308300,0
20011010,15.0500,15.6700,14.9600,15.6100,366300,0
20011011,15.7500,16.3900,15.7500,16.0100,422100,0
20011012,15.9700,16.1600,15.6100,16.0700,1358400,0
20011015,16.0000,16.0500,15.6700,16.0500,419500,0
20011016,16.2000,16.4000,16.0400,16.4000,469500,0
20011017,16.6500,16.7700,15.8500,16.0200,491500,0
20011018,16.2000,16.5500,16.1000,16.2800,1304300,0
20011019,16.4000,16.8100,16.3500,16.8100,3575200,0
20011022,17.1000,17.7300,16.9500,17.6700,1976500,0
20011023,17.6800,17.9000,17.1600,17.2500,1069500,0
20011024,17.3400,17.3800,16.7500,17.0200,7612800,0
20011025,16.9200,17.1200,16.7100,16.8200,591100,0
20011026,16.8700,17.0300,16.7600,17.0000,45627900,0
20011029,17.0300,17.2300,16.8600,17.0000,247000,0
20011030,16.7500,17.0000,16.4900,16.9500,518700,0
20011031,16.9500,17.1400,16.4300,16.5700,503900,0
20011101,16.8000,17.2500,16.3500,17.2500,664600,0
20011102,17.2500,17.4800,17.0500,17.3900,2502900,0
20011105,17.5000,17.9000,17.5000,17.6200,1042800,0
20011106,17.7000,17.9500,17.6000,17.9300,1739000,0
20011107,17.8700,18.4400,17.8700,18.1700,10799200,0
20011108,18.0000,18.0300,16.8100,16.8900,1457200,0
20011109,17.1900,17.4800,17.0100,17.1000,669700,0
20011112,17.0100,17.0100,16.4100,16.8000,710900,0
20011113,17.1500,18.3300,17.1100,18.1900,893700,0
20011114,18.0000,18.1700,17.8000,17.8200,541800,0
20011115,17.6700,18.2500,17.6700,18.0100,393400,0
20011116,18.0000,18.0900,17.7200,17.7700,565900,0
20011119,17.9700,18.2400,17.8000,18.1800,842200,0
20011120,18.1000,18.2300,17.8500,17.8800,508800,0
20011121,17.9000,18.0600,17.5600,18.0000,3281800,0
20011122,18.0000,18.0000,18.0000,18.0000,0,0
