DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.1875,16.2500,15.7500,16.0000,1047200,0
20010103,16.4062,18.0000,16.1250,17.5938,1858900,0
20010104,17.3125,17.5000,17.0625,17.4375,1014400,0
20010105,17.3750,17.4062,16.6250,16.6875,335900,0
20010108,16.6250,16.8125,16.5000,16.5625,447500,0
20010109,16.6250,16.7500,16.3125,16.5625,591100,0
20010110,16.6250,17.0000,16.3750,16.8125,496100,0
20010111,16.9375,17.2500,16.7500,17.0625,542100,0
20010112,17.0625,17.0625,16.2500,16.3750,343300,0
20010115,16.3750,16.3750,16.3750,16.3750,0,0
20010116,16.2500,17.0000,16.1875,16.8438,332400,0
20010117,16.8125,17.3750,16.6875,17.0625,579400,0
20010118,16.8125,17.0000,15.1875,15.3750,1572500,0
20010119,15.4375,16.0000,14.8125,15.5625,1296000,0
20010122,15.6250,15.6875,15.3750,15.5000,684500,0
20010123,15.5000,16.0000,15.3750,15.8750,937100,0
20010124,15.8125,16.1875,15.6875,15.8750,577600,0
20010125,15.9375,15.9375,15.4375,15.6250,590200,0
20010126,15.5937,15.7500,15.3750,15.6250,485800,0
20010129,15.6563,16.0000,15.4375,15.5937,529800,0
20010130,15.5625,15.8125,15.3125,15.6250,587700,0
20010131,15.6250,15.6563,15.2500,15.4375,599300,0
20010201,15.4063,15.4375,14.6875,14.7500,867100,0
20010202,14.8125,15.0625,14.8125,15.0000,783800,0
20010205,14.9688,15.1250,14.9375,15.1250,529900,0
20010206,15.0625,15.1250,14.6250,14.6875,462900,0
20010207,14.8125,15.0000,14.5000,14.8125,479200,0
20010208,14.8750,15.0625,14.7500,15.0000,570100,0
20010209,14.8750,15.0625,14.8125,14.8125,590500,0
20010212,14.9375,15.0625,14.8125,15.0625,471600,0
20010213,14.9375,15.0625,14.7500,14.8750,405400,0
20010214,14.9375,15.1875,14.9375,15.1875,1362500,0
20010215,15.0625,15.3125,14.9375,15.3125,681300,0
20010216,15.1875,15.7500,15.1875,15.5000,958900,0
20010219,15.5000,15.5000,15.5000,15.5000,0,0
20010220,15.5625,15.5625,15.0000,15.0625,1023900,0
20010221,15.0625,15.2500,14.8750,14.8750,763500,0
20010222,15.0000,15.0625,14.6875,15.0000,67000000,0
20010223,14.9063,15.0625,14.6250,15.0000,337700,0
20010226,14.8750,15.5000,14.8750,15.5000,421500,0
20010227,15.3750,15.6875,15.0625,15.3125,488500,0
20010228,15.2500,15.5000,14.8125,14.9375,581000,0
20010301,15.0000,15.2500,14.5625,15.2500,627300,0
20010302,15.1875,15.4375,15.0625,15.3125,408500,0
20010305,15.1563,15.4375,15.0000,15.1875,304100,0
20010306,15.1250,15.3750,15.0625,15.1875,204200,0
20010307,15.1250,15.5625,15.1250,15.5000,575300,0
20010308,15.5937,15.6875,15.1875,15.3750,325500,0
20010309,15.2500,15.3125,14.8750,15.0000,325900,0
20010312,14.9688,15.0000,14.5000,14.5000,303200,0
20010313,14.5625,15.0000,14.3125,14.9688,506600,0
20010314,14.5625,14.6250,13.2500,14.3125,514100,0
20010315,14.1875,14.7500,14.1250,14.5625,263700,0
20010316,14.5000,14.7500,14.0625,14.4375,959100,0
20010319,14.3125,14.5625,14.2500,14.5000,303200,0
20010320,14.4375,14.4375,13.9375,13.9375,306700,0
20010321,14.0625,14.0625,13.2500,13.5000,491200,0
20010322,13.4375,13.4375,12.6250,12.9375,768500,0
20010323,13.2500,14.0000,13.0000,13.7187,832400,0
20010326,14.2500,14.3750,13.9375,14.3125,603100,0
20010327,14.1600,14.5000,14.0000,14.1900,463400,0
20010328,14.2800,14.3100,14.0600,14.1900,326000,0
