DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.25,16.38,16.06,16.06,0,0
20010103,16.13,16.69,16.13,16.69,1363,0
20010104,16.81,16.81,16.56,16.69,1183,0
20010105,16.69,16.69,16.25,16.25,0,0
20010108,16.25,16.81,16.25,16.81,0,0
20010109,16.94,17.63,16.88,17.44,1100,0
20010110,17.25,17.88,17.25,17.88,1158,0
20010111,17.75,17.81,17.56,17.63,0,0
20010112,17.69,17.69,17.50,17.56,315,0
20010115,17.56,17.56,17.56,17.56,0,0
20010116,17.63,17.88,17.50,17.69,0,0
20010117,17.75,17.75,17.50,17.56,0,0
20010118,17.50,17.69,17.38,17.63,0,0
20010119,17.69,18.19,17.69,18.00,809,0
20010122,18.00,18.00,18.00,18.00,0,0
20010123,18.69,19.06,18.63,19.00,1051,0
20010124,19.13,19.44,19.13,19.25,0,0
20010125,19.19,19.38,19.06,19.06,0,0
20010126,19.00,19.44,18.75,19.31,0,0
20010129,20.97,21.09,19.00,19.19,131300,0
20010130,19.19,21.06,19.00,19.00,0,0
20010131,19.00,19.00,18.50,18.50,88900,0
20010201,18.60,18.78,18.50,18.74,0,0
20010202,18.75,18.75,18.38,18.38,65700,0
20010205,18.31,18.55,18.20,18.28,78200,0
20010206,18.35,18.82,18.30,18.82,122100,0
20010207,18.85,18.90,18.75,18.85,68200,0
20010208,18.85,18.85,18.71,18.83,0,0
20010209,18.80,18.90,18.62,18.66,71900,0
20010212,18.66,18.91,18.64,18.70,76700,0
20010213,18.65,18.98,18.65,18.82,58900,0
20010214,18.98,19.00,18.87,18.99,64000,0
20010215,19.06,19.14,18.99,19.02,0,0
20010216,19.00,19.05,18.90,18.91,64500,0
20010219,18.91,18.91,18.91,18.91,0,0
20010220,19.08,19.10,18.95,19.10,58900,0
20010221,19.20,19.20,18.95,18.98,57000,0
20010222,18.98,19.11,18.95,19.00,34900,0
20010223,19.05,19.20,18.95,18.95,59200,0
20010226,19.00,19.25,18.95,19.25,71500,0
20010227,19.20,19.25,19.03,19.03,55700,0
20010228,19.10,19.15,18.95,19.09,45900,0
20010301,19.10,19.29,18.95,19.20,63500,0
20010302,19.10,19.29,19.00,19.29,75200,0
20010305,19.10,19.30,19.00,19.11,81000,0
