DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.60,13.65,13.32,13.45,0,0
20010103,13.48,14.03,13.48,13.96,2530,0
20010104,14.08,14.11,13.68,14.08,0,0
20010105,13.96,14.11,13.77,14.00,0,0
20010108,14.34,14.51,14.16,14.51,0,0
20010109,14.39,14.46,14.16,14.42,0,0
20010110,14.37,14.51,14.14,14.51,1532,0
20010111,14.42,14.51,14.16,14.48,0,0
20010112,14.48,14.54,14.39,14.48,966,0
20010115,14.48,14.48,14.48,14.48,0,0
20010116,14.51,14.54,14.34,14.54,0,0
20010117,14.48,14.57,14.46,14.54,0,0
20010118,14.51,14.62,14.46,14.59,0,0
20010119,14.62,14.65,14.51,14.54,858,0
20010122,14.54,14.54,14.54,14.54,0,0
20010123,14.48,14.68,14.46,14.68,0,0
20010124,14.68,14.79,14.46,14.71,0,0
20010125,14.74,14.74,14.48,14.68,0,0
20010126,14.62,14.68,14.39,14.51,1090,0
20010129,14.59,14.75,14.57,14.69,119400,0
20010130,14.69,15.52,14.57,14.77,0,0
20010131,14.64,14.76,14.39,14.45,0,0
20010201,14.10,14.25,13.90,14.25,176600,0
20010202,14.33,14.33,14.07,14.08,0,0
20010205,14.08,14.23,14.02,14.06,142600,0
20010206,14.06,14.29,13.79,14.29,131000,0
20010207,14.25,14.25,14.11,14.16,91400,0
20010208,14.25,14.25,13.96,14.03,84200,0
20010209,13.93,14.09,13.88,13.98,103400,0
20010212,13.93,14.23,13.88,14.20,110000,0
20010213,14.14,14.29,13.92,13.95,133600,0
20010214,14.00,14.06,13.88,14.06,0,0
20010215,13.97,14.23,13.96,14.19,148600,0
20010216,14.23,14.23,14.06,14.13,86400,0
20010219,14.13,14.13,14.13,14.13,0,0
20010220,14.20,14.25,14.00,14.23,146800,0
20010221,14.43,14.43,14.19,14.23,180200,0
20010222,14.21,14.47,14.11,14.19,177000,0
20010223,14.08,14.38,13.78,14.18,360600,0
20010226,14.11,14.23,14.11,14.20,71200,0
20010227,14.17,14.20,13.96,14.00,219200,0
20010228,14.02,14.29,14.02,14.25,258400,0
20010301,14.17,14.50,14.09,14.50,580200,0
20010302,14.50,15.02,14.50,14.84,238400,0
20010305,14.84,14.95,14.68,14.88,189000,0
20010306,14.88,14.88,14.75,14.77,135800,0
20010307,14.72,15.00,14.72,14.93,136400,0
20010308,14.93,15.29,14.93,15.16,254400,0
20010309,15.11,15.11,14.87,14.95,213600,0
20010312,14.97,15.11,14.79,15.11,160200,0
20010313,15.02,15.20,14.81,15.20,135400,0
20010314,15.16,15.16,14.79,14.95,162400,0
20010315,14.84,15.02,14.82,14.87,152000,0
20010316,14.88,15.00,14.72,14.79,228200,0
20010319,14.68,15.25,14.64,15.25,165400,0
20010320,15.25,15.32,14.79,14.82,164000,0
20010321,14.88,15.14,14.87,15.11,663800,0
20010322,15.11,15.25,14.95,15.22,348600,0
20010323,15.16,15.59,15.16,15.48,499600,0
20010326,15.52,15.66,15.45,15.62,92800,0
20010327,15.61,15.69,15.37,15.56,242200,0
20010328,15.56,15.57,15.40,15.40,226000,0
20010329,15.40,15.52,15.38,15.46,217800,0
20010330,15.38,15.64,15.38,15.44,12441800,0
20010402,15.47,15.64,15.47,15.61,270600,0
20010403,15.61,15.61,15.45,15.59,412000,0
20010404,15.59,15.59,15.48,15.59,245000,0
